Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,7e-06,20.238998,[ 1 63] ; [3 4],[ 3.6056338 60.3943662] ; [0.3943662 6.6056338],1
p12,1,0.00011,14.957265,[ 2 61] ; [3 4],[ 4.5 58.5] ; [0.5 6.5],1
p3,1,0.00011,14.951146,[12 52] ; [6 1],[16.22535211 47.77464789] ; [1.77464789 5.22535211],1
a2,1,0.000293,13.117277,[ 9 55] ; [5 2],[12.61971831 51.38028169] ; [1.38028169 5.61971831],1
s7,1,0.007719,7.097597,[21 41] ; [6 1],[24.26086957 37.73913043] ; [2.73913043 4.26086957],0
p4,1,0.00832,6.96321,[22 42] ; [6 1],[25.23943662 38.76056338] ; [2.76056338 4.23943662],0
p8,1,0.016261,5.774411,[17 46] ; [5 2],[19.8 43.2] ; [2.2 4.8],0
a4,1,0.028367,4.805649,[27 37] ; [6 1],[29.74647887 34.25352113] ; [3.25352113 3.74647887],0
v3,1,0.041854,4.141114,[17 46] ; [3 1],[18.80597015 44.19402985] ; [1.19402985 2.80597015],0
p6,1,0.044915,4.021842,[14 49] ; [4 3],[16.2 46.8] ; [1.8 5.2],0
v1,1,0.049417,3.861127,[22 40] ; [4 1],[24.05970149 37.94029851] ; [1.94029851 3.05970149],0
s6,1,0.051005,3.808099,[30 34] ; [6 1],[32.45070423 31.54929577] ; [3.54929577 3.45070423],0
u1,1,0.105095,2.626474,[11 53] ; [3 4],[12.61971831 51.38028169] ; [1.38028169 5.61971831],0
a5,1,0.114611,2.489458,[35 29] ; [6 1],[36.95774648 27.04225352] ; [4.04225352 2.95774648],0
d2,1,0.124366,2.361462,[35 28] ; [6 1],[36.9 26.1] ; [4.1 2.9],0
a1,1,0.163432,1.942183,[ 2 62] ; [1 6],[ 2.70422535 61.29577465] ; [0.29577465 6.70422535],0
s1,1,0.173781,1.850021,[ 2 60] ; [1 6],[ 2.69565217 59.30434783] ; [0.30434783 6.69565217],0
b4,1,0.200693,1.637327,[43 21] ; [3 4],[41.46478873 22.53521127] ; [4.53521127 2.46478873],0
a6,1,0.250243,1.321949,[41 23] ; [6 1],[42.36619718 21.63380282] ; [4.63380282 2.36619718],0
p1,1,0.303077,1.060606,[ 3 60] ; [1 6],[ 3.6 59.4] ; [0.4 6.6],0
n4,1,0.314236,1.012786,[43 21] ; [6 1],[44.16901408 19.83098592] ; [4.83098592 2.16901408],0
s5,1,0.367036,0.813675,[14 49] ; [2 3],[14.82352941 48.17647059] ; [1.17647059 3.82352941],0
d5,1,0.432312,0.616605,[46 18] ; [6 1],[46.87323944 17.12676056] ; [5.12676056 1.87323944],0
p7,1,0.470376,0.521092,[27 36] ; [4 3],[27.9 35.1] ; [3.1 3.9],0
v2,1,0.501442,0.451884,[28 35] ; [3 2],[28.72058824 34.27941176] ; [2.27941176 2.72058824],0
r1,1,0.528249,0.397759,[48 16] ; [6 1],[48.67605634 15.32394366] ; [5.32394366 1.67605634],0
d3,1,0.535559,0.383832,[38 26] ; [5 2],[38.76056338 25.23943662] ; [4.23943662 2.76056338],0
a7,1,0.799133,0.064755,[42 21] ; [5 2],[42.3 20.7] ; [4.7 2.3],0
p2,1,0.836617,0.042528,[48 16] ; [5 2],[47.77464789 16.22535211] ; [5.22535211 1.77464789],0
a8,1,0.970374,0.001379,[ 8 46] ; [1 6],[ 7.96721311 46.03278689] ; [1.03278689 5.96721311],0
b5,1,0.972835,0.00116,[37 27] ; [4 3],[36.95774648 27.04225352] ; [4.04225352 2.95774648],0
s4,1,1.0,0.0,[ 9 54] ; [1 6],[ 9. 54.] ; [1. 6.],0
