Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,6.8e-05,15.870685,[ 7 17] ; [40 12],[14.84210526  9.15789474] ; [32.15789474 19.84210526],1
a6,1,7.9e-05,15.570367,[ 6 18] ; [38 14],[13.89473684 10.10526316] ; [30.10526316 21.89473684],1
b1,1,0.001817,9.72543,[16  8] ; [15 37],[ 9.78947368 14.21052632] ; [21.21052632 30.78947368],0
a5,1,0.004379,8.119658,[13 11] ; [44  8],[18.  6.] ; [39. 13.],0
d3,1,0.008663,6.89098,[13 11] ; [43  9],[17.68421053  6.31578947] ; [38.31578947 13.68421053],0
a2,1,0.014163,6.017682,[ 1 23] ; [15 37],[ 5.05263158 18.94736842] ; [10.94736842 41.05263158],0
r4,1,0.015956,5.807728,[20  4] ; [51  1],[22.42105263  1.57894737] ; [48.57894737  3.42105263],0
s7,1,0.02883,4.777738,[18  4] ; [28 23],[13.8630137  8.1369863] ; [32.1369863 18.8630137],0
p4,1,0.048706,3.885444,[12 12] ; [38 14],[15.78947368  8.21052632] ; [34.21052632 17.78947368],0
r2,1,0.054927,3.684295,[21  3] ; [51  1],[22.73684211  1.26315789] ; [49.26315789  2.73684211],0
b4,1,0.072678,3.221474,[ 9 15] ; [31 21],[12.63157895 11.36842105] ; [27.36842105 24.63157895],0
p2,1,0.074412,3.182906,[16  8] ; [44  8],[18.94736842  5.05263158] ; [41.05263158 10.94736842],0
d1,1,0.075026,3.169491,[11 13] ; [35 17],[14.52631579  9.47368421] ; [31.47368421 20.52631579],0
n6,1,0.076405,3.139753,[18  6] ; [47  5],[20.52631579  3.47368421] ; [44.47368421  7.52631579],0
s3,1,0.098368,2.731813,[20  4] ; [33 18],[16.96  7.04] ; [36.04 14.96],0
p6,1,0.099838,2.708133,[ 7 16] ; [26 25],[10.25675676 12.74324324] ; [22.74324324 28.25675676],0
s6,1,0.118172,2.441385,[16  6] ; [43  6],[18.28169014  3.71830986] ; [40.71830986  8.28169014],0
u1,1,0.119223,2.427498,[ 3 21] ; [15 37],[ 5.68421053 18.31578947] ; [12.31578947 39.68421053],0
v4,1,0.140915,2.167941,[20  3] ; [50  2],[21.46666667  1.53333333] ; [48.53333333  3.46666667],0
u3,1,0.154103,2.031156,[6 1] ; [7 6],[4.55 2.45] ; [8.45 4.55],0
a1,1,0.182192,1.779651,[ 2 22] ; [ 1 51],[ 0.94736842 23.05263158] ; [ 2.05263158 49.94736842],0
s1,1,0.188936,1.725899,[ 2 22] ; [ 1 50],[ 0.96 23.04] ; [ 2.04 48.96],0
r3,1,0.188936,1.725899,[22  2] ; [50  1],[23.04  0.96] ; [48.96  2.04],0
a4,1,0.252894,1.307248,[14 10] ; [23 29],[11.68421053 12.31578947] ; [25.31578947 26.68421053],0
p11,1,0.254369,1.299145,[20  4] ; [37 15],[18.  6.] ; [39. 13.],0
v2,1,0.291811,1.111249,[11 13] ; [30 21],[13.12 10.88] ; [27.88 23.12],0
p1,1,0.301589,1.067155,[ 1 23] ; [ 6 46],[ 2.21052632 21.78947368] ; [ 4.78947368 47.21052632],0
n5,1,0.33394,0.933558,[17  7] ; [42 10],[18.63157895  5.36842105] ; [40.36842105 11.63157895],0
u2,1,0.357197,0.847724,[3 4] ; [ 3 10],[2.1 4.9] ; [3.9 9.1],0
p5,1,0.397944,0.71453,[ 2 22] ; [ 8 44],[ 3.15789474 20.84210526] ; [ 6.84210526 45.15789474],0
d2,1,0.405676,0.691437,[10 14] ; [27 25],[11.68421053 12.31578947] ; [25.31578947 26.68421053],0
s5,1,0.429738,0.623531,[15  8] ; [26 21],[13.47142857  9.52857143] ; [27.52857143 19.47142857],0
d5,1,0.520119,0.413658,[22  2] ; [45  7],[21.15789474  2.84210526] ; [45.84210526  6.15789474],0
a8,1,0.525301,0.403473,[ 1 22] ; [ 4 43],[ 1.64285714 21.35714286] ; [ 3.35714286 43.64285714],0
p10,1,0.540081,0.375389,[21  2] ; [44  7],[20.2027027  2.7972973] ; [44.7972973  6.2027027],0
r1,1,0.566339,0.328846,[18  6] ; [42 10],[18.94736842  5.05263158] ; [41.05263158 10.94736842],0
s8,1,0.580654,0.305179,[15  9] ; [29 23],[13.89473684 10.10526316] ; [30.10526316 21.89473684],0
v3,1,0.59951,0.275735,[ 9 15] ; [16 35],[ 8. 16.] ; [17. 34.],0
n3,1,0.628745,0.233766,[6 3] ; [5 4],[5.5 3.5] ; [5.5 3.5],0
p3,1,0.69179,0.157155,[15  9] ; [30 22],[14.21052632  9.78947368] ; [30.78947368 21.21052632],0
a3,1,0.701396,0.147024,[17  7] ; [39 13],[17.68421053  6.31578947] ; [38.31578947 13.68421053],0
d4,1,0.712466,0.135827,[19  5] ; [43  9],[19.57894737  4.42105263] ; [42.42105263  9.57894737],0
n4,1,0.727436,0.121479,[18  6] ; [37 15],[17.36842105  6.63157895] ; [37.63157895 14.36842105],0
p9,1,0.876215,0.024264,[20  3] ; [45  6],[20.2027027  2.7972973] ; [44.7972973  6.2027027],0
p8,1,0.905512,0.01409,[13 10] ; [29 21],[13.23287671  9.76712329] ; [28.76712329 21.23287671],0
b2,1,0.922934,0.009358,[ 4 10] ; [ 9 21],[4.13636364 9.86363636] ; [ 8.86363636 21.13636364],0
b3,1,0.922934,0.009358,[ 4 10] ; [ 9 21],[4.13636364 9.86363636] ; [ 8.86363636 21.13636364],0
s2,1,0.926553,0.008498,[18  6] ; [37 13],[17.83783784  6.16216216] ; [37.16216216 12.83783784],0
p7,1,0.97,0.001414,[16  7] ; [35 15],[16.06849315  6.93150685] ; [34.93150685 15.06849315],0
n2,1,1.0,0.0,[7 2] ; [7 2],[7. 2.] ; [7. 2.],0
