Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6.7e-05,15.906789,[229  15] ; [6 4],[225.7480315  18.2519685] ; [9.2519685 0.7480315],1
p7,1,0.000125,14.718488,[175  58] ; [2 8],[169.71604938  63.28395062] ; [7.28395062 2.71604938],1
r2,1,0.00428,8.160882,[235   7] ; [8 2],[233.35714286   8.64285714] ; [9.64285714 0.35714286],0
p11,1,0.004282,8.160257,[192  52] ; [4 6],[188.28346457  55.71653543] ; [7.71653543 2.28346457],0
v4,1,0.013811,6.062125,[232   9] ; [8 2],[230.43824701  10.56175299] ; [9.56175299 0.43824701],0
r1,1,0.029317,4.748899,[206  35] ; [6 4],[203.55378486  37.44621514] ; [8.44621514 1.55378486],0
b1,1,0.037312,4.336097,[ 91 153] ; [7 3],[ 94.14173228 149.85826772] ; [3.85826772 6.14173228],0
p1,1,0.053386,3.73178,[ 25 216] ; [3 7],[ 26.88446215 214.11553785] ; [1.11553785 8.88446215],0
n6,1,0.063668,3.439174,[214  26] ; [7 3],[212.16  27.84] ; [8.84 1.16],0
b3,1,0.07274,3.22009,[68 84] ; [1 7],[65.55 86.45] ; [3.45 4.55],0
b2,1,0.07274,3.22009,[68 84] ; [1 7],[65.55 86.45] ; [3.45 4.55],0
s7,1,0.08418,2.982297,[155  78] ; [4 6],[152.45679012  80.54320988] ; [6.54320988 3.45679012],0
s2,1,0.117437,2.451171,[176  66] ; [5 5],[173.81746032  68.18253968] ; [7.18253968 2.81746032],0
n3,1,0.134381,2.241147,[39 15] ; [2 3],[37.52542373 16.47457627] ; [3.47457627 1.52542373],0
v2,1,0.154968,2.022653,[149  90] ; [4 6],[146.85542169  92.14457831] ; [6.14457831 3.85542169],0
a2,1,0.167227,1.907625,[ 74 170] ; [1 9],[ 72.04724409 171.95275591] ; [2.95275591 7.04724409],0
s3,1,0.17535,1.836602,[167  71] ; [5 5],[165.06451613  72.93548387] ; [6.93548387 3.06451613],0
p8,1,0.260115,1.268142,[138 100] ; [4 6],[136.27419355 101.72580645] ; [5.72580645 4.27419355],0
u1,1,0.268762,1.223054,[ 62 182] ; [1 9],[ 60.51968504 183.48031496] ; [2.48031496 7.51968504],0
s1,1,0.269481,1.219388,[  8 231] ; [1 9],[  8.63855422 230.36144578] ; [0.36144578 9.63855422],0
v1,1,0.326593,0.96236,[157  84] ; [5 5],[155.54581673  85.45418327] ; [6.45418327 3.54581673],0
n4,1,0.355572,0.853471,[188  54] ; [9 1],[189.18253968  52.81746032] ; [7.81746032 2.18253968],0
v3,1,0.364202,0.823352,[106 132] ; [3 7],[104.60483871 133.39516129] ; [4.39516129 5.60483871],0
d2,1,0.422046,0.644612,[139 104] ; [7 3],[140.22924901 102.77075099] ; [5.77075099 4.22924901],0
p4,1,0.514133,0.425646,[168  73] ; [6 4],[167.06772908  73.93227092] ; [6.93227092 3.06772908],0
s8,1,0.541833,0.372153,[145  98] ; [5 5],[144.07114625  98.92885375] ; [5.92885375 4.07114625],0
p2,1,0.542751,0.370466,[209  32] ; [8 2],[208.35458167  32.64541833] ; [8.64541833 1.35458167],0
s6,1,0.550852,0.355794,[207  32] ; [8 2],[206.36546185  32.63453815] ; [8.63453815 1.36546185],0
a7,1,0.554731,0.348909,[168  76] ; [6 4],[167.1496063  76.8503937] ; [6.8503937 3.1496063],0
d1,1,0.659745,0.193834,[180  64] ; [8 2],[180.5984252  63.4015748] ; [7.4015748 2.5984252],0
a1,1,0.669397,0.182308,[ 16 228] ; [1 9],[ 16.33070866 227.66929134] ; [0.66929134 9.33070866],0
p6,1,0.669979,0.181627,[112 127] ; [4 6],[111.34136546 127.65863454] ; [4.65863454 5.34136546],0
s4,1,0.693881,0.154916,[ 61 178] ; [2 8],[ 60.46987952 178.53012048] ; [2.53012048 7.46987952],0
a4,1,0.751483,0.100289,[134 110] ; [6 4],[134.48818898 109.51181102] ; [5.51181102 4.48818898],0
n1,1,0.754969,0.097403,[29 26] ; [3 2],[29.33333333 25.66666667] ; [2.66666667 2.33333333],0
d3,1,0.761658,0.091993,[185  59] ; [8 2],[185.4015748  58.5984252] ; [7.5984252 2.4015748],0
n5,1,0.811943,0.056606,[185  56] ; [8 2],[185.31075697  55.68924303] ; [7.68924303 2.31075697],0
a6,1,0.828282,0.047048,[154  89] ; [6 4],[153.67588933  89.32411067] ; [6.32411067 3.67588933],0
n2,1,0.834532,0.043636,[46  9] ; [4 1],[45.83333333  9.16666667] ; [4.16666667 0.83333333],0
p10,1,0.842546,0.039457,[211  29] ; [9 1],[211.2  28.8] ; [8.8 1.2],0
a5,1,0.846989,0.037234,[201  43] ; [8 2],[200.77165354  43.22834646] ; [8.22834646 1.77165354],0
a3,1,0.851841,0.034883,[200  43] ; [8 2],[199.77865613  43.22134387] ; [8.22134387 1.77865613],0
b5,1,0.878714,0.023287,[128 116] ; [5 5],[127.76377953 116.23622047] ; [5.23622047 4.76377953],0
p12,1,0.90572,0.014028,[ 27 214] ; [1 9],[ 26.88446215 214.11553785] ; [1.11553785 8.88446215],0
b4,1,0.925157,0.008825,[150  94] ; [6 4],[149.85826772  94.14173228] ; [6.14173228 3.85826772],0
p3,1,0.954301,0.003284,[143  99] ; [6 4],[143.08730159  98.91269841] ; [5.91269841 4.08730159],0
p9,1,0.959336,0.0026,[213  25] ; [9 1],[213.0483871  24.9516129] ; [8.9516129 1.0483871],0
p5,1,0.979606,0.000653,[ 49 192] ; [2 8],[ 48.96812749 192.03187251] ; [2.03187251 7.96812749],0
