Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.236699,[4 8] ; [74  9],[9.85263158 2.14736842] ; [68.14736842 14.85263158],1
r1,1,0.000345,12.809679,[3 9] ; [63 20],[8.33684211 3.66315789] ; [57.66315789 25.33684211],1
v4,1,0.000885,11.053294,[8 4] ; [79  4],[10.98947368  1.01052632] ; [76.01052632  6.98947368],1
n4,1,0.005692,7.645461,[4 8] ; [60 22],[8.17021277 3.82978723] ; [55.82978723 26.17021277],0
v3,1,0.012564,6.229435,[ 1 11] ; [38 44],[4.9787234 7.0212766] ; [34.0212766 47.9787234],0
a7,1,0.016982,5.698241,[4 8] ; [57 26],[7.70526316 4.29473684] ; [53.29473684 29.70526316],0
b1,1,0.017191,5.676752,[9 3] ; [32 51],[5.17894737 6.82105263] ; [35.82105263 47.17894737],0
s3,1,0.02005,5.407572,[3 9] ; [48 31],[6.72527473 5.27472527] ; [44.27472527 34.72527473],0
s7,1,0.048077,3.907292,[3 9] ; [45 36],[6.19354839 5.80645161] ; [41.80645161 39.19354839],0
n6,1,0.05186,3.780271,[8 4] ; [73 10],[10.23157895  1.76842105] ; [70.76842105 12.23157895],0
v2,1,0.063252,3.45,[3 9] ; [43 37],[6. 6.] ; [40. 40.],0
s5,1,0.063727,3.437621,[ 1 11] ; [28 52],[3.7826087 8.2173913] ; [25.2173913 54.7826087],0
p10,1,0.107437,2.591516,[8 4] ; [70 12],[9.95744681 2.04255319] ; [68.04255319 13.95744681],0
p9,1,0.107437,2.591516,[8 4] ; [70 12],[9.95744681 2.04255319] ; [68.04255319 13.95744681],0
v1,1,0.122489,2.385206,[3 9] ; [40 42],[5.4893617 6.5106383] ; [37.5106383 44.4893617],0
n5,1,0.169937,1.883503,[7 5] ; [63 19],[8.93617021 3.06382979] ; [61.06382979 20.93617021],0
a3,1,0.188336,1.730588,[4 8] ; [44 38],[6.12765957 5.87234043] ; [41.87234043 40.12765957],0
d2,1,0.192778,1.696259,[ 1 11] ; [21 62],[2.77894737 9.22105263] ; [19.22105263 63.77894737],0
p2,1,0.216698,1.526104,[8 4] ; [68 15],[9.6 2.4] ; [66.4 16.6],0
a1,1,0.272726,1.202982,[ 1 11] ; [ 2 81],[ 0.37894737 11.62105263] ; [ 2.62105263 80.37894737],0
b5,1,0.289135,1.123644,[9 3] ; [49 34],[7.32631579 4.67368421] ; [50.67368421 32.32631579],0
p3,1,0.291933,1.110685,[5 7] ; [48 35],[6.69473684 5.30526316] ; [46.30526316 36.69473684],0
a4,1,0.347371,0.883036,[ 1 11] ; [16 66],[2.17021277 9.82978723] ; [14.82978723 67.17021277],0
a8,1,0.351958,0.866385,[2 9] ; [ 7 70],[1.125 9.875] ; [ 7.875 69.125],0
p6,1,0.355483,0.853788,[4 8] ; [39 43],[5.4893617 6.5106383] ; [37.5106383 44.4893617],0
p4,1,0.371941,0.797168,[6 6] ; [52 30],[7.40425532 4.59574468] ; [50.59574468 31.40425532],0
a5,1,0.449351,0.572289,[6 6] ; [51 32],[7.2 4.8] ; [49.8 33.2],0
b4,1,0.500266,0.454372,[6 6] ; [50 33],[7.07368421 4.92631579] ; [48.92631579 34.07368421],0
p12,1,0.545663,0.365144,[ 1 11] ; [12 69],[ 1.67741935 10.32258065] ; [11.32258065 69.67741935],0
n3,1,0.550985,0.355556,[3 1] ; [7 5],[2.5 1.5] ; [7.5 4.5],0
n1,1,0.550985,0.355556,[1 3] ; [5 7],[1.5 2.5] ; [4.5 7.5],0
r3,1,0.555671,0.347255,[10  2] ; [74  9],[10.61052632  1.38947368] ; [73.38947368  9.61052632],0
u2,1,0.562427,0.335519,[5 3] ; [20 19],[4.25531915 3.74468085] ; [20.74468085 18.25531915],0
s2,1,0.589637,0.290912,[5 7] ; [41 41],[5.87234043 6.12765957] ; [40.12765957 41.87234043],0
p11,1,0.643179,0.214608,[9 3] ; [67 16],[9.6 2.4] ; [66.4 16.6],0
s6,1,0.653425,0.201609,[7 5] ; [52 28],[7.69565217 4.30434783] ; [51.30434783 28.69565217],0
p7,1,0.65656,0.197729,[8 4] ; [59 22],[8.64516129 3.35483871] ; [58.35483871 22.64516129],0
a6,1,0.727492,0.121427,[8 4] ; [51 32],[7.45263158 4.54736842] ; [51.54736842 31.45263158],0
u3,1,0.750984,0.100706,[3 5] ; [17 22],[3.40425532 4.59574468] ; [16.59574468 22.40425532],0
s1,1,0.767292,0.087568,[ 1 11] ; [ 5 77],[ 0.76595745 11.23404255] ; [ 5.23404255 76.76595745],0
d4,1,0.788868,0.071707,[5 7] ; [38 45],[5.43157895 6.56842105] ; [37.56842105 45.43157895],0
d3,1,0.836267,0.042713,[5 7] ; [32 51],[4.67368421 7.32631579] ; [32.32631579 50.67368421],0
s4,1,0.942738,0.005159,[ 2 10] ; [13 69],[ 1.91489362 10.08510638] ; [13.08510638 68.91489362],0
s8,1,0.973737,0.001084,[5 7] ; [35 48],[5.05263158 6.94736842] ; [34.94736842 48.05263158],0
p5,1,0.986139,0.000302,[ 2 10] ; [14 69],[2.02105263 9.97894737] ; [13.97894737 69.02105263],0
n2,1,1.0,0.0,[3 1] ; [9 3],[3. 1.] ; [9. 3.],0
