Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,72.840537,[61 82] ; [505 141],[102.58301648  40.41698352] ; [463.41698352 182.58301648],1
p10,1,0.0,46.367173,[79 63] ; [527 115],[109.76020408  32.23979592] ; [496.23979592 145.76020408],1
n4,1,0.0,43.422725,[76 69] ; [510 136],[107.42098609  37.57901391] ; [478.57901391 167.42098609],1
p11,1,0.0,36.565463,[81 64] ; [517 131],[109.3442623  35.6557377] ; [488.6557377 159.3442623],1
r4,1,0.0,32.103772,[115  30] ; [609  39],[132.38335435  12.61664565] ; [591.61664565  56.38335435],1
p9,1,0.0,29.93169,[92 51] ; [538 100],[115.35211268  27.64788732] ; [514.64788732 123.35211268],1
v4,1,0.0,27.464824,[124  19] ; [629  19],[136.13021492   6.86978508] ; [616.86978508  31.13021492],1
r3,1,6e-06,20.558111,[125  19] ; [622  24],[136.16202532   7.83797468] ; [610.83797468  35.16202532],1
s6,1,1.3e-05,19.073527,[69 75] ; [428 208],[91.75384615 52.24615385] ; [405.24615385 230.75384615],1
p2,1,1.7e-05,18.468924,[97 47] ; [537 109],[115.56455696  28.43544304] ; [518.43544304 127.56455696],1
p7,1,8.5e-05,15.448817,[62 77] ; [398 237],[82.60981912 56.39018088] ; [377.39018088 257.60981912],1
s7,1,0.000281,13.193063,[42 94] ; [298 323],[61.08322325 74.91677675] ; [278.91677675 342.08322325],1
p4,1,0.000285,13.169485,[57 86] ; [365 280],[76.58121827 66.41878173] ; [345.41878173 299.58121827],1
s8,1,0.000305,13.036653,[ 39 106] ; [278 366],[58.25728771 86.74271229] ; [258.74271229 385.25728771],1
u1,1,0.000725,11.422847,[ 11 134] ; [125 523],[ 24.86759142 120.13240858] ; [111.13240858 536.86759142],1
p8,1,0.001498,10.081266,[50 92] ; [318 319],[67.08087291 74.91912709] ; [300.91912709 336.08087291],0
p6,1,0.00171,9.837785,[ 30 110] ; [225 415],[45.76923077 94.23076923] ; [209.23076923 430.76923077],0
a5,1,0.002145,9.421177,[89 56] ; [480 168],[104.04161412  40.95838588] ; [464.95838588 183.04161412],0
s5,1,0.002231,9.348838,[ 26 111] ; [202 426],[40.83137255 96.16862745] ; [187.16862745 440.83137255],0
v2,1,0.002652,9.032939,[59 77] ; [359 265],[74.8 61.2] ; [343.2 280.8],0
d1,1,0.006782,7.329735,[69 76] ; [388 260],[83.56242119 61.43757881] ; [373.43757881 274.56242119],0
v3,1,0.007963,7.041675,[36 98] ; [246 384],[49.46073298 84.53926702] ; [232.53926702 397.46073298],0
a2,1,0.012693,6.211424,[ 23 122] ; [166 482],[ 34.55863808 110.44136192] ; [154.44136192 493.55863808],0
p3,1,0.014745,5.946675,[52 92] ; [306 341],[65.17319848 78.82680152] ; [292.82680152 354.17319848],0
v1,1,0.015001,5.91635,[59 83] ; [335 299],[72.09793814 69.90206186] ; [321.90206186 312.09793814],0
a4,1,0.020714,5.350719,[52 93] ; [299 345],[64.50570342 80.49429658] ; [286.49429658 357.50570342],0
b1,1,0.021411,5.293035,[67 78] ; [233 415],[54.85498108 90.14501892] ; [245.14501892 402.85498108],0
d5,1,0.042383,4.119863,[107  37] ; [528 118],[115.74683544  28.25316456] ; [519.25316456 126.74683544],0
s1,1,0.048972,3.876318,[  8 133] ; [ 16 622],[  4.34403081 136.65596919] ; [ 19.65596919 618.34403081],0
s2,1,0.054086,3.71003,[60 84] ; [324 317],[70.44076433 73.55923567] ; [313.55923567 327.44076433],0
d4,1,0.080796,3.048824,[108  35] ; [529 117],[115.45120406  27.54879594] ; [521.54879594 124.45120406],0
u2,1,0.083886,2.98795,[32 18] ; [94 93],[26.58227848 23.41772152] ; [99.41772152 87.58227848],0
p12,1,0.08412,2.98344,[  3 139] ; [ 36 608],[  7.04580153 134.95419847] ; [ 31.95419847 612.04580153],0
d2,1,0.087596,2.917998,[60 84] ; [319 325],[69.25888325 74.74111675] ; [309.74111675 334.25888325],0
p1,1,0.093909,2.806053,[ 14 130] ; [ 38 607],[  9.4904943 134.5095057] ; [ 42.5095057 602.4904943],0
a8,1,0.098361,2.731921,[ 11 123] ; [ 79 509],[ 16.70360111 117.29639889] ; [ 73.29639889 514.70360111],0
a7,1,0.099408,2.715012,[96 49] ; [471 174],[104.06962025  40.93037975] ; [462.93037975 182.06962025],0
a1,1,0.114288,2.493901,[  9 136] ; [ 22 626],[  5.66834805 139.33165195] ; [ 25.33165195 622.66834805],0
r1,1,0.119518,2.423627,[109  35] ; [525 120],[115.71102662  28.28897338] ; [518.28897338 126.71102662],0
d3,1,0.12377,2.36895,[90 53] ; [450 197],[97.74683544 45.25316456] ; [442.25316456 204.74683544],0
u3,1,0.128251,2.313554,[34 16] ; [106  83],[29.28870293 20.71129707] ; [110.71129707  78.28870293],0
a3,1,0.135489,2.228454,[94 51] ; [458 186],[101.44486692  43.55513308] ; [450.55513308 193.44486692],0
b2,1,0.218122,1.516685,[24 56] ; [142 239],[28.80694143 51.19305857] ; [137.19305857 243.80694143],0
