Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.060984,3.510415,[20 11] ; [1 4],[18.08333333 12.91666667] ; [2.91666667 2.08333333],0
s1,1,0.068857,3.310052,[ 3 28] ; [2 3],[ 4.30555556 26.69444444] ; [0.69444444 4.30555556],0
u3,1,0.073989,3.192222,[ 1 14] ; [1 1],[ 1.76470588 13.23529412] ; [0.23529412 1.76470588],0
d4,1,0.172848,1.858065,[22  9] ; [2 3],[20.66666667 10.33333333] ; [3.33333333 1.66666667],0
r3,1,0.289601,1.121475,[14 17] ; [1 4],[12.91666667 18.08333333] ; [2.08333333 2.91666667],0
s2,1,0.302816,1.061751,[ 6 25] ; [2 3],[ 6.88888889 24.11111111] ; [1.11111111 3.88888889],0
n1,1,0.416793,0.659341,[6 9] ; [1 4],[5.25 9.75] ; [1.75 3.25],0
p1,1,0.495521,0.464516,[ 3 28] ; [1 4],[ 3.44444444 27.55555556] ; [0.55555556 4.44444444],0
s6,1,0.510835,0.432357,[ 8 23] ; [2 3],[ 8.61111111 22.38888889] ; [1.38888889 3.61111111],0
b5,1,0.537397,0.380385,[14 17] ; [3 2],[14.63888889 16.36111111] ; [2.36111111 2.63888889],0
d5,1,0.537397,0.380385,[17 14] ; [2 3],[16.36111111 14.63888889] ; [2.63888889 2.36111111],0
d2,1,0.580758,0.305011,[16 14] ; [2 3],[15.42857143 14.57142857] ; [2.57142857 2.42857143],0
s3,1,0.65564,0.198864,[ 9 21] ; [2 3],[ 9.42857143 20.57142857] ; [1.57142857 3.42857143],0
b2,1,0.702918,0.145455,[ 8 14] ; [1 1],[ 8.25 13.75] ; [0.75 1.25],0
b3,1,0.702918,0.145455,[ 8 14] ; [1 1],[ 8.25 13.75] ; [0.75 1.25],0
s7,1,0.706063,0.142241,[ 5 24] ; [1 3],[ 5.27272727 23.72727273] ; [0.72727273 3.27272727],0
b1,1,0.72739,0.121522,[16 15] ; [3 2],[16.36111111 14.63888889] ; [2.63888889 2.36111111],0
d3,1,0.72739,0.121522,[15 16] ; [2 3],[14.63888889 16.36111111] ; [2.36111111 2.63888889],0
r2,1,0.759046,0.094086,[18 13] ; [2 2],[17.71428571 13.28571429] ; [2.28571429 1.71428571],0
a4,1,0.771235,0.084541,[10 20] ; [2 3],[10.28571429 19.71428571] ; [1.71428571 3.28571429],0
p11,1,0.780826,0.077419,[ 8 23] ; [1 4],[ 7.75 23.25] ; [1.25 3.75],0
a3,1,0.781745,0.076754,[16 14] ; [3 2],[16.28571429 13.71428571] ; [2.71428571 2.28571429],0
n5,1,0.829357,0.046452,[17 14] ; [3 2],[17.22222222 13.77777778] ; [2.77777778 2.22222222],0
a5,1,0.829357,0.046452,[14 17] ; [2 3],[13.77777778 17.22222222] ; [2.22222222 2.77777778],0
r1,1,0.829357,0.046452,[14 17] ; [2 3],[13.77777778 17.22222222] ; [2.22222222 2.77777778],0
n3,1,0.864591,0.029082,[5 9] ; [2 3],[5.15789474 8.84210526] ; [1.84210526 3.15789474],0
n6,1,0.886436,0.020396,[11 19] ; [2 3],[11.14285714 18.85714286] ; [1.85714286 3.14285714],0
v1,1,0.897515,0.01659,[ 7 24] ; [1 4],[ 6.88888889 24.11111111] ; [1.11111111 3.88888889],0
d1,1,0.935075,0.006636,[13 18] ; [2 3],[12.91666667 18.08333333] ; [2.08333333 2.91666667],0
n4,1,0.956201,0.003016,[19 12] ; [3 2],[18.94444444 12.05555556] ; [3.05555556 1.94444444],0
v3,1,0.973017,0.001144,[ 6 25] ; [1 4],[ 6.02777778 24.97222222] ; [0.97222222 4.02777778],0
p2,1,0.973017,0.001144,[ 6 25] ; [1 4],[ 6.02777778 24.97222222] ; [0.97222222 4.02777778],0
p3,1,0.973017,0.001144,[ 6 25] ; [1 4],[ 6.02777778 24.97222222] ; [0.97222222 4.02777778],0
