Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.204615,1.609124,[21 16] ; [43 19],[23.91919192 13.08080808] ; [40.08080808 21.91919192],0
p1,1,0.237016,1.398256,[ 5 32] ; [ 4 58],[ 3.36363636 33.63636364] ; [ 5.63636364 56.36363636],0
v4,1,0.272175,1.205753,[33  4] ; [58  3],[34.35714286  2.64285714] ; [56.64285714  4.35714286],0
r1,1,0.281186,1.161348,[25 12] ; [48 14],[27.28282828  9.71717172] ; [45.71717172 16.28282828],0
d1,1,0.285817,1.139221,[15 22] ; [32 30],[17.56565657 19.43434343] ; [29.43434343 32.56565657],0
v3,1,0.288119,1.128388,[10 25] ; [24 37],[12.39583333 22.60416667] ; [21.60416667 39.39583333],0
v2,1,0.350604,0.871269,[19 15] ; [40 21],[21.11578947 12.88421053] ; [37.88421053 23.11578947],0
d4,1,0.36444,0.822535,[29  8] ; [53  9],[30.64646465  6.35353535] ; [51.35353535 10.64646465],0
a6,1,0.404298,0.695506,[22 15] ; [42 20],[23.91919192 13.08080808] ; [40.08080808 21.91919192],0
p2,1,0.491639,0.472936,[25 11] ; [47 15],[26.44897959  9.55102041] ; [45.55102041 16.44897959],0
a3,1,0.526439,0.401261,[24 13] ; [44 18],[25.41414141 11.58585859] ; [42.58585859 19.41414141],0
n3,1,0.542234,0.371415,[11  5] ; [13  9],[10.10526316  5.89473684] ; [13.89473684  8.10526316],0
d5,1,0.544789,0.366736,[26 11] ; [47 15],[27.28282828  9.71717172] ; [45.71717172 16.28282828],0
b4,1,0.54483,0.366661,[21 16] ; [39 23],[22.42424242 14.57575758] ; [37.57575758 24.42424242],0
s2,1,0.550705,0.356055,[19 18] ; [28 34],[17.56565657 19.43434343] ; [29.43434343 32.56565657],0
s5,1,0.554865,0.348673,[10 25] ; [21 40],[11.30208333 23.69791667] ; [19.69791667 41.30208333],0
a4,1,0.576799,0.311439,[14 23] ; [27 35],[15.32323232 21.67676768] ; [25.67676768 36.32323232],0
a8,1,0.634667,0.225784,[ 1 33] ; [ 3 57],[ 1.44680851 32.55319149] ; [ 2.55319149 57.44680851],0
p12,1,0.637383,0.222181,[ 1 34] ; [ 3 59],[ 1.44329897 33.55670103] ; [ 2.55670103 59.44329897],0
s7,1,0.664175,0.188492,[15 20] ; [23 37],[14. 21.] ; [24. 36.],0
u3,1,0.767872,0.087119,[10  3] ; [13  5],[9.64516129 3.35483871] ; [13.35483871  4.64516129],0
s3,1,0.834936,0.04342,[19 18] ; [30 31],[18.5 18.5] ; [30.5 30.5],0
b2,1,0.883848,0.021343,[ 8 11] ; [12 18],[ 7.75510204 11.24489796] ; [12.24489796 17.75510204],0
b3,1,0.883848,0.021343,[ 8 11] ; [12 18],[ 7.75510204 11.24489796] ; [12.24489796 17.75510204],0
p5,1,0.884892,0.020958,[ 2 33] ; [ 4 58],[ 2.16494845 32.83505155] ; [ 3.83505155 58.16494845],0
s8,1,0.925754,0.008684,[13 24] ; [22 39],[13.21428571 23.78571429] ; [21.78571429 39.21428571],0
p6,1,0.965288,0.001894,[ 8 24] ; [15 46],[ 7.91397849 24.08602151] ; [15.08602151 45.91397849],0
