Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,44.558763,[77 11] ; [ 5 20],[63.85840708 24.14159292] ; [18.14159292  6.85840708],1
s1,1,0.00133,10.299931,[ 1 88] ; [ 4 21],[ 3.90350877 85.09649123] ; [ 1.09649123 23.90350877],0
p2,1,0.002308,9.287236,[72 16] ; [13 12],[66.19469027 21.80530973] ; [18.80530973  6.19469027],0
p11,1,0.003138,8.725691,[64 25] ; [10 15],[57.77192982 31.22807018] ; [16.22807018  8.77192982],0
d3,1,0.004595,8.032473,[63 26] ; [10 15],[56.99122807 32.00877193] ; [16.00877193  8.99122807],0
s6,1,0.006849,7.312215,[73 16] ; [14 11],[67.92105263 21.07894737] ; [19.07894737  5.92105263],0
s2,1,0.00814,7.00236,[70 19] ; [13 12],[64.79824561 24.20175439] ; [18.20175439  6.79824561],0
n6,1,0.008193,6.990803,[57 30] ; [ 9 16],[51.26785714 35.73214286] ; [14.73214286 10.26785714],0
a7,1,0.012077,6.299523,[69 20] ; [13 12],[64.01754386 24.98245614] ; [17.98245614  7.01754386],0
s8,1,0.045369,4.004859,[45 44] ; [ 7 18],[40.59649123 48.40350877] ; [11.40350877 13.59649123],0
b1,1,0.045597,3.996404,[24 65] ; [12 13],[28.10526316 60.89473684] ; [ 7.89473684 17.10526316],0
r2,1,0.046603,3.959669,[85  4] ; [21  4],[82.75438596  6.24561404] ; [23.24561404  1.75438596],0
r4,1,0.047457,3.929113,[76 13] ; [17  8],[72.60526316 16.39473684] ; [20.39473684  4.60526316],0
n3,1,0.049776,3.848974,[26  6] ; [5 5],[23.61904762  8.38095238] ; [7.38095238 2.61904762],0
a2,1,0.067311,3.347416,[17 72] ; [ 1 24],[14.05263158 74.94736842] ; [ 3.94736842 21.05263158],0
v1,1,0.072914,3.216161,[41 44] ; [ 7 18],[37.09090909 47.90909091] ; [10.90909091 14.09090909],0
s5,1,0.073008,3.214073,[39 47] ; [ 6 18],[35.18181818 50.81818182] ; [ 9.81818182 14.18181818],0
n2,1,0.079923,3.066471,[26  6] ; [6 5],[23.81395349  8.18604651] ; [8.18604651 2.81395349],0
v4,1,0.133673,2.249317,[82  6] ; [20  4],[80.14285714  7.85714286] ; [21.85714286  2.14285714],0
b5,1,0.136748,2.214182,[54 35] ; [11 14],[50.74561404 38.25438596] ; [14.25438596 10.74561404],0
d1,1,0.137431,2.20649,[47 42] ; [ 9 16],[43.71929825 45.28070175] ; [12.28070175 12.71929825],0
r1,1,0.14183,2.157986,[66 22] ; [15 10],[63.07964602 24.92035398] ; [17.92035398  7.07964602],0
a5,1,0.21559,1.533483,[55 34] ; [12 13],[52.30701754 36.69298246] ; [14.69298246 10.30701754],0
p4,1,0.236665,1.400351,[41 47] ; [15 10],[43.61061947 44.38938053] ; [12.38938053 12.61061947],0
d5,1,0.253979,1.301282,[64 25] ; [15 10],[61.6754386 27.3245614] ; [17.3245614  7.6754386],0
r3,1,0.31795,0.997362,[86  3] ; [23  2],[85.09649123  3.90350877] ; [23.90350877  1.09649123],0
s7,1,0.319164,0.992371,[38 47] ; [ 8 16],[35.87155963 49.12844037] ; [10.12844037 13.87155963],0
a3,1,0.34394,0.895691,[55 33] ; [13 12],[52.95575221 35.04424779] ; [15.04424779  9.95575221],0
d2,1,0.353239,0.861789,[37 52] ; [13 12],[39.03508772 49.96491228] ; [10.96491228 14.03508772],0
v3,1,0.361407,0.832999,[24 58] ; [ 5 20],[22.22429907 59.77570093] ; [ 6.77570093 18.22429907],0
v2,1,0.380736,0.768324,[42 39] ; [10 14],[40.11428571 40.88571429] ; [11.88571429 12.11428571],0
u2,1,0.419298,0.652281,[17 15] ; [8 4],[18.18181818 13.81818182] ; [6.81818182 5.18181818],0
d4,1,0.440661,0.59456,[73 16] ; [18  6],[71.67256637 17.32743363] ; [19.32743363  4.67256637],0
b4,1,0.443213,0.587949,[53 36] ; [17  8],[54.64912281 34.35087719] ; [15.35087719  9.64912281],0
a6,1,0.590426,0.28968,[62 27] ; [16  9],[60.89473684 28.10526316] ; [17.10526316  7.89473684],0
b2,1,0.593157,0.285441,[16 28] ; [ 4 10],[15.17241379 28.82758621] ; [4.82758621 9.17241379],0
b3,1,0.593157,0.285441,[16 28] ; [ 4 10],[15.17241379 28.82758621] ; [4.82758621 9.17241379],0
p6,1,0.594853,0.282828,[23 65] ; [ 5 19],[22. 66.] ; [ 6. 18.],0
p3,1,0.60735,0.264052,[32 57] ; [10 14],[33.07964602 55.92035398] ; [ 8.92035398 15.07964602],0
a4,1,0.640118,0.218587,[33 56] ; [ 8 17],[32.00877193 56.99122807] ; [ 8.99122807 16.00877193],0
u1,1,0.641336,0.216999,[10 79] ; [ 2 23],[ 9.36842105 79.63157895] ; [ 2.63157895 22.36842105],0
p7,1,0.753015,0.099015,[49 32] ; [16  9],[49.66981132 31.33018868] ; [15.33018868  9.66981132],0
u3,1,0.798041,0.065476,[20 12] ; [8 4],[20.36363636 11.63636364] ; [7.63636364 4.36363636],0
p1,1,0.853436,0.034128,[ 8 79] ; [ 2 23],[ 7.76785714 79.23214286] ; [ 2.23214286 22.76785714],0
p8,1,0.894706,0.017517,[39 49] ; [11 13],[39.28571429 48.71428571] ; [10.71428571 13.28571429],0
a1,1,0.915063,0.011375,[ 4 85] ; [ 1 24],[ 3.90350877 85.09649123] ; [ 1.09649123 23.90350877],0
n1,1,0.940506,0.00557,[10 22] ; [3 7],[ 9.9047619 22.0952381] ; [3.0952381 6.9047619],0
a8,1,0.957238,0.002875,[ 4 79] ; [ 1 21],[ 3.95238095 79.04761905] ; [ 1.04761905 20.95238095],0
s4,1,0.959119,0.002627,[28 61] ; [ 8 17],[28.10526316 60.89473684] ; [ 7.89473684 17.10526316],0
n5,1,0.973379,0.001114,[32 56] ; [ 9 16],[31.92920354 56.07079646] ; [ 9.07079646 15.92920354],0
