Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.002991,8.813042,[137 240] ; [10  3],[142.1 234.9] ; [4.9 8.1],0
p11,1,0.006599,7.379086,[275 102] ; [5 8],[270.66666667 106.33333333] ; [9.33333333 3.66666667],0
a5,1,0.015569,5.850903,[264 113] ; [5 8],[260.03333333 116.96666667] ; [8.96666667 4.03333333],0
p10,1,0.021741,5.266372,[277  94] ; [6 7],[273.41927083  97.58072917] ; [9.58072917 3.41927083],0
p9,1,0.028248,4.812885,[295  77] ; [7 6],[291.8025974  80.1974026] ; [10.1974026  2.8025974],0
s2,1,0.039266,4.249335,[194 178] ; [ 3 10],[190.34805195 181.65194805] ; [6.65194805 6.34805195],0
r1,1,0.044087,4.053236,[311  63] ; [8 5],[308.28423773  65.71576227] ; [10.71576227  2.28423773],0
n1,1,0.049592,3.855197,[40 70] ; [4 1],[42.08695652 67.91304348] ; [1.91304348 3.08695652],0
a6,1,0.057328,3.613038,[266 110] ; [6 7],[262.91002571 113.08997429] ; [9.08997429 3.91002571],0
a8,1,0.057433,3.610001,[ 43 299] ; [4 9],[ 45.27887324 296.72112676] ; [ 1.72112676 11.27887324],0
s6,1,0.088791,2.896164,[245 129] ; [5 7],[242.22797927 131.77202073] ; [7.77202073 4.22797927],0
d2,1,0.139615,2.182203,[181 193] ; [9 4],[183.61757106 190.38242894] ; [6.38242894 6.61757106],0
p2,1,0.143549,2.139498,[273 104] ; [7 6],[270.66666667 106.33333333] ; [9.33333333 3.66666667],0
u4,1,0.14445,2.129897,[  7 370] ; [ 1 12],[  7.73333333 369.26666667] ; [ 0.26666667 12.73333333],0
u2,1,0.152796,2.044116,[65 42] ; [1 3],[63.62162162 43.37837838] ; [2.37837838 1.62162162],0
v2,1,0.206109,1.598551,[184 174] ; [9 4],[186.23719677 171.76280323] ; [6.76280323 6.23719677],0
s8,1,0.209072,1.577839,[152 224] ; [ 3 10],[149.82005141 226.17994859] ; [5.17994859 7.82005141],0
v1,1,0.237743,1.393928,[173 192] ; [4 9],[170.91269841 194.08730159] ; [6.08730159 6.91269841],0
n6,1,0.246977,1.340325,[308  68] ; [9 4],[306.40616967  69.59383033] ; [10.59383033  2.40616967],0
d5,1,0.263763,1.248898,[299  76] ; [12  1],[300.57989691  74.42010309] ; [10.42010309  2.57989691],0
p3,1,0.309548,1.032603,[139 238] ; [ 3 10],[137.26666667 239.73333333] ; [4.73333333 8.26666667],0
n4,1,0.335069,0.929206,[272 103] ; [11  2],[273.51804124 101.48195876] ; [9.48195876 3.51804124],0
s4,1,0.349272,0.876099,[ 66 307] ; [ 1 12],[ 64.74352332 308.25647668] ; [ 2.25647668 10.74352332],0
a2,1,0.368844,0.807556,[100 277] ; [ 2 11],[ 98.6 278.4] ; [3.4 9.6],0
a7,1,0.393875,0.726945,[272 104] ; [8 5],[270.64267352 105.35732648] ; [9.35732648 3.64267352],0
s5,1,0.410786,0.676525,[107 254] ; [2 9],[105.77688172 255.22311828] ; [3.22311828 7.77688172],0
s7,1,0.433495,0.613442,[162 200] ; [4 8],[160.67379679 201.32620321] ; [5.32620321 6.67379679],0
b4,1,0.47806,0.503286,[224 153] ; [9 4],[225.23333333 151.76666667] ; [7.76666667 5.23333333],0
u3,1,0.507103,0.44004,[72 37] ; [2 2],[71.38053097 37.61946903] ; [2.61946903 1.38053097],0
p6,1,0.530369,0.393685,[ 87 287] ; [4 9],[ 87.94315245 286.05684755] ; [3.05684755 9.94315245],0
d1,1,0.571489,0.320197,[202 175] ; [8 5],[203. 174.] ; [7. 6.],0
p4,1,0.598196,0.277726,[172 203] ; [5 8],[171.06958763 203.93041237] ; [5.93041237 7.06958763],0
n5,1,0.603596,0.269606,[255 118] ; [8 5],[254.14248705 118.85751295] ; [8.85751295 4.14248705],0
p5,1,0.640552,0.218021,[ 18 354] ; [ 1 12],[ 18.35844156 353.64155844] ; [ 0.64155844 12.35844156],0
d4,1,0.684835,0.164734,[301  75] ; [11  2],[301.57326478  74.42673522] ; [10.42673522  2.57326478],0
b3,1,0.685586,0.163906,[ 88 145] ; [4 5],[ 88.5785124 144.4214876] ; [3.4214876 5.5785124],0
b2,1,0.685586,0.163906,[ 88 145] ; [4 5],[ 88.5785124 144.4214876] ; [3.4214876 5.5785124],0
p7,1,0.697501,0.151084,[162 207] ; [5 8],[161.31675393 207.68324607] ; [5.68324607 7.31675393],0
p1,1,0.709707,0.138569,[ 20 356] ; [ 1 12],[ 20.29820051 355.70179949] ; [ 0.70179949 12.29820051],0
d3,1,0.715562,0.132785,[249 126] ; [8 5],[248.38917526 126.61082474] ; [8.61082474 4.38917526],0
b5,1,0.781629,0.076838,[247 130] ; [9 4],[247.46666667 129.53333333] ; [8.53333333 4.46666667],0
s3,1,0.867467,0.027848,[209 163] ; [7 6],[208.70649351 163.29350649] ; [7.29350649 5.70649351],0
a3,1,0.90128,0.015387,[267 110] ; [9 4],[266.8 110.2] ; [9.2 3.8],0
v3,1,0.909149,0.013022,[124 231] ; [4 8],[123.8147139 231.1852861] ; [4.1852861 7.8147139],0
a4,1,0.962904,0.002163,[176 200] ; [6 7],[175.91773779 200.08226221] ; [6.08226221 6.91773779],0
