Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,25.07026,[47  7] ; [21 31],[34.64150943 19.35849057] ; [33.35849057 18.64150943],1
p4,1,2.8e-05,17.546791,[39 15] ; [16 35],[28.28571429 25.71428571] ; [26.71428571 24.28571429],1
s7,1,0.000347,12.8,[22 27] ; [ 6 43],[14. 35.] ; [14. 35.],1
p8,1,0.000478,12.197899,[38 16] ; [19 33],[29.03773585 24.96226415] ; [27.96226415 24.03773585],1
p11,1,0.00187,9.672658,[49  5] ; [35 18],[42.39252336 11.60747664] ; [41.60747664 11.39252336],0
p6,1,0.002019,9.531745,[24 29] ; [ 9 43],[16.65714286 36.34285714] ; [16.34285714 35.65714286],0
p2,1,0.003503,8.525089,[49  5] ; [36 17],[42.89719626 11.10280374] ; [42.10280374 10.89719626],0
p10,1,0.003845,8.355483,[48  6] ; [34 18],[41.77358491 12.22641509] ; [40.22641509 11.77358491],0
n4,1,0.015427,5.866984,[50  4] ; [40 13],[45.42056075  8.57943925] ; [44.57943925  8.42056075],0
s8,1,0.01701,5.695377,[24 30] ; [12 41],[18.1682243 35.8317757] ; [17.8317757 35.1682243],0
v1,1,0.018009,5.595308,[37 16] ; [25 28],[31. 22.] ; [31. 22.],0
n5,1,0.020948,5.331101,[46  8] ; [35 18],[40.87850467 13.12149533] ; [40.12149533 12.87850467],0
a5,1,0.026921,4.895844,[44 10] ; [33 20],[38.85981308 15.14018692] ; [38.14018692 14.85981308],0
r4,1,0.027151,4.88119,[50  4] ; [41 12],[45.92523364  8.07476636] ; [45.07476636  7.92523364],0
b1,1,0.03475,4.457415,[26 28] ; [15 38],[20.69158879 33.30841121] ; [20.30841121 32.69158879],0
s5,1,0.040457,4.198612,[12 42] ; [ 4 47],[ 8.22857143 45.77142857] ; [ 7.77142857 43.22857143],0
r1,1,0.042328,4.122049,[48  6] ; [39 14],[43.90654206 10.09345794] ; [43.09345794  9.90654206],0
v4,1,0.047646,3.922425,[53  1] ; [47  6],[50.46728972  3.53271028] ; [49.53271028  3.46728972],0
p9,1,0.049752,3.849814,[46  8] ; [36 16],[41.77358491 12.22641509] ; [40.22641509 11.77358491],0
p5,1,0.049784,3.848722,[ 8 46] ; [ 2 51],[ 5.04672897 48.95327103] ; [ 4.95327103 48.04672897],0
d2,1,0.050981,3.808896,[23 31] ; [32 20],[28.01886792 25.98113208] ; [26.98113208 25.01886792],0
p12,1,0.053687,3.722408,[ 6 48] ; [ 1 52],[ 3.53271028 50.46728972] ; [ 3.46728972 49.53271028],0
u1,1,0.056105,3.648944,[11 43] ; [ 4 49],[ 7.57009346 46.42990654] ; [ 7.42990654 45.57009346],0
u3,1,0.136519,2.216761,[9 7] ; [3 8],[7.11111111 8.88888889] ; [4.88888889 6.11111111],0
a7,1,0.156773,2.005083,[42 12] ; [34 18],[38.71698113 15.28301887] ; [37.28301887 14.71698113],0
r3,1,0.163891,1.937954,[51  3] ; [45  7],[48.90566038  5.09433962] ; [47.09433962  4.90566038],0
p1,1,0.175963,1.831394,[10 44] ; [ 5 48],[ 7.57009346 46.42990654] ; [ 7.42990654 45.57009346],0
a6,1,0.194799,1.680942,[39 15] ; [32 21],[35.8317757 18.1682243] ; [35.1682243 17.8317757],0
b4,1,0.272172,1.205767,[29 25] ; [34 19],[31.79439252 22.20560748] ; [31.20560748 21.79439252],0
s2,1,0.281867,1.158067,[14 40] ; [ 9 43],[11.71698113 42.28301887] ; [11.28301887 40.71698113],0
b5,1,0.286159,1.137607,[25 29] ; [30 23],[27.75700935 26.24299065] ; [27.24299065 25.75700935],0
u2,1,0.309558,1.032561,[9 7] ; [4 7],[7.7037037 8.2962963] ; [5.2962963 5.7037037],0
v2,1,0.312745,1.019046,[44  9] ; [39 13],[41.8952381 11.1047619] ; [41.1047619 10.8952381],0
n6,1,0.314392,1.012133,[45  9] ; [40 13],[42.89719626 11.10280374] ; [42.10280374 10.89719626],0
a2,1,0.344347,0.894181,[12 42] ; [ 8 45],[10.09345794 43.90654206] ; [ 9.90654206 43.09345794],0
