Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,101.148851,[304   4] ; [8 8],[296.59259259  11.40740741] ; [15.40740741  0.59259259],1
r4,1,0.0,87.436168,[298  11] ; [ 6 10],[289.03384615  19.96615385] ; [14.96615385  1.03384615],1
d1,1,0.000275,13.232474,[213  96] ; [ 4 12],[206.31692308 102.68307692] ; [10.68307692  5.31692308],1
d5,1,0.001603,9.955767,[264  44] ; [9 7],[259.51851852  48.48148148] ; [13.48148148  2.51851852],0
r1,1,0.002023,9.528751,[262  45] ; [9 7],[257.57585139  49.42414861] ; [13.42414861  2.57585139],0
a3,1,0.004023,8.273531,[247  61] ; [8 8],[242.40740741  65.59259259] ; [12.59259259  3.40740741],0
s2,1,0.009126,6.797909,[219  87] ; [6 9],[214.48598131  91.51401869] ; [10.51401869  4.48598131],0
s3,1,0.009707,6.687924,[232  72] ; [7 8],[227.76175549  76.23824451] ; [11.23824451  3.76175549],0
p3,1,0.016065,5.795746,[190 119] ; [ 5 11],[185.4 123.6] ; [9.6 6.4],0
d3,1,0.025661,4.978687,[217  92] ; [7 9],[212.97230769  96.02769231] ; [11.02769231  4.97230769],0
v1,1,0.030547,4.678241,[191 106] ; [ 6 10],[186.92971246 110.07028754] ; [10.07028754  5.92971246],0
d4,1,0.039442,4.241726,[268  40] ; [11  5],[265.22222222  42.77777778] ; [13.77777778  2.22222222],0
s7,1,0.044005,4.056353,[229  71] ; [8 7],[225.71428571  74.28571429] ; [11.28571429  3.71428571],0
a6,1,0.057297,3.613944,[206 102] ; [7 9],[202.48148148 105.51851852] ; [10.51851852  5.48148148],0
s1,1,0.058741,3.572568,[ 10 294] ; [ 2 14],[ 11.4 292.6] ; [ 0.6 15.4],0
a2,1,0.06318,3.451878,[ 84 225] ; [ 1 15],[ 80.81538462 228.18461538] ; [ 4.18461538 11.81538462],0
a4,1,0.065906,3.382159,[150 159] ; [ 4 12],[146.41846154 162.58153846] ; [7.58153846 8.41846154],0
d2,1,0.126294,2.337478,[176 133] ; [ 6 10],[173.04 135.96] ; [8.96 7.04],0
u1,1,0.132896,2.258347,[ 68 241] ; [ 1 15],[ 65.60307692 243.39692308] ; [ 3.39692308 12.60307692],0
v2,1,0.139112,2.187752,[183 111] ; [7 9],[180.19354839 113.80645161] ; [9.80645161 6.19354839],0
s5,1,0.151281,2.05929,[127 167] ; [ 4 12],[124.23870968 169.76129032] ; [6.76129032 9.23870968],0
n5,1,0.155319,2.019221,[254  53] ; [11  5],[251.87306502  55.12693498] ; [13.12693498  2.87306502],0
p6,1,0.194209,1.685392,[146 159] ; [ 5 11],[143.47352025 161.52647975] ; [7.52647975 8.47352025],0
