Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,46.811429,[ 9 31] ; [51  5],[25. 15.] ; [35. 21.],1
s6,1,7.8e-05,15.608442,[23 12] ; [54  2],[29.61538462  5.38461538] ; [47.38461538  8.61538462],1
s8,1,0.000107,15.009632,[14 25] ; [43 14],[23.15625 15.84375] ; [33.84375 23.15625],1
s7,1,0.000841,11.1475,[18 17] ; [47  9],[25. 10.] ; [40. 16.],1
d1,1,0.003614,8.468165,[17 23] ; [41 16],[23.91752577 16.08247423] ; [34.08247423 22.91752577],0
p6,1,0.007484,7.153053,[18 21] ; [41 15],[24.22105263 14.77894737] ; [34.77894737 21.22105263],0
v1,1,0.008104,7.010244,[20 18] ; [44 12],[25.87234043 12.12765957] ; [38.12765957 17.87234043],0
s5,1,0.015169,5.896687,[19 17] ; [41 12],[24.26966292 11.73033708] ; [35.73033708 17.26966292],0
p4,1,0.023913,5.100899,[30  9] ; [53  4],[33.71875  5.28125] ; [49.28125  7.71875],0
p8,1,0.02555,4.986216,[27 12] ; [50  7],[31.28125  7.71875] ; [45.71875 11.28125],0
d3,1,0.031353,4.633527,[21 19] ; [42 15],[25.97938144 14.02061856] ; [37.02061856 19.97938144],0
r2,1,0.045682,3.993296,[32  7] ; [54  3],[34.9375  4.0625] ; [51.0625  5.9375],0
a3,1,0.053034,3.742854,[27 13] ; [48  9],[30.92783505  9.07216495] ; [44.07216495 12.92783505],0
s4,1,0.077537,3.115797,[ 2 36] ; [10 47],[ 4.8 33.2] ; [ 7.2 49.8],0
r4,1,0.092062,2.837946,[35  5] ; [55  2],[37.11340206  2.88659794] ; [52.88659794  4.11340206],0
a4,1,0.102797,2.661604,[13 27] ; [28 29],[16.90721649 23.09278351] ; [24.09278351 32.90721649],0
d4,1,0.104806,2.630837,[30 10] ; [50  7],[32.98969072  7.01030928] ; [47.01030928  9.98969072],0
p2,1,0.108986,2.568867,[33  7] ; [53  4],[35.46391753  4.53608247] ; [50.53608247  6.46391753],0
n1,1,0.109984,2.554444,[3 6] ; [7 3],[4.73684211 4.26315789] ; [5.26315789 4.73684211],0
a2,1,0.148786,2.084649,[ 4 36] ; [12 45],[ 6.59793814 33.40206186] ; [ 9.40206186 47.59793814],0
d5,1,0.149275,2.079647,[28 12] ; [47 10],[30.92783505  9.07216495] ; [44.07216495 12.92783505],0
a1,1,0.1529,2.043079,[ 3 37] ; [10 47],[ 5.36082474 34.63917526] ; [ 7.63917526 49.36082474],0
v4,1,0.161233,1.962621,[37  3] ; [56  1],[38.35051546  1.64948454] ; [54.64948454  2.35051546],0
p12,1,0.170014,1.882819,[ 8 31] ; [19 38],[10.96875 28.03125] ; [16.03125 40.96875],0
r3,1,0.191409,1.706741,[36  4] ; [55  2],[37.5257732  2.4742268] ; [53.4742268  3.5257732],0
a6,1,0.224435,1.475784,[28 12] ; [33 24],[25.15463918 14.84536082] ; [35.84536082 21.15463918],0
d2,1,0.279816,1.167983,[18 22] ; [32 25],[20.6185567 19.3814433] ; [29.3814433 27.6185567],0
r1,1,0.280383,1.165233,[31  9] ; [49  8],[32.98969072  7.01030928] ; [47.01030928  9.98969072],0
s1,1,0.330068,0.948632,[ 2 38] ; [ 6 51],[ 3.29896907 36.70103093] ; [ 4.70103093 52.29896907],0
u2,1,0.342095,0.902564,[6 7] ; [6 3],[7.09090909 5.90909091] ; [4.90909091 4.09090909],0
