Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,29.731847,[ 4 21] ; [49 13],[15.22988506  9.77011494] ; [37.77011494 24.22988506],1
p10,1,0.008863,6.85016,[ 8 17] ; [39 23],[13.50574713 11.49425287] ; [33.49425287 28.50574713],0
r1,1,0.010012,6.632754,[14 12] ; [50 12],[18.90909091  7.09090909] ; [45.09090909 16.90909091],0
v3,1,0.027677,4.848059,[ 4 19] ; [26 34],[ 8.31325301 14.68674699] ; [21.68674699 38.31325301],0
n1,1,0.046708,3.955881,[2 5] ; [11  4],[4.13636364 2.86363636] ; [8.86363636 6.13636364],0
d1,1,0.05775,3.600837,[12 14] ; [42 20],[15.95454545 10.04545455] ; [38.04545455 23.95454545],0
n6,1,0.099958,2.706221,[15 10] ; [48 14],[18.10344828  6.89655172] ; [44.89655172 17.10344828],0
a6,1,0.101945,2.674852,[11 15] ; [38 24],[14.47727273 11.52272727] ; [34.52272727 27.47727273],0
p2,1,0.125446,2.347977,[17  9] ; [50 12],[19.79545455  6.20454545] ; [47.20454545 14.79545455],0
p9,1,0.126122,2.339604,[13 12] ; [43 19],[16.09195402  8.90804598] ; [39.90804598 22.09195402],0
u1,1,0.130788,2.283132,[ 2 24] ; [13 49],[ 4.43181818 21.56818182] ; [10.56818182 51.43181818],0
s4,1,0.135964,2.223052,[ 9 17] ; [12 49],[ 6.27586207 19.72413793] ; [14.72413793 46.27586207],0
s7,1,0.161491,1.960211,[ 9 14] ; [30 23],[11.80263158 11.19736842] ; [27.19736842 25.80263158],0
p6,1,0.165066,1.92719,[ 9 17] ; [31 30],[11.95402299 14.04597701] ; [28.04597701 32.95402299],0
d5,1,0.168582,1.895506,[19  7] ; [53  9],[21.27272727  4.72727273] ; [50.72727273 11.27272727],0
d3,1,0.175709,1.83355,[16 10] ; [47 15],[18.61363636  7.38636364] ; [44.38636364 17.61363636],0
a3,1,0.186972,1.741314,[15 11] ; [44 17],[17.63218391  8.36781609] ; [41.36781609 19.63218391],0
d2,1,0.243955,1.357594,[12 14] ; [37 25],[14.47727273 11.52272727] ; [34.52272727 27.47727273],0
