Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2.8e-05,17.542245,[2 6] ; [37  4],[6.36734694 1.63265306] ; [32.63265306  8.36734694],1
d3,1,0.007562,7.134369,[2 6] ; [31 11],[5.28 2.72] ; [27.72 14.28],0
d1,1,0.014689,5.953335,[1 7] ; [25 17],[4.16 3.84] ; [21.84 20.16],0
a7,1,0.027469,4.861111,[2 6] ; [28 14],[4.8 3.2] ; [25.2 16.8],0
s1,1,0.053136,3.739648,[2 6] ; [ 2 40],[0.64 7.36] ; [ 3.36 38.64],0
r3,1,0.070318,3.275581,[5 3] ; [37  5],[6.72 1.28] ; [35.28  6.72],0
d4,1,0.070318,3.275581,[5 3] ; [37  5],[6.72 1.28] ; [35.28  6.72],0
r2,1,0.076504,3.137651,[5 3] ; [36  5],[6.69387755 1.30612245] ; [34.30612245  6.69387755],0
s8,1,0.083214,3.000992,[1 7] ; [19 23],[3.2 4.8] ; [16.8 25.2],0
v1,1,0.093006,2.821565,[2 6] ; [23 17],[4.16666667 3.83333333] ; [20.83333333 19.16666667],0
r4,1,0.130506,2.28647,[4 4] ; [32 10],[5.76 2.24] ; [30.24 11.76],0
u3,1,0.148795,2.084559,[1 3] ; [11  6],[2.28571429 1.71428571] ; [9.71428571 7.28571429],0
d2,1,0.156376,2.008929,[5 3] ; [15 27],[3.2 4.8] ; [16.8 25.2],0
n5,1,0.156376,2.008929,[3 5] ; [27 15],[4.8 3.2] ; [25.2 16.8],0
v2,1,0.174757,1.841655,[2 6] ; [20 19],[3.74468085 4.25531915] ; [18.25531915 20.74468085],0
s6,1,0.189755,1.71952,[5 3] ; [34  7],[6.36734694 1.63265306] ; [32.63265306  8.36734694],0
n4,1,0.199913,1.643014,[3 5] ; [26 16],[4.64 3.36] ; [24.36 17.64],0
p8,1,0.241567,1.371429,[2 6] ; [19 21],[3.5 4.5] ; [17.5 22.5],0
p2,1,0.264685,1.244085,[5 3] ; [33  8],[6.20408163 1.79591837] ; [31.79591837  9.20408163],0
s4,1,0.297249,1.086495,[4 4] ; [13 29],[2.72 5.28] ; [14.28 27.72],0
a5,1,0.297249,1.086495,[4 4] ; [29 13],[5.28 2.72] ; [27.72 14.28],0
d5,1,0.329313,0.951598,[5 3] ; [33  9],[6.08 1.92] ; [31.92 10.08],0
a6,1,0.370426,0.802236,[3 5] ; [23 19],[4.16 3.84] ; [21.84 20.16],0
s2,1,0.418459,0.654638,[5 3] ; [32 10],[5.92 2.08] ; [31.08 10.92],0
a8,1,0.423711,0.64,[1 7] ; [ 2 38],[0.5 7.5] ; [ 2.5 37.5],0
s3,1,0.44549,0.5821,[4 4] ; [27 15],[4.96 3.04] ; [26.04 15.96],0
a4,1,0.44549,0.5821,[4 4] ; [15 27],[3.04 4.96] ; [15.96 26.04],0
p6,1,0.558678,0.341999,[3 5] ; [20 21],[3.75510204 4.24489796] ; [19.24489796 21.75510204],0
a3,1,0.563424,0.33381,[4 4] ; [25 16],[4.73469388 3.26530612] ; [24.26530612 16.73469388],0
b4,1,0.573919,0.31617,[6 2] ; [35  7],[6.56 1.44] ; [34.44  7.56],0
b5,1,0.598667,0.277011,[3 5] ; [20 22],[3.68 4.32] ; [19.32 22.68],0
a2,1,0.608726,0.262034,[1 7] ; [ 3 39],[0.64 7.36] ; [ 3.36 38.64],0
u1,1,0.608726,0.262034,[1 7] ; [ 3 39],[0.64 7.36] ; [ 3.36 38.64],0
b2,1,0.611732,0.25766,[2 5] ; [ 9 14],[2.56666667 4.43333333] ; [ 8.43333333 14.56666667],0
b3,1,0.611732,0.25766,[2 5] ; [ 9 14],[2.56666667 4.43333333] ; [ 8.43333333 14.56666667],0
p4,1,0.616924,0.250215,[4 4] ; [25 17],[4.64 3.36] ; [24.36 17.64],0
v4,1,0.624311,0.239854,[7 1] ; [38  3],[7.34693878 0.65306122] ; [37.65306122  3.34693878],0
p7,1,0.69627,0.152381,[5 3] ; [22 18],[4.5 3.5] ; [22.5 17.5],0
n6,1,0.699676,0.14881,[6 2] ; [34  8],[6.4 1.6] ; [33.6  8.4],0
n1,1,0.718904,0.129545,[2 2] ; [6 9],[1.68421053 2.31578947] ; [6.31578947 8.68421053],0
p11,1,0.73633,0.113379,[6 2] ; [29 13],[5.6 2.4] ; [29.4 12.6],0
u2,1,0.748328,0.102941,[2 2] ; [10  7],[2.28571429 1.71428571] ; [9.71428571 7.28571429],0
p1,1,0.748876,0.102478,[1 7] ; [ 7 34],[1.30612245 6.69387755] ; [ 6.69387755 34.30612245],0
b1,1,0.778426,0.07917,[3 5] ; [18 24],[3.36 4.64] ; [17.64 24.36],0
a1,1,0.89387,0.017798,[1 7] ; [ 6 36],[1.12 6.88] ; [ 5.88 36.12],0
n3,1,0.905565,0.014074,[2 2] ; [7 8],[1.89473684 2.10526316] ; [7.10526316 7.89473684],0
s7,1,0.916215,0.011068,[4 3] ; [22 18],[3.87234043 3.12765957] ; [22.12765957 17.87234043],0
p3,1,1.0,0.0,[4 4] ; [21 21],[4. 4.] ; [21. 21.],0
