Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.009554,6.716162,[39 64] ; [ 1 16],[34.33333333 68.66666667] ; [ 5.66666667 11.33333333],0
b3,1,0.009554,6.716162,[39 64] ; [ 1 16],[34.33333333 68.66666667] ; [ 5.66666667 11.33333333],0
v2,1,0.020339,5.382562,[88 78] ; [ 9 21],[82.15306122 83.84693878] ; [14.84693878 15.15306122],0
v3,1,0.031249,4.63921,[ 64 105] ; [ 5 24],[ 58.89393939 110.10606061] ; [10.10606061 18.89393939],0
n4,1,0.040416,4.200355,[128  43] ; [17 13],[123.35820896  47.64179104] ; [21.64179104  8.35820896],0
s5,1,0.061129,3.50649,[ 45 123] ; [12 15],[ 49.10769231 118.89230769] ; [ 7.89230769 19.10769231],0
r4,1,0.062291,3.475298,[149  23] ; [22  8],[145.6039604  26.3960396] ; [25.3960396  4.6039604],0
a5,1,0.083598,2.993533,[109  63] ; [14 16],[104.73267327  67.26732673] ; [18.26732673 11.73267327],0
u2,1,0.084994,2.966728,[41 30] ; [ 5 10],[37.97674419 33.02325581] ; [8.02325581 6.97674419],0
s3,1,0.115088,2.482924,[85 86] ; [19 10],[88.92 82.08] ; [15.08 13.92],0
p10,1,0.119357,2.425737,[139  30] ; [21  9],[135.87939698  33.12060302] ; [24.12060302  5.87939698],0
p5,1,0.130413,2.287582,[ 30 140] ; [ 2 28],[ 27.2 142.8] ; [ 4.8 25.2],0
s6,1,0.163975,1.937182,[109  61] ; [21  6],[112.18274112  57.81725888] ; [17.81725888  9.18274112],0
p9,1,0.20008,1.641788,[143  29] ; [22  8],[140.4950495  31.5049505] ; [24.5049505  5.4950495],0
d4,1,0.242225,1.367595,[100  72] ; [14 16],[97.06930693 74.93069307] ; [16.93069307 13.06930693],0
s8,1,0.243777,1.358619,[ 71 101] ; [ 9 21],[ 68.11881188 103.88118812] ; [11.88118812 18.11881188],0
s2,1,0.271229,1.210521,[73 99] ; [15 13],[75.68 96.32] ; [12.32 15.68],0
b4,1,0.317274,1.000149,[92 80] ; [19 11],[94.51485149 77.48514851] ; [16.48514851 13.51485149],0
p3,1,0.381142,0.767016,[106  66] ; [21  9],[108.13861386  63.86138614] ; [18.86138614 11.13861386],0
p11,1,0.384363,0.756699,[133  39] ; [21  9],[131.12871287  40.87128713] ; [22.87128713  7.12871287],0
p12,1,0.39687,0.71779,[ 13 158] ; [ 1 29],[ 11.91044776 159.08955224] ; [ 2.08955224 27.91044776],0
a3,1,0.406092,0.690213,[100  72] ; [15 15],[97.92079208 74.07920792] ; [17.07920792 12.92079208],0
d3,1,0.406092,0.690213,[ 72 100] ; [15 15],[74.07920792 97.92079208] ; [12.92079208 17.07920792],0
p7,1,0.433393,0.613713,[123  47] ; [23  6],[124.72361809  45.27638191] ; [21.27638191  7.72361809],0
v1,1,0.4354,0.608375,[89 80] ; [13 16],[87.06060606 81.93939394] ; [14.93939394 14.06060606],0
r2,1,0.45417,0.560224,[150  20] ; [25  5],[148.75  21.25] ; [26.25  3.75],0
p8,1,0.513044,0.427853,[102  67] ; [20 10],[103.6080402  65.3919598] ; [18.3919598 11.6080402],0
n5,1,0.534209,0.38638,[127  43] ; [24  6],[128.35  41.65] ; [22.65  7.35],0
a7,1,0.547496,0.361822,[110  61] ; [21  9],[111.44776119  59.55223881] ; [19.55223881 10.44776119],0
s7,1,0.565622,0.330063,[79 81] ; [16 13],[80.42328042 79.57671958] ; [14.57671958 14.42328042],0
v4,1,0.5664,0.328744,[159  12] ; [27  3],[158.23880597  12.76119403] ; [27.76119403  2.23880597],0
b5,1,0.581249,0.304219,[101  71] ; [16 14],[99.62376238 72.37623762] ; [17.37623762 12.62376238],0
u3,1,0.581752,0.303411,[36 33] ; [9 6],[36.96428571 32.03571429] ; [8.03571429 6.96428571],0
d5,1,0.634992,0.225352,[101  71] ; [19 11],[102.17821782  69.82178218] ; [17.82178218 12.17821782],0
p6,1,0.783245,0.075676,[73 98] ; [12 18],[72.31343284 98.68656716] ; [12.68656716 17.31343284],0
a4,1,0.823649,0.049664,[ 49 122] ; [ 8 22],[ 48.49253731 122.50746269] ; [ 8.50746269 21.49253731],0
r1,1,0.828754,0.046786,[123  48] ; [21  9],[122.50746269  48.49253731] ; [21.49253731  8.50746269],0
s1,1,0.835385,0.043181,[  7 162] ; [ 1 29],[  6.79396985 162.20603015] ; [ 1.20603015 28.79396985],0
a2,1,0.863558,0.029531,[ 13 159] ; [ 2 28],[ 12.77227723 159.22772277] ; [ 2.22772277 27.77227723],0
r3,1,0.863558,0.029531,[159  13] ; [28  2],[159.22772277  12.77227723] ; [27.77227723  2.22772277],0
d2,1,0.893301,0.01799,[ 27 145] ; [ 5 25],[ 27.24752475 144.75247525] ; [ 4.75247525 25.24752475],0
a6,1,0.913688,0.011748,[105  67] ; [18 12],[104.73267327  67.26732673] ; [18.26732673 11.73267327],0
n6,1,0.91909,0.010318,[141  31] ; [24  5],[141.19402985  30.80597015] ; [23.80597015  5.19402985],0
p1,1,0.930729,0.007556,[ 18 153] ; [ 3 27],[ 17.86567164 153.13432836] ; [ 3.13432836 26.86567164],0
n3,1,0.936794,0.006288,[29  9] ; [6 2],[28.91304348  9.08695652] ; [6.08695652 1.91304348],0
n1,1,0.944724,0.004807,[18 19] ; [4 4],[18.08888889 18.91111111] ; [3.91111111 4.08888889],0
b1,1,0.974752,0.001002,[74 98] ; [13 17],[74.07920792 97.92079208] ; [12.92079208 17.07920792],0
p2,1,0.986175,0.0003,[148  23] ; [26  4],[148.02985075  22.97014925] ; [25.97014925  4.02985075],0
