Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,89.81182,[154  14] ; [11 33],[130.75471698  37.24528302] ; [34.24528302  9.75471698],1
n6,1,0.0,27.110779,[161   7] ; [30 13],[152.07582938  15.92417062] ; [38.92417062  4.07582938],1
a3,1,0.000213,13.712847,[142  26] ; [26 18],[133.13207547  34.86792453] ; [34.86792453  9.13207547],1
r1,1,0.000241,13.482528,[146  22] ; [27 16],[137.74407583  30.25592417] ; [35.25592417  7.74407583],1
s7,1,0.000276,13.228305,[134  28] ; [23 18],[125.29064039  36.70935961] ; [31.70935961  9.29064039],1
p7,1,0.000676,11.552846,[126  36] ; [21 20],[117.31034483  44.68965517] ; [29.68965517 11.31034483],1
s3,1,0.00155,10.018255,[155  11] ; [34 10],[149.4  16.6] ; [39.6  4.4],0
p4,1,0.004444,8.092786,[123  44] ; [22 21],[115.30952381  51.69047619] ; [29.69047619 13.30952381],0
r2,1,0.006918,7.294008,[167   1] ; [41  3],[164.83018868   3.16981132] ; [43.16981132  0.83018868],0
p11,1,0.007529,7.1423,[139  30] ; [28 16],[132.50234742  36.49765258] ; [34.49765258  9.50234742],0
s6,1,0.010114,6.614675,[162   6] ; [38  6],[158.49056604   9.50943396] ; [41.50943396  2.49056604],0
v3,1,0.011564,6.376514,[86 80] ; [13 30],[78.63157895 87.36842105] ; [20.36842105 22.63157895],0
p2,1,0.013047,6.16279,[150  19] ; [31 11],[144.97156398  24.02843602] ; [36.02843602  5.97156398],0
s8,1,0.015765,5.828857,[116  51] ; [22 22],[109.22274882  57.77725118] ; [28.77725118 15.22274882],0
p8,1,0.027731,4.844704,[106  60] ; [19 23],[99.75961538 66.24038462] ; [25.24038462 16.75961538],0
v1,1,0.037387,4.332697,[118  50] ; [23 20],[112.26540284  55.73459716] ; [28.73459716 14.26540284],0
s1,1,0.040241,4.207708,[  6 160] ; [ 5 39],[  8.6952381 157.3047619] ; [ 2.3047619 41.6952381],0
p9,1,0.047268,3.935812,[157   9] ; [36  6],[154.02884615  11.97115385] ; [38.97115385  3.02884615],0
p5,1,0.051002,3.808192,[ 39 130] ; [ 4 38],[ 34.44075829 134.55924171] ; [ 8.55924171 33.44075829],0
a8,1,0.051948,3.77743,[ 21 133] ; [ 1 38],[ 17.55440415 136.44559585] ; [ 4.44559585 34.55440415],0
n2,1,0.056187,3.646512,[34  2] ; [9 3],[32.25  3.75] ; [10.75  1.25],0
p10,1,0.060353,3.527668,[153  15] ; [34  8],[149.6  18.4] ; [37.4  4.6],0
b4,1,0.062359,3.473507,[101  68] ; [33 11],[106.31924883  62.68075117] ; [27.68075117 16.31924883],0
r4,1,0.064231,3.424613,[162   7] ; [39  5],[159.47887324   9.52112676] ; [41.52112676  2.47887324],0
p6,1,0.073863,3.195024,[91 75] ; [17 26],[85.77990431 80.22009569] ; [22.22009569 20.77990431],0
d4,1,0.092019,2.838702,[144  23] ; [42  2],[147.21327014  19.78672986] ; [38.78672986  5.21327014],0
a4,1,0.126214,2.338463,[91 78] ; [18 26],[86.48356808 82.51643192] ; [22.51643192 21.48356808],0
s4,1,0.142584,2.149852,[ 45 120] ; [17 27],[ 48.94736842 116.05263158] ; [13.05263158 30.94736842],0
a1,1,0.149949,2.072773,[  9 160] ; [ 5 39],[ 11.10798122 157.89201878] ; [ 2.89201878 41.10798122],0
a5,1,0.15738,1.999223,[139  30] ; [32 12],[135.67605634  33.32394366] ; [35.32394366  8.67605634],0
d1,1,0.162138,1.95417,[115  54] ; [25 19],[111.07981221  57.92018779] ; [28.92018779 15.07981221],0
d2,1,0.205947,1.599691,[90 77] ; [19 25],[86.27014218 80.72985782] ; [22.72985782 21.27014218],0
a6,1,0.234202,1.41516,[111  56] ; [25 19],[107.63981043  59.36018957] ; [28.36018957 15.63981043],0
