Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3e-06,21.749157,[131  48] ; [51 60],[112.33793103  66.66206897] ; [69.66206897 41.33793103],1
v3,1,1.8e-05,18.344549,[101  76] ; [35 77],[83.29411765 93.70588235] ; [52.70588235 59.29411765],1
p10,1,0.000354,12.758763,[171   9] ; [92 20],[162.12328767  17.87671233] ; [100.87671233  11.12328767],1
n5,1,0.001446,10.145955,[159  22] ; [82 30],[148.87713311  32.12286689] ; [92.12286689 19.87713311],0
a3,1,0.001507,10.070354,[144  35] ; [72 41],[132.4109589  46.5890411] ; [83.5890411 29.4109589],0
d1,1,0.002562,9.095527,[129  52] ; [61 52],[116.97278912  64.02721088] ; [73.02721088 39.97278912],0
p9,1,0.003089,8.754203,[172   9] ; [96 17],[164.99319728  16.00680272] ; [103.00680272   9.99319728],0
d4,1,0.006974,7.279617,[161  19] ; [88 25],[152.96928328  27.03071672] ; [96.03071672 16.96928328],0
d5,1,0.007609,7.123356,[156  24] ; [84 29],[147.44027304  32.55972696] ; [92.55972696 20.44027304],0
p2,1,0.011439,6.395738,[172   9] ; [98 15],[166.2244898  14.7755102] ; [103.7755102   9.2244898],0
d3,1,0.015373,5.873234,[139  42] ; [72 41],[129.90136054  51.09863946] ; [81.09863946 31.90136054],0
b2,1,0.017149,5.681071,[53 63] ; [20 51],[45.28342246 70.71657754] ; [27.71657754 43.28342246],0
b3,1,0.017149,5.681071,[53 63] ; [20 51],[45.28342246 70.71657754] ; [27.71657754 43.28342246],0
n2,1,0.01863,5.535927,[17  2] ; [13 10],[13.57142857  5.42857143] ; [16.42857143  6.57142857],0
s8,1,0.022701,5.191216,[106  73] ; [51 61],[96.57388316 82.42611684] ; [60.42611684 51.57388316],0
a7,1,0.037273,4.337872,[138  42] ; [74 39],[130.23890785  49.76109215] ; [81.76109215 31.23890785],0
r4,1,0.040011,4.217434,[173   8] ; [101  12],[168.68707483  12.31292517] ; [105.31292517   7.68707483],0
p4,1,0.049142,3.870505,[162  19] ; [92 21],[156.37414966  24.62585034] ; [97.62585034 15.37414966],0
p6,1,0.064569,3.415951,[109  67] ; [57 55],[101.44444444  74.55555556] ; [64.55555556 47.44444444],0
b5,1,0.068905,3.308905,[103  78] ; [52 61],[95.42517007 85.57482993] ; [59.57482993 53.42517007],0
n4,1,0.071759,3.242308,[157  24] ; [89 24],[151.44897959  29.55102041] ; [94.55102041 18.44897959],0
a2,1,0.075124,3.167349,[ 52 129] ; [22 91],[ 45.55782313 135.44217687] ; [28.44217687 84.55782313],0
p11,1,0.076576,3.136108,[162  19] ; [93 20],[156.98979592  24.01020408] ; [98.01020408 14.98979592],0
r1,1,0.106397,2.606936,[157  24] ; [90 23],[152.06462585  28.93537415] ; [94.93537415 18.06462585],0
s5,1,0.107142,2.595873,[81 92] ; [40 68],[74.49466192 98.50533808] ; [46.50533808 61.49466192],0
n6,1,0.108371,2.57782,[165  15] ; [96 16],[160.89041096  19.10958904] ; [100.10958904  11.89041096],0
u4,1,0.126274,2.337728,[  7 174] ; [  1 112],[  4.92517007 176.07482993] ; [  3.07482993 109.92517007],0
r3,1,0.138656,2.192815,[176   5] ; [104   7],[173.56164384   7.43835616] ; [106.43835616   4.56164384],0
n1,1,0.144652,2.127759,[10  9] ; [ 7 16],[ 7.69047619 11.30952381] ; [ 9.30952381 13.69047619],0
s7,1,0.151318,2.058916,[104  66] ; [55 50],[98.29090909 71.70909091] ; [60.70909091 44.29090909],0
p12,1,0.166646,1.912862,[ 28 153] ; [ 11 101],[ 24.09215017 156.90784983] ; [14.90784983 97.09215017],0
p7,1,0.185242,1.755061,[162  18] ; [95 17],[158.42465753  21.57534247] ; [98.57534247 13.42465753],0
a5,1,0.195618,1.674795,[149  32] ; [86 27],[144.67687075  36.32312925] ; [90.32312925 22.67687075],0
s2,1,0.221775,1.492849,[100  80] ; [54 58],[94.93150685 85.06849315] ; [59.06849315 52.93150685],0
u3,1,0.271341,1.209954,[24 13] ; [21 19],[21.62337662 15.37662338] ; [23.37662338 16.62337662],0
u2,1,0.281562,1.159537,[19 18] ; [26 15],[21.34615385 15.65384615] ; [23.65384615 17.34615385],0
a4,1,0.284139,1.147185,[88 92] ; [48 65],[83.54948805 96.45051195] ; [52.45051195 60.54948805],0
u1,1,0.308328,1.037823,[ 41 140] ; [20 93],[ 37.55442177 143.44557823] ; [23.44557823 89.55442177],0
a8,1,0.33029,0.947761,[ 25 136] ; [12 94],[ 22.31086142 138.68913858] ; [14.68913858 91.31086142],0
a6,1,0.362841,0.828038,[127  53] ; [74 39],[123.48122867  56.51877133] ; [77.51877133 35.48122867],0
b4,1,0.417419,0.657571,[108  73] ; [62 51],[104.65986395  76.34013605] ; [65.34013605 47.65986395],0
v4,1,0.435585,0.607887,[176   5] ; [107   5],[174.8225256   6.1774744] ; [108.1774744   3.8225256],0
d2,1,0.466245,0.53086,[96 85] ; [55 58],[92.96258503 88.03741497] ; [58.03741497 54.96258503],0
s4,1,0.491568,0.473093,[ 32 146] ; [24 89],[ 34.25429553 143.74570447] ; [21.74570447 91.25429553],0
p5,1,0.49635,0.462733,[ 43 138] ; [23 90],[ 40.63265306 140.36734694] ; [25.36734694 87.63265306],0
p1,1,0.681139,0.168846,[ 24 156] ; [17 96],[ 25.18771331 154.81228669] ; [15.81228669 97.18771331],0
s3,1,0.692049,0.156876,[105  76] ; [67 44],[106.61643836  74.38356164] ; [65.38356164 45.61643836],0
r2,1,0.717728,0.13068,[171   8] ; [105   6],[170.35862069   8.64137931] ; [105.64137931   5.35862069],0
b1,1,0.812313,0.056379,[ 73 108] ; [44 69],[ 72.03061224 108.96938776] ; [44.96938776 68.03061224],0
s6,1,0.852504,0.034568,[128  49] ; [77 31],[127.31578947  49.68421053] ; [77.68421053 30.31578947],0
n3,1,0.879189,0.023103,[12  7] ; [14  9],[11.76190476  7.23809524] ; [14.23809524  8.76190476],0
a1,1,0.882644,0.021791,[ 12 169] ; [  7 106],[ 11.69727891 169.30272109] ; [  7.30272109 105.69727891],0
s1,1,0.956025,0.003041,[  5 176] ; [  3 110],[  4.92517007 176.07482993] ; [  3.07482993 109.92517007],0
