Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,71.706008,[153  86] ; [ 31 122],[112.18367347 126.81632653] ; [71.81632653 81.18367347],1
v1,1,0.0,37.899372,[177  64] ; [66 89],[147.88636364  93.11363636] ; [95.11363636 59.88636364],1
p11,1,0.000721,11.435118,[215  30] ; [118  40],[202.44416873  42.55583127] ; [130.55583127  27.44416873],1
p10,1,0.003588,8.481544,[218  24] ; [126  32],[208.12  33.88] ; [135.88  22.12],0
p7,1,0.006226,7.483767,[170  66] ; [91 64],[157.53452685  78.46547315] ; [103.46547315  51.53452685],0
p9,1,0.006654,7.363993,[221  20] ; [129  27],[212.46851385  28.53148615] ; [137.53148615  18.46851385],0
a8,1,0.036059,4.394329,[ 39 171] ; [ 15 129],[ 32.03389831 177.96610169] ; [ 21.96610169 122.03389831],0
b1,1,0.039305,4.24763,[ 85 160] ; [71 87],[ 94.83870968 150.16129032] ; [61.16129032 96.83870968],0
p12,1,0.040181,4.210236,[ 33 210] ; [ 11 146],[ 26.73 216.27] ; [ 17.27 139.73],0
s1,1,0.049589,3.855288,[  4 236] ; [  8 148],[  7.27272727 232.72727273] ; [  4.72727273 151.27272727],0
a7,1,0.055194,3.676228,[192  52] ; [111  47],[183.91044776  60.08955224] ; [119.08955224  38.91044776],0
s4,1,0.055285,3.673469,[ 30 212] ; [ 30 124],[ 36.66666667 205.33333333] ; [ 23.33333333 130.66666667],0
p3,1,0.069819,3.287276,[147  96] ; [80 76],[138.2481203 104.7518797] ; [88.7518797 67.2481203],0
d4,1,0.076969,3.12776,[241   2] ; [151   5],[238.73684211   4.26315789] ; [153.26315789   2.73684211],0
r3,1,0.084515,2.975867,[234   9] ; [145  12],[230.2425  12.7575] ; [148.7575   8.2425],0
n2,1,0.085192,2.962963,[28  7] ; [28 17],[24.5 10.5] ; [31.5 13.5],0
v4,1,0.09222,2.835183,[237   7] ; [148  10],[233.68159204  10.31840796] ; [151.31840796   6.68159204],0
p4,1,0.094931,2.788701,[176  65] ; [103  55],[168.51879699  72.48120301] ; [110.48120301  47.51879699],0
r2,1,0.103153,2.6561,[231  10] ; [154   2],[233.71536524   7.28463476] ; [151.28463476   4.71536524],0
p8,1,0.103688,2.647887,[147  90] ; [85 73],[139.2  97.8] ; [92.8 65.2],0
p2,1,0.1079,2.584708,[213  31] ; [127  29],[207.4  36.6] ; [132.6  23.4],0
n3,1,0.131842,2.270678,[26 10] ; [24 19],[22.78481013 13.21518987] ; [27.21518987 15.78481013],0
s2,1,0.158372,1.989699,[147  94] ; [84 72],[140.22921914 100.77078086] ; [90.77078086 65.22921914],0
s7,1,0.187429,1.73771,[140  93] ; [81 71],[133.74805195  99.25194805] ; [87.25194805 64.74805195],0
s5,1,0.224591,1.474796,[ 97 137] ; [54 99],[ 91.30232558 142.69767442] ; [59.69767442 93.30232558],0
d2,1,0.259056,1.273797,[183  59] ; [110  46],[178.15577889  63.84422111] ; [114.84422111  41.15577889],0
a2,1,0.31008,1.030333,[ 96 149] ; [ 54 104],[ 91.191067 153.808933] ; [58.808933 99.191067],0
r4,1,0.327003,0.96073,[227  18] ; [142  16],[224.33002481  20.66997519] ; [144.66997519  13.33002481],0
s6,1,0.344286,0.894407,[175  66] ; [105  49],[170.83544304  70.16455696] ; [109.16455696  44.83544304],0
a3,1,0.357261,0.847499,[206  38] ; [127  30],[202.6234414  41.3765586] ; [130.3765586  26.6234414],0
a5,1,0.36913,0.806591,[214  31] ; [133  25],[210.95533499  34.04466501] ; [136.04466501  21.95533499],0
u4,1,0.406782,0.688187,[ 10 235] ; [  4 154],[  8.51116625 236.48883375] ; [  5.48883375 152.51116625],0
s8,1,0.416427,0.660378,[133 107] ; [81 77],[129.04522613 110.95477387] ; [84.95477387 73.04522613],0
u2,1,0.436223,0.606199,[21 17] ; [20 11],[22.57971014 15.42028986] ; [18.42028986 12.57971014],0
b4,1,0.441933,0.591259,[149  96] ; [90 68],[145.29776675  99.70223325] ; [93.70223325 64.29776675],0
a6,1,0.457883,0.551066,[183  60] ; [113  44],[179.82  63.18] ; [116.18  40.82],0
s3,1,0.467474,0.527942,[142  97] ; [99 58],[145.4520202  93.5479798] ; [95.5479798 61.4520202],0
b3,1,0.503312,0.447947,[ 65 101] ; [45 59],[67.62962963 98.37037037] ; [42.37037037 61.62962963],0
b2,1,0.503312,0.447947,[ 65 101] ; [45 59],[67.62962963 98.37037037] ; [42.37037037 61.62962963],0
a4,1,0.53601,0.382985,[149  95] ; [91 66],[146.03491272  97.96508728] ; [93.96508728 63.03491272],0
p5,1,0.536148,0.382726,[ 34 211] ; [ 25 130],[ 36.1375 208.8625] ; [ 22.8625 132.1375],0
d3,1,0.545706,0.365065,[211  33] ; [139  18],[212.96758105  31.03241895] ; [137.03241895  19.96758105],0
u1,1,0.552598,0.352683,[ 75 170] ; [ 44 114],[ 72.34491315 172.65508685] ; [ 46.65508685 111.34491315],0
p1,1,0.555168,0.34814,[ 22 223] ; [ 17 141],[ 23.70967742 221.29032258] ; [ 15.29032258 142.70967742],0
n4,1,0.563792,0.333181,[230  15] ; [146  12],[228.58560794  16.41439206] ; [147.41439206  10.58560794],0
