Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-06,24.548053,[22 30] ; [95 23],[35.78823529 16.21176471] ; [81.21176471 36.78823529],1
b5,1,0.000177,14.060384,[18 34] ; [78 41],[29.19298246 22.80701754] ; [66.80701754 52.19298246],1
u1,1,0.000256,13.365445,[ 4 48] ; [41 78],[13.68421053 38.31578947] ; [31.31578947 87.68421053],1
d3,1,0.000437,12.367853,[29 23] ; [97 22],[38.31578947 13.68421053] ; [87.68421053 31.31578947],1
a2,1,0.004753,7.970919,[ 8 44] ; [44 75],[15.8128655 36.1871345] ; [36.1871345 82.8128655],0
b1,1,0.015966,5.806622,[30 22] ; [45 74],[22.80701754 29.19298246] ; [52.19298246 66.80701754],0
p10,1,0.058258,3.586302,[45  7] ; [112   6],[48.02352941  3.97647059] ; [108.97647059   9.02352941],0
v2,1,0.060901,3.512671,[27 24] ; [79 37],[32.37125749 18.62874251] ; [73.62874251 42.37125749],0
a1,1,0.072024,3.236271,[ 6 46] ; [  5 114],[ 3.34502924 48.65497076] ; [  7.65497076 111.34502924],0
p4,1,0.110004,2.554169,[32 20] ; [87 31],[36.4 15.6] ; [82.6 35.4],0
u4,1,0.144335,2.131124,[ 3 49] ; [  2 117],[ 1.52046784 50.47953216] ; [  3.47953216 115.52046784],0
v4,1,0.171219,1.87224,[50  2] ; [117   1],[51.08235294  0.91764706] ; [115.91764706   2.08235294],0
b3,1,0.174933,1.840151,[20 15] ; [32 42],[16.69724771 18.30275229] ; [35.30275229 38.69724771],0
b2,1,0.174933,1.840151,[20 15] ; [32 42],[16.69724771 18.30275229] ; [35.30275229 38.69724771],0
n4,1,0.255792,1.291388,[44  7] ; [93 25],[41.34319527  9.65680473] ; [95.65680473 22.34319527],0
p2,1,0.259264,1.272684,[42 10] ; [104  15],[44.39766082  7.60233918] ; [101.60233918  17.39766082],0
p9,1,0.262126,1.257494,[47  5] ; [113   6],[48.65497076  3.34502924] ; [111.34502924   7.65497076],0
d1,1,0.306979,1.043629,[34 18] ; [87 32],[36.79532164 15.20467836] ; [84.20467836 34.79532164],0
s7,1,0.307262,1.042406,[41 10] ; [97 15],[43.17791411  7.82208589] ; [94.82208589 17.17791411],0
s4,1,0.358861,0.841874,[16 35] ; [29 89],[13.57988166 37.42011834] ; [31.42011834 86.57988166],0
p3,1,0.362962,0.827619,[34 18] ; [69 50],[31.32163743 20.67836257] ; [71.67836257 47.32163743],0
n3,1,0.390399,0.737698,[9 5] ; [23  7],[10.18181818  3.81818182] ; [21.81818182  8.18181818],0
v1,1,0.445523,0.582015,[39 13] ; [81 36],[36.92307692 15.07692308] ; [83.07692308 33.92307692],0
s3,1,0.451221,0.567583,[43  9] ; [90 26],[41.16666667 10.83333333] ; [91.83333333 24.16666667],0
p11,1,0.461263,0.542827,[42 10] ; [90 29],[40.14035088 11.85964912] ; [91.85964912 27.14035088],0
r4,1,0.464758,0.534412,[49  3] ; [115   4],[49.87134503  2.12865497] ; [114.12865497   4.87134503],0
n2,1,0.488313,0.480242,[12  2] ; [23  7],[11.13636364  2.86363636] ; [23.86363636  6.13636364],0
n5,1,0.513483,0.426962,[44  7] ; [97 21],[42.55029586  8.44970414] ; [98.44970414 19.55029586],0
v3,1,0.52283,0.408308,[29 23] ; [58 57],[27.08982036 24.91017964] ; [59.91017964 55.08982036],0
b4,1,0.523509,0.406975,[32 20] ; [67 52],[30.10526316 21.89473684] ; [68.89473684 50.10526316],0
r2,1,0.601983,0.272016,[51  1] ; [114   4],[50.47058824  1.52941176] ; [114.52941176   3.47058824],0
d5,1,0.603438,0.269841,[44  7] ; [106  13],[45.  6.] ; [105.  14.],0
r3,1,0.607574,0.263723,[51  1] ; [115   4],[50.47953216  1.52046784] ; [115.52046784   3.47953216],0
a5,1,0.624086,0.240167,[44  8] ; [104  15],[45.00584795  6.99415205] ; [102.99415205  16.00584795],0
a4,1,0.680074,0.170042,[28 24] ; [60 59],[26.76023392 25.23976608] ; [61.23976608 57.76023392],0
d2,1,0.687018,0.162332,[31 21] ; [67 52],[29.80116959 22.19883041] ; [68.19883041 50.80116959],0
p6,1,0.696886,0.151732,[26 25] ; [64 54],[27.15976331 23.84023669] ; [62.84023669 55.15976331],0
u2,1,0.700472,0.147981,[5 4] ; [12  7],[5.46428571 3.53571429] ; [11.53571429  7.46428571],0
u3,1,0.701063,0.147368,[6 3] ; [14  5],[6.42857143 2.57142857] ; [13.57142857  5.42857143],0
p1,1,0.717568,0.130835,[ 6 46] ; [ 16 102],[ 6.72941176 45.27058824] ; [ 15.27058824 102.72941176],0
a3,1,0.735723,0.113921,[43  9] ; [100  18],[43.74117647  8.25882353] ; [99.25882353 18.74117647],0
p5,1,0.762507,0.091319,[12 40] ; [25 94],[11.25146199 40.74853801] ; [25.74853801 93.25146199],0
n6,1,0.801136,0.063442,[46  5] ; [104  13],[45.53571429  5.46428571] ; [104.46428571  12.53571429],0
n1,1,0.813142,0.055873,[8 6] ; [16 14],[7.63636364 6.36363636] ; [16.36363636 13.63636364],0
p8,1,0.886718,0.020295,[33 18] ; [75 43],[32.59171598 18.40828402] ; [75.40828402 42.59171598],0
s1,1,0.905839,0.013992,[ 2 50] ; [  4 111],[ 1.86826347 50.13173653] ; [  4.13173653 110.86826347],0
