Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,74.547628,[ 39 179] ; [148 114],[ 84.92916667 133.07083333] ; [102.07083333 159.92916667],1
v1,1,2e-06,22.642205,[ 81 140] ; [154 110],[107.08247423 113.91752577] ; [127.91752577 136.08247423],1
r1,1,2e-05,18.16576,[173  51] ; [245  24],[189.92292089  34.07707911] ; [228.07707911  40.92292089],1
d1,1,0.000157,14.287196,[104 122] ; [170 100],[124.84677419 101.15322581] ; [149.15322581 120.84677419],1
p10,1,0.000212,13.723463,[156  67] ; [225  43],[173.0407332  49.9592668] ; [207.9592668  60.0407332],1
a5,1,0.0004,12.532193,[149  77] ; [216  54],[166.31048387  59.68951613] ; [198.68951613  71.31048387],1
s1,1,0.000642,11.649503,[ 14 209] ; [  2 263],[  7.31147541 215.68852459] ; [  8.68852459 256.31147541],1
d4,1,0.000698,11.495208,[166  59] ; [232  38],[180.90909091  44.09090909] ; [217.09090909  52.90909091],1
p9,1,0.002854,8.89863,[166  55] ; [229  38],[178.88319672  42.11680328] ; [216.11680328  50.88319672],0
p7,1,0.004176,8.205731,[100 121] ; [155 111],[115.71868583 105.28131417] ; [139.28131417 126.71868583],0
p11,1,0.00519,7.811947,[163  63] ; [223  47],[175.87903226  50.12096774] ; [210.12096774  59.87903226],0
p3,1,0.0054,7.740429,[ 78 147] ; [127 143],[ 93.18181818 131.81818182] ; [111.81818182 158.18181818],0
a3,1,0.006645,7.366493,[143  82] ; [202  68],[156.81818182  68.18181818] ; [188.18181818  81.81818182],0
d5,1,0.009477,6.730694,[170  55] ; [229  41],[181.36363636  43.63636364] ; [217.63636364  52.36363636],0
p8,1,0.01302,6.166327,[ 82 142] ; [127 139],[ 95.54285714 128.45714286] ; [113.45714286 152.54285714],0
d3,1,0.015998,5.803053,[136  89] ; [191  79],[148.63636364  76.36363636] ; [178.36363636  91.63636364],0
s7,1,0.028427,4.801976,[ 77 135] ; [120 139],[ 88.67091295 123.32908705] ; [108.32908705 150.67091295],0
b5,1,0.030227,4.696318,[152  74] ; [156 114],[140.33870968  85.66129032] ; [167.66129032 102.33870968],0
p2,1,0.033252,4.532758,[169  57] ; [223  47],[178.61290323  47.38709677] ; [213.38709677  56.61290323],0
b1,1,0.042886,4.09991,[ 90 136] ; [ 84 186],[ 79.28225806 146.71774194] ; [ 94.71774194 175.28225806],0
