Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5.9e-05,16.133952,[68  3] ; [3 3],[65.46753247  5.53246753] ; [5.53246753 0.46753247],1
r3,1,0.000104,15.059341,[70  1] ; [4 2],[68.23376623  2.76623377] ; [5.76623377 0.23376623],1
a3,1,0.000847,11.134431,[56 15] ; [1 5],[52.55844156 18.44155844] ; [4.44155844 1.55844156],1
r1,1,0.006102,7.519958,[58 13] ; [2 4],[55.32467532 15.67532468] ; [4.67532468 1.32467532],0
s2,1,0.01664,5.733929,[61  9] ; [3 3],[58.94736842 11.05263158] ; [5.05263158 0.94736842],0
s3,1,0.025772,4.971219,[60 10] ; [3 3],[58.02631579 11.97368421] ; [4.97368421 1.02631579],0
p3,1,0.052316,3.765649,[41 30] ; [1 5],[38.72727273 32.27272727] ; [3.27272727 2.72727273],0
s7,1,0.055451,3.668478,[57 12] ; [3 3],[55.2 13.8] ; [4.8 1.2],0
r2,1,0.056492,3.637482,[69  2] ; [4 1],[68.19736842  2.80263158] ; [4.80263158 0.19736842],0
p7,1,0.068835,3.310578,[53 16] ; [2 3],[51.28378378 17.71621622] ; [3.71621622 1.28378378],0
a6,1,0.126773,2.331586,[46 25] ; [2 4],[44.25974026 26.74025974] ; [3.74025974 2.25974026],0
d2,1,0.14727,2.100303,[45 26] ; [2 4],[43.33766234 27.66233766] ; [3.66233766 2.33766234],0
d5,1,0.164976,1.928013,[62  9] ; [4 2],[60.85714286 10.14285714] ; [5.14285714 0.85714286],0
d1,1,0.193003,1.694542,[53 18] ; [3 3],[51.63636364 19.36363636] ; [4.36363636 1.63636364],0
a5,1,0.193003,1.694542,[53 18] ; [3 3],[51.63636364 19.36363636] ; [4.36363636 1.63636364],0
n6,1,0.211934,1.558168,[61 10] ; [4 2],[59.93506494 11.06493506] ; [5.06493506 0.93506494],0
b4,1,0.277171,1.180908,[40 31] ; [2 4],[38.72727273 32.27272727] ; [3.27272727 2.72727273],0
s1,1,0.292276,1.109109,[ 4 67] ; [1 5],[ 4.61038961 66.38961039] ; [0.38961039 5.61038961],0
p4,1,0.299694,1.075555,[50 21] ; [3 3],[48.87012987 22.12987013] ; [4.12987013 1.87012987],0
p2,1,0.372267,0.796083,[58 13] ; [4 2],[57.16883117 13.83116883] ; [4.83116883 1.16883117],0
a7,1,0.424477,0.637887,[48 23] ; [5 1],[48.87012987 22.12987013] ; [4.12987013 1.87012987],0
a4,1,0.452363,0.564725,[35 36] ; [2 4],[34.11688312 36.88311688] ; [2.88311688 3.11688312],0
b5,1,0.469613,0.522887,[46 25] ; [3 3],[45.18181818 25.81818182] ; [3.81818182 2.18181818],0
p6,1,0.473107,0.514709,[36 34] ; [4 2],[36.84210526 33.15789474] ; [3.15789474 2.84210526],0
d3,1,0.543531,0.369034,[51 20] ; [5 1],[51.63636364 19.36363636] ; [4.36363636 1.63636364],0
a2,1,0.543531,0.369034,[20 51] ; [1 5],[19.36363636 51.63636364] ; [1.63636364 4.36363636],0
p11,1,0.548428,0.360141,[55 16] ; [4 2],[54.4025974 16.5974026] ; [4.5974026 1.4025974],0
b1,1,0.578244,0.309082,[32 39] ; [2 4],[31.35064935 39.64935065] ; [2.64935065 3.35064935],0
s5,1,0.595163,0.282353,[43 25] ; [2 2],[42.5 25.5] ; [2.5 1.5],0
n5,1,0.608453,0.262434,[54 17] ; [4 2],[53.48051948 17.51948052] ; [4.51948052 1.48051948],0
p8,1,0.632402,0.228817,[42 28] ; [3 3],[41.44736842 28.55263158] ; [3.55263158 2.44736842],0
p10,1,0.692644,0.156238,[63  8] ; [5 1],[62.7012987  8.2987013] ; [5.2987013 0.7012987],0
n4,1,0.728492,0.120501,[52 19] ; [4 2],[51.63636364 19.36363636] ; [4.36363636 1.63636364],0
u3,1,0.765594,0.088889,[11  4] ; [4 1],[11.25  3.75] ; [3.75 1.25],0
u2,1,0.79525,0.06734,[8 7] ; [3 2],[8.25 6.75] ; [2.75 2.25],0
v1,1,0.815867,0.054225,[39 32] ; [3 3],[38.72727273 32.27272727] ; [3.27272727 2.72727273],0
u1,1,0.846944,0.037256,[21 50] ; [2 4],[21.20779221 49.79220779] ; [1.79220779 4.20779221],0
b2,1,0.857327,0.03232,[12 29] ; [1 3],[11.84444444 29.15555556] ; [1.15555556 2.84444444],0
b3,1,0.857327,0.03232,[12 29] ; [1 3],[11.84444444 29.15555556] ; [1.15555556 2.84444444],0
d4,1,0.939329,0.005793,[60 11] ; [5 1],[59.93506494 11.06493506] ; [5.06493506 0.93506494],0
v2,1,0.944921,0.004773,[33 35] ; [3 3],[33.08108108 34.91891892] ; [2.91891892 3.08108108],0
