Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,6.2e-05,16.045729,[95 69] ; [64 12],[108.65  55.35] ; [50.35 25.65],1
s2,1,0.000171,14.123617,[73 91] ; [53 22],[86.46025105 77.53974895] ; [39.53974895 35.46025105],1
p1,1,0.000915,10.993116,[  5 160] ; [11 65],[ 10.95435685 154.04564315] ; [ 5.04564315 70.95435685],1
n1,1,0.001392,10.216055,[16 43] ; [15  8],[22.30487805 36.69512195] ; [ 8.69512195 14.30487805],0
s4,1,0.002279,9.30977,[ 17 147] ; [19 55],[ 24.80672269 139.19327731] ; [11.19327731 62.80672269],0
s7,1,0.003007,8.803198,[65 92] ; [45 27],[75.41484716 81.58515284] ; [34.58515284 37.41484716],0
s3,1,0.003842,8.356968,[80 84] ; [51 23],[90.26890756 73.73109244] ; [40.73109244 33.26890756],0
p6,1,0.008431,6.939525,[ 29 133] ; [25 50],[ 36.91139241 125.08860759] ; [17.08860759 57.91139241],0
s8,1,0.010319,6.578964,[ 56 109] ; [39 37],[65.04149378 99.95850622] ; [29.95850622 46.04149378],0
p3,1,0.012276,6.270583,[ 50 113] ; [36 40],[ 58.65271967 104.34728033] ; [27.34728033 48.65271967],0
p5,1,0.019192,5.483896,[  5 156] ; [ 8 68],[  8.83122363 152.16877637] ; [ 4.16877637 71.83122363],0
a3,1,0.020683,5.353331,[124  41] ; [67  9],[130.76763485  34.23236515] ; [60.23236515 15.76763485],0
n2,1,0.028398,4.803752,[30 28] ; [18  5],[34.37037037 23.62962963] ; [13.62962963  9.37037037],0
a2,1,0.036532,4.372117,[ 57 108] ; [37 39],[ 64.35684647 100.64315353] ; [29.64315353 46.35684647],0
p4,1,0.04879,3.882572,[73 92] ; [44 32],[80.10373444 84.89626556] ; [36.89626556 39.10373444],0
v1,1,0.05326,3.735755,[63 95] ; [40 35],[69.84549356 88.15450644] ; [33.15450644 41.84549356],0
a7,1,0.055981,3.652623,[131  34] ; [51 24],[125.125  39.875] ; [56.875 18.125],0
p10,1,0.060587,3.521246,[115  49] ; [62 14],[120.95  43.05] ; [56.05 19.95],0
p12,1,0.060624,3.52024,[  7 158] ; [ 8 68],[ 10.26970954 154.73029046] ; [ 4.73029046 71.26970954],0
p2,1,0.060966,3.510902,[107  56] ; [59 17],[113.21338912  49.78661088] ; [52.78661088 23.21338912],0
a5,1,0.11192,2.526892,[129  36] ; [66 10],[133.50622407  31.49377593] ; [61.49377593 14.50622407],0
p7,1,0.131937,2.269566,[ 61 101] ; [36 39],[66.30379747 95.69620253] ; [30.69620253 44.30379747],0
r2,1,0.149933,2.072928,[150  12] ; [73  2],[152.43037975   9.56962025] ; [70.56962025  4.43037975],0
d2,1,0.180267,1.795419,[119  44] ; [60 14],[123.10970464  39.89029536] ; [55.89029536 18.10970464],0
a4,1,0.229446,1.44429,[99 65] ; [52 24],[103.18333333  60.81666667] ; [47.81666667 28.18333333],0
n6,1,0.232441,1.425859,[130  35] ; [64 11],[133.375  31.625] ; [60.625 14.375],0
r4,1,0.279773,1.168194,[134  31] ; [66 10],[136.92946058  28.07053942] ; [63.07053942 12.92946058],0
u3,1,0.281528,1.159698,[24 17] ; [7 2],[25.42 15.58] ; [5.58 3.42],0
p9,1,0.286024,1.138243,[124  38] ; [62 13],[127.13924051  34.86075949] ; [58.86075949 16.13924051],0
a8,1,0.303211,1.060019,[ 16 133] ; [ 4 60],[ 13.99061033 135.00938967] ; [ 6.00938967 57.99061033],0
u4,1,0.318875,0.993554,[  6 159] ; [ 1 75],[  4.79253112 160.20746888] ; [ 2.20746888 73.79253112],0
b4,1,0.321355,0.983423,[102  63] ; [52 24],[105.43568465  59.56431535] ; [48.56431535 27.43568465],0
v4,1,0.344273,0.894455,[147  17] ; [71  5],[148.96666667  15.03333333] ; [69.03333333  6.96666667],0
n3,1,0.383643,0.758996,[37 21] ; [17  6],[38.66666667 19.33333333] ; [15.33333333  7.66666667],0
d5,1,0.423757,0.639874,[159   5] ; [75  1],[159.9   4.1] ; [74.1  1.9],0
r1,1,0.424328,0.638297,[129  36] ; [62 13],[131.3125  33.6875] ; [59.6875 15.3125],0
p11,1,0.487065,0.483004,[118  47] ; [51 25],[115.70539419  49.29460581] ; [53.29460581 22.70539419],0
b5,1,0.511851,0.430281,[108  57] ; [53 23],[110.22821577  54.77178423] ; [50.77178423 25.22821577],0
s1,1,0.548465,0.360074,[  6 158] ; [ 4 71],[  6.86192469 157.13807531] ; [ 3.13807531 71.86192469],0
u1,1,0.550427,0.356553,[ 48 117] ; [25 51],[ 49.97925311 115.02074689] ; [23.02074689 52.97925311],0
r3,1,0.576646,0.311688,[153  12] ; [71  4],[154.  11.] ; [70.  5.],0
b1,1,0.578483,0.308693,[67 98] ; [28 48],[65.04149378 99.95850622] ; [29.95850622 46.04149378],0
b2,1,0.595023,0.282568,[43 59] ; [20 33],[41.45806452 60.54193548] ; [21.54193548 31.45806452],0
b3,1,0.595023,0.282568,[43 59] ; [20 33],[41.45806452 60.54193548] ; [21.54193548 31.45806452],0
v3,1,0.632866,0.228195,[56 97] ; [24 48],[54.4 98.6] ; [25.6 46.4],0
a6,1,0.684003,0.165654,[129  35] ; [58 18],[127.78333333  36.21666667] ; [59.21666667 16.78333333],0
n5,1,0.712605,0.135688,[112  52] ; [53 22],[113.22175732  50.77824268] ; [51.77824268 23.22175732],0
d3,1,0.83383,0.044012,[143  21] ; [67  9],[143.5  20.5] ; [66.5  9.5],0
a1,1,0.890623,0.018911,[  8 157] ; [ 4 72],[  8.21576763 156.78423237] ; [ 3.78423237 72.21576763],0
u2,1,0.935485,0.006552,[25 16] ; [5 3],[25.10204082 15.89795918] ; [4.89795918 3.10204082],0
