Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000698,11.495215,[29  9] ; [ 7 15],[22.8 15.2] ; [13.2  8.8],1
n6,1,0.00699,7.275429,[33  4] ; [13  9],[28.84745763  8.15254237] ; [17.15254237  4.84745763],0
p11,1,0.008,7.033493,[30  8] ; [10 12],[25.33333333 12.66666667] ; [14.66666667  7.33333333],0
b1,1,0.035716,4.410613,[21 17] ; [ 6 16],[17.1 20.9] ; [ 9.9 12.1],0
s8,1,0.035716,4.410613,[21 17] ; [ 6 16],[17.1 20.9] ; [ 9.9 12.1],0
a3,1,0.049383,3.862273,[27 11] ; [10 12],[23.43333333 14.56666667] ; [13.56666667  8.43333333],0
a4,1,0.051436,3.794008,[22 16] ; [ 7 15],[18.36666667 19.63333333] ; [10.63333333 11.36666667],0
p3,1,0.060907,3.512525,[25 13] ; [ 9 13],[21.53333333 16.46666667] ; [12.46666667  9.53333333],0
s4,1,0.091196,2.853127,[ 5 32] ; [ 7 15],[ 7.52542373 29.47457627] ; [ 4.47457627 17.52542373],0
p10,1,0.102947,2.65928,[27 11] ; [11 11],[24.06666667 13.93333333] ; [13.93333333  8.06666667],0
s3,1,0.107967,2.583732,[22 16] ; [ 8 14],[19. 19.] ; [11. 11.],0
p5,1,0.14766,2.096257,[ 6 28] ; [ 1 21],[ 4.25 29.75] ; [ 2.75 19.25],0
s6,1,0.155231,2.020084,[24 14] ; [17  4],[26.40677966 11.59322034] ; [14.59322034  6.40677966],0
s7,1,0.17393,1.848739,[16 18] ; [ 6 15],[13.6 20.4] ; [ 8.4 12.6],0
p7,1,0.188214,1.731541,[20 17] ; [ 8 14],[17.55932203 19.44067797] ; [10.44067797 11.55932203],0
d2,1,0.204525,1.609763,[22 16] ; [ 9 13],[19.63333333 18.36666667] ; [11.36666667 10.63333333],0
n3,1,0.211088,1.563946,[10  2] ; [4 3],[8.84210526 3.15789474] ; [5.15789474 1.84210526],0
n2,1,0.211088,1.563946,[10  2] ; [4 3],[8.84210526 3.15789474] ; [5.15789474 1.84210526],0
v4,1,0.23164,1.430764,[35  3] ; [18  4],[33.56666667  4.43333333] ; [19.43333333  2.56666667],0
p9,1,0.241592,1.371283,[28 10] ; [13  9],[25.96666667 12.03333333] ; [15.03333333  6.96666667],0
d1,1,0.258119,1.278817,[23 15] ; [10 12],[20.9 17.1] ; [12.1  9.9],0
n1,1,0.279642,1.168831,[6 5] ; [2 5],[4.88888889 6.11111111] ; [3.11111111 3.88888889],0
a5,1,0.293573,1.103162,[29  9] ; [14  8],[27.23333333 10.76666667] ; [15.76666667  6.23333333],0
v2,1,0.340039,0.910286,[21 15] ; [10 12],[19.24137931 16.75862069] ; [11.75862069 10.24137931],0
d5,1,0.353391,0.861244,[30  8] ; [15  7],[28.5  9.5] ; [16.5  5.5],0
s5,1,0.354394,0.857661,[11 26] ; [ 8 11],[12.55357143 24.44642857] ; [ 6.44642857 12.55357143],0
b5,1,0.407126,0.687177,[20 18] ; [14  8],[21.53333333 16.46666667] ; [12.46666667  9.53333333],0
p12,1,0.419235,0.652458,[ 4 34] ; [ 1 21],[ 3.16666667 34.83333333] ; [ 1.83333333 20.16666667],0
r3,1,0.419235,0.652458,[34  4] ; [21  1],[34.83333333  3.16666667] ; [20.16666667  1.83333333],0
a7,1,0.427825,0.628721,[23 15] ; [11 11],[21.53333333 16.46666667] ; [12.46666667  9.53333333],0
u2,1,0.428539,0.626781,[5 5] ; [8 4],[5.90909091 4.09090909] ; [7.09090909 4.90909091],0
v1,1,0.438727,0.59961,[18 17] ; [ 9 13],[16.57894737 18.42105263] ; [10.42105263 11.57894737],0
u1,1,0.474341,0.511846,[ 8 30] ; [ 3 19],[ 6.96666667 31.03333333] ; [ 4.03333333 17.96666667],0
p8,1,0.564666,0.331689,[14 23] ; [10 12],[15.05084746 21.94915254] ; [ 8.94915254 13.05084746],0
b2,1,0.598312,0.27755,[11 17] ; [4 9],[10.24390244 17.75609756] ; [4.75609756 8.24390244],0
b3,1,0.598312,0.27755,[11 17] ; [4 9],[10.24390244 17.75609756] ; [4.75609756 8.24390244],0
d4,1,0.599558,0.275663,[27 11] ; [17  5],[27.86666667 10.13333333] ; [16.13333333  5.86666667],0
a8,1,0.627077,0.236045,[ 2 33] ; [ 2 20],[ 2.45614035 32.54385965] ; [ 1.54385965 20.45614035],0
