Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,35.562273,[ 1 31] ; [71 42],[15.88965517 16.11034483] ; [56.11034483 56.88965517],1
d5,1,0.0,31.224352,[12 20] ; [97 16],[24.05517241  7.94482759] ; [84.94482759 28.05517241],1
d3,1,1.9e-05,18.252022,[ 9 23] ; [79 34],[19.42068966 12.57931034] ; [68.57931034 44.42068966],1
d2,1,0.00071,11.46179,[ 7 25] ; [63 50],[15.44827586 16.55172414] ; [54.55172414 58.44827586],1
a7,1,0.002215,9.362133,[15 17] ; [85 28],[22.06896552  9.93103448] ; [77.93103448 35.06896552],0
r3,1,0.003784,8.384476,[25  7] ; [107   6],[29.13103448  2.86896552] ; [102.86896552  10.13103448],0
a4,1,0.004383,8.117847,[ 7 24] ; [58 55],[13.99305556 17.00694444] ; [51.00694444 61.99305556],0
s7,1,0.005622,7.667605,[ 4 26] ; [43 63],[10.36764706 19.63235294] ; [36.63235294 69.36764706],0
a5,1,0.011962,6.316525,[15 17] ; [80 33],[20.96551724 11.03448276] ; [74.03448276 38.96551724],0
a6,1,0.014796,5.940559,[13 19] ; [73 40],[18.97931034 13.02068966] ; [67.02068966 45.97931034],0
s1,1,0.023155,5.156859,[ 5 26] ; [  5 108],[ 2.15277778 28.84722222] ; [  7.84722222 105.15277778],0
a2,1,0.033292,4.530687,[ 3 29] ; [31 82],[ 7.50344828 24.49655172] ; [26.49655172 86.50344828],0
a3,1,0.037922,4.308527,[14 16] ; [76 37],[18.88111888 11.11888112] ; [71.11888112 41.88111888],0
p5,1,0.05002,3.840777,[ 4 28] ; [  4 109],[ 1.76551724 30.23448276] ; [  6.23448276 106.76551724],0
p9,1,0.095849,2.773291,[ 7 24] ; [43 68],[10.91549296 20.08450704] ; [39.08450704 71.91549296],0
n2,1,0.106405,2.606825,[13  3] ; [24 17],[10.38596491  5.61403509] ; [26.61403509 14.38596491],0
s2,1,0.11287,2.513575,[ 8 23] ; [46 65],[11.78873239 19.21126761] ; [42.21126761 68.78873239],0
v2,1,0.124839,2.35554,[10 21] ; [53 58],[13.75352113 17.24647887] ; [49.24647887 61.75352113],0
p2,1,0.141168,2.165185,[17 15] ; [76 37],[20.52413793 11.47586207] ; [72.47586207 40.52413793],0
p1,1,0.165608,1.922262,[ 4 28] ; [  6 105],[ 2.23776224 29.76223776] ; [  7.76223776 103.23776224],0
r2,1,0.174004,1.848108,[29  3] ; [109   4],[30.45517241  1.54482759] ; [107.54482759   5.45517241],0
n3,1,0.178473,1.810291,[11  3] ; [24 17],[8.90909091 5.09090909] ; [26.09090909 14.90909091],0
b1,1,0.196761,1.666257,[18 14] ; [49 64],[14.7862069 17.2137931] ; [52.2137931 60.7862069],0
u2,1,0.210083,1.570854,[ 6 12] ; [18 17],[8.1509434 9.8490566] ; [15.8490566 19.1509434],0
s6,1,0.251917,1.312639,[14 17] ; [63 48],[16.80985915 14.19014085] ; [60.19014085 50.80985915],0
b2,1,0.292704,1.107143,[ 5 16] ; [26 46],[ 7. 14.] ; [24. 48.],0
b3,1,0.292704,1.107143,[ 5 16] ; [26 46],[ 7. 14.] ; [24. 48.],0
p8,1,0.30121,1.068829,[ 8 23] ; [40 72],[10.40559441 20.59440559] ; [37.59440559 74.40559441],0
p3,1,0.305736,1.049005,[13 19] ; [35 78],[10.59310345 21.40689655] ; [37.40689655 75.59310345],0
a8,1,0.314014,1.013716,[ 6 23] ; [13 86],[ 4.3046875 24.6953125] ; [14.6953125 84.3046875],0
p12,1,0.341329,0.905433,[ 1 31] ; [  1 111],[ 0.44444444 31.55555556] ; [  1.55555556 110.44444444],0
s8,1,0.38188,0.764642,[ 7 24] ; [34 77],[ 8.95070423 22.04929577] ; [32.04929577 78.95070423],0
u3,1,0.390889,0.736174,[9 9] ; [23 14],[10.47272727  7.52727273] ; [21.52727273 15.47272727],0
s5,1,0.475263,0.509712,[ 5 26] ; [24 85],[ 6.42142857 24.57857143] ; [22.57857143 86.42142857],0
v3,1,0.487782,0.481416,[11 20] ; [31 76],[ 9.43478261 21.56521739] ; [32.56521739 74.43478261],0
p7,1,0.522346,0.40926,[15 17] ; [45 66],[13.42657343 18.57342657] ; [46.57342657 64.42657343],0
n4,1,0.536915,0.381287,[23  9] ; [74 38],[21.55555556 10.44444444] ; [75.44444444 36.55555556],0
n5,1,0.560686,0.338517,[19 13] ; [60 52],[17.55555556 14.44444444] ; [61.44444444 50.55555556],0
s4,1,0.568895,0.324535,[ 5 27] ; [13 97],[ 4.05633803 27.94366197] ; [13.94366197 96.05633803],0
v4,1,0.639845,0.218944,[29  3] ; [99 14],[28.24827586  3.75172414] ; [99.75172414 13.24827586],0
a1,1,0.670668,0.180822,[ 2 30] ; [  5 108],[ 1.54482759 30.45517241] ; [  5.45517241 107.54482759],0
p4,1,0.743664,0.106932,[12 20] ; [46 67],[12.8 19.2] ; [45.2 67.8],0
p11,1,0.752167,0.099719,[18 14] ; [60 53],[17.2137931 14.7862069] ; [60.7862069 52.2137931],0
s3,1,0.862026,0.030205,[15 15] ; [54 58],[14.57746479 15.42253521] ; [54.42253521 57.57746479],0
v1,1,0.897826,0.016489,[14 18] ; [48 65],[13.68275862 18.31724138] ; [48.31724138 64.68275862],0
b4,1,0.899589,0.015921,[20 12] ; [72 41],[20.30344828 11.69655172] ; [71.69655172 41.30344828],0
p6,1,0.93757,0.006135,[ 8 24] ; [27 84],[ 7.83216783 24.16783217] ; [27.16783217 83.83216783],0
r4,1,0.951529,0.003695,[29  3] ; [102  11],[28.91034483  3.08965517] ; [102.08965517  10.91034483],0
n6,1,0.962508,0.00221,[21 11] ; [74 38],[21.11111111 10.88888889] ; [73.88888889 38.11111111],0
b5,1,0.972654,0.001175,[20 12] ; [71 42],[20.08275862 11.91724138] ; [70.91724138 42.08275862],0
n1,1,0.991685,0.000109,[7 9] ; [18 23],[7.01754386 8.98245614] ; [17.98245614 23.01754386],0
