Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,2.2e-05,17.97235,[23  3] ; [ 8 18],[15.5 10.5] ; [15.5 10.5],1
s8,1,4.6e-05,16.605225,[17  9] ; [ 3 24],[ 9.81132075 16.18867925] ; [10.18867925 16.81132075],1
s2,1,0.000495,12.133278,[21  5] ; [ 9 18],[14.71698113 11.28301887] ; [15.28301887 11.71698113],1
p6,1,0.01623,5.777778,[10 15] ; [ 3 24],[ 6.25 18.75] ; [ 6.75 20.25],0
n3,1,0.03182,4.608192,[5 8] ; [9 2],[7.58333333 5.41666667] ; [6.41666667 4.58333333],0
p11,1,0.040504,4.196661,[22  4] ; [16 11],[18.64150943  7.35849057] ; [19.35849057  7.64150943],0
u3,1,0.048741,3.884266,[6 2] ; [4 9],[3.80952381 4.19047619] ; [6.19047619 6.80952381],0
s5,1,0.054919,3.684533,[10 13] ; [ 5 22],[ 6.9 16.1] ; [ 8.1 18.9],0
p8,1,0.094394,2.797804,[11 14] ; [ 6 21],[ 8.17307692 16.82692308] ; [ 8.82692308 18.17307692],0
s4,1,0.107128,2.596091,[10 16] ; [ 5 22],[ 7.35849057 18.64150943] ; [ 7.64150943 19.35849057],0
p10,1,0.107687,2.587839,[18  7] ; [13 13],[15.19607843  9.80392157] ; [15.80392157 10.19607843],0
a3,1,0.119428,2.424811,[18  8] ; [13 14],[15.20754717 10.79245283] ; [15.79245283 11.20754717],0
p3,1,0.14989,2.073365,[12 14] ; [ 7 19],[ 9.5 16.5] ; [ 9.5 16.5],0
p7,1,0.151952,2.052545,[17  8] ; [12 13],[14.5 10.5] ; [14.5 10.5],0
n5,1,0.180091,1.796872,[18  7] ; [14 12],[15.68627451  9.31372549] ; [16.31372549  9.68627451],0
n4,1,0.183613,1.768139,[19  7] ; [15 12],[16.67924528  9.32075472] ; [17.32075472  9.67924528],0
d3,1,0.214729,1.539256,[14 12] ; [19  8],[16.18867925  9.81132075] ; [16.81132075 10.18867925],0
b1,1,0.219077,1.510405,[14 12] ; [10 17],[11.77358491 14.22641509] ; [12.22641509 14.77358491],0
d5,1,0.244364,1.355241,[21  5] ; [18  9],[19.13207547  6.86792453] ; [19.86792453  7.13207547],0
n2,1,0.246566,1.342657,[10  3] ; [6 5],[8.66666667 4.33333333] ; [7.33333333 3.66666667],0
u2,1,0.278503,1.174381,[5 2] ; [6 7],[3.85 3.15] ; [7.15 5.85],0
a2,1,0.280386,1.16522,[ 3 23] ; [ 1 26],[ 1.96226415 24.03773585] ; [ 2.03773585 24.96226415],0
n6,1,0.282287,1.156047,[14 11] ; [19  8],[15.86538462  9.13461538] ; [17.13461538  9.86538462],0
p5,1,0.297953,1.083333,[ 3 23] ; [ 1 25],[ 2. 24.] ; [ 2. 24.],0
a1,1,0.316852,1.001897,[ 1 25] ; [ 3 24],[ 1.96226415 24.03773585] ; [ 2.03773585 24.96226415],0
v4,1,0.423581,0.640359,[19  5] ; [18  8],[17.76  6.24] ; [19.24  6.76],0
p9,1,0.430351,0.621876,[19  7] ; [17 10],[17.66037736  8.33962264] ; [18.33962264  8.66037736],0
a6,1,0.476897,0.50595,[16 10] ; [14 13],[14.71698113 11.28301887] ; [15.28301887 11.71698113],0
v3,1,0.480472,0.497793,[ 8 18] ; [ 6 21],[ 6.86792453 19.13207547] ; [ 7.13207547 19.86792453],0
p4,1,0.498416,0.458307,[13 13] ; [11 16],[11.77358491 14.22641509] ; [12.22641509 14.77358491],0
a8,1,0.528533,0.397212,[ 2 23] ; [ 1 25],[ 1.47058824 23.52941176] ; [ 1.52941176 24.47058824],0
b2,1,0.599766,0.27535,[ 5 17] ; [ 2 11],[ 4.4 17.6] ; [ 2.6 10.4],0
b3,1,0.599766,0.27535,[ 5 17] ; [ 2 11],[ 4.4 17.6] ; [ 2.6 10.4],0
r1,1,0.611324,0.258251,[ 7 19] ; [ 9 18],[ 7.8490566 18.1509434] ; [ 8.1509434 18.8490566],0
v1,1,0.667817,0.184167,[11 13] ; [14 13],[11.76470588 12.23529412] ; [13.23529412 13.76470588],0
a7,1,0.685457,0.164048,[13 13] ; [15 12],[13.73584906 12.26415094] ; [14.26415094 12.73584906],0
b4,1,0.685457,0.164048,[13 13] ; [15 12],[13.73584906 12.26415094] ; [14.26415094 12.73584906],0
d1,1,0.694925,0.153806,[11 15] ; [10 17],[10.30188679 15.69811321] ; [10.69811321 16.30188679],0
b5,1,0.697467,0.151121,[17  9] ; [19  8],[17.66037736  8.33962264] ; [18.33962264  8.66037736],0
p2,1,0.73419,0.115299,[21  5] ; [20  6],[20.5  5.5] ; [20.5  5.5],0
r2,1,0.83066,0.045734,[13  9] ; [14 11],[12.63829787  9.36170213] ; [14.36170213 10.63829787],0
n1,1,0.851054,0.035259,[4 9] ; [3 8],[3.79166667 9.20833333] ; [3.20833333 7.79166667],0
r3,1,0.872687,0.025679,[19  6] ; [20  7],[18.75  6.25] ; [20.25  6.75],0
v2,1,0.90291,0.014881,[15 11] ; [14 11],[14.78431373 11.21568627] ; [14.21568627 10.78431373],0
