Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2.2e-05,18.026147,[12 26] ; [45 15],[22.10204082 15.89795918] ; [34.89795918 25.10204082],1
a7,1,0.015749,5.830632,[25 13] ; [24 35],[19.19587629 18.80412371] ; [29.80412371 29.19587629],0
n1,1,0.018422,5.555556,[ 4 16] ; [16 14],[ 8. 12.] ; [12. 18.],0
r3,1,0.019353,5.469318,[23 15] ; [21 37],[17.41666667 20.58333333] ; [26.58333333 31.41666667],0
d4,1,0.028011,4.82741,[29  9] ; [32 27],[23.89690722 14.10309278] ; [37.10309278 21.89690722],0
p2,1,0.044367,4.042553,[24 14] ; [24 33],[19.2 18.8] ; [28.8 28.2],0
a1,1,0.048741,3.884246,[ 1 37] ; [ 9 51],[ 3.87755102 34.12244898] ; [ 6.12244898 53.87755102],0
n2,1,0.049465,3.859509,[ 7 13] ; [19 11],[10.4  9.6] ; [15.6 14.4],0
p5,1,0.066538,3.366418,[ 1 37] ; [ 8 50],[ 3.5625 34.4375] ; [ 5.4375 52.5625],0
s4,1,0.093357,2.815517,[ 2 36] ; [10 50],[ 4.65306122 33.34693878] ; [ 7.34693878 52.65306122],0
b4,1,0.112031,2.525332,[27 11] ; [33 27],[23.26530612 14.73469388] ; [36.73469388 23.26530612],0
v2,1,0.133392,2.252581,[15 22] ; [15 43],[11.68421053 25.31578947] ; [18.31578947 39.68421053],0
p6,1,0.136601,2.215836,[ 2 34] ; [ 9 48],[ 4.25806452 31.74193548] ; [ 6.74193548 50.25806452],0
d2,1,0.144086,2.133772,[12 26] ; [27 31],[15.4375 22.5625] ; [23.5625 34.4375],0
a6,1,0.201963,1.628123,[14 24] ; [30 30],[17.06122449 20.93877551] ; [26.93877551 33.06122449],0
r1,1,0.210799,1.565928,[14 24] ; [15 45],[11.24489796 26.75510204] ; [17.75510204 42.24489796],0
a5,1,0.213524,1.547368,[16 22] ; [33 27],[19. 19.] ; [30. 30.],0
b5,1,0.213524,1.547368,[22 16] ; [27 33],[19. 19.] ; [30. 30.],0
d3,1,0.214574,1.540295,[21 17] ; [25 34],[18.02061856 19.97938144] ; [27.97938144 31.02061856],0
s5,1,0.23431,1.414503,[ 6 31] ; [ 5 55],[ 4.19587629 32.80412371] ; [ 6.80412371 53.19587629],0
n6,1,0.248356,1.332531,[18 20] ; [35 24],[20.7628866 17.2371134] ; [32.2371134 26.7628866],0
s3,1,0.287572,1.130952,[ 9 26] ; [10 50],[ 7. 28.] ; [12. 48.],0
r2,1,0.3832,0.76041,[17 17] ; [35 24],[19.01075269 14.98924731] ; [32.98924731 26.01075269],0
v4,1,0.42377,0.639836,[24 13] ; [34 26],[22.12371134 14.87628866] ; [35.87628866 24.12371134],0
v1,1,0.457885,0.551059,[13 23] ; [17 42],[11.36842105 24.63157895] ; [18.63157895 40.36842105],0
s6,1,0.465321,0.533065,[10 28] ; [12 48],[ 8.53061224 29.46938776] ; [13.46938776 46.53061224],0
s7,1,0.514677,0.424547,[ 6 29] ; [13 44],[ 7.22826087 27.77173913] ; [11.77173913 45.22826087],0
p10,1,0.520116,0.413664,[16 21] ; [29 29],[17.52631579 19.47368421] ; [27.47368421 30.52631579],0
p4,1,0.544104,0.367986,[ 9 29] ; [17 41],[10.29166667 27.70833333] ; [15.70833333 42.29166667],0
p1,1,0.547814,0.361248,[ 3 35] ; [ 7 53],[ 3.87755102 34.12244898] ; [ 6.12244898 53.87755102],0
s8,1,0.547814,0.361248,[ 3 35] ; [ 7 53],[ 3.87755102 34.12244898] ; [ 6.12244898 53.87755102],0
u1,1,0.565286,0.330634,[ 2 36] ; [ 5 55],[ 2.71428571 35.28571429] ; [ 4.28571429 55.71428571],0
u2,1,0.576347,0.312177,[8 9] ; [10 16],[7.11627907 9.88372093] ; [10.88372093 15.11627907],0
p9,1,0.586435,0.295947,[18 19] ; [31 26],[19.28723404 17.71276596] ; [29.71276596 27.28723404],0
n3,1,0.589515,0.291102,[11  8] ; [15 15],[10.08163265  8.91836735] ; [15.91836735 14.08163265],0
p3,1,0.59525,0.282219,[ 8 29] ; [10 48],[ 7.01052632 29.98947368] ; [10.98947368 47.01052632],0
d5,1,0.634486,0.226027,[24 14] ; [35 25],[22.87755102 15.12244898] ; [36.12244898 23.87755102],0
d1,1,0.722174,0.126419,[14 24] ; [20 40],[13.18367347 24.81632653] ; [20.81632653 39.18367347],0
p7,1,0.784962,0.074451,[11 27] ; [18 39],[11.6 26.4] ; [17.4 39.6],0
s1,1,0.818089,0.052901,[ 3 35] ; [ 4 56],[ 2.71428571 35.28571429] ; [ 4.28571429 55.71428571],0
p12,1,0.822053,0.050583,[ 1 37] ; [ 2 56],[ 1.1875 36.8125] ; [ 1.8125 56.1875],0
a2,1,0.82632,0.048147,[ 5 33] ; [ 7 53],[ 4.65306122 33.34693878] ; [ 7.34693878 52.65306122],0
v3,1,0.847237,0.037112,[ 7 31] ; [12 48],[ 7.36734694 30.63265306] ; [11.63265306 48.36734694],0
p11,1,0.851825,0.034891,[17 21] ; [28 32],[17.44897959 20.55102041] ; [27.55102041 32.44897959],0
u3,1,0.85813,0.031954,[ 4 13] ; [ 7 20],[ 4.25 12.75] ; [ 6.75 20.25],0
a4,1,0.889196,0.019411,[13 25] ; [21 38],[13.31958763 24.68041237] ; [20.68041237 38.31958763],0
b1,1,0.891489,0.018611,[21 17] ; [34 26],[21.32653061 16.67346939] ; [33.67346939 26.32653061],0
b2,1,0.924073,0.009083,[ 8 13] ; [14 24],[ 7.83050847 13.16949153] ; [14.16949153 23.83050847],0
b3,1,0.924073,0.009083,[ 8 13] ; [14 24],[ 7.83050847 13.16949153] ; [14.16949153 23.83050847],0
a3,1,0.936825,0.006282,[21 16] ; [33 26],[20.8125 16.1875] ; [33.1875 25.8125],0
a8,1,0.942015,0.005291,[ 2 33] ; [ 3 53],[ 1.92307692 33.07692308] ; [ 3.07692308 52.92307692],0
p8,1,0.959378,0.002594,[ 9 29] ; [14 44],[ 9.10416667 28.89583333] ; [13.89583333 44.10416667],0
