Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000198,13.846651,[18  5] ; [58 98],[ 9.76536313 13.23463687] ; [66.23463687 89.76536313],1
p4,1,0.00575,7.62697,[14  9] ; [ 49 107],[ 8.09497207 14.90502793] ; [ 54.90502793 101.09497207],0
r4,1,0.028284,4.810677,[21  2] ; [111  49],[16.59016393  6.40983607] ; [115.40983607  44.59016393],0
p3,1,0.028748,4.782663,[11 12] ; [ 41 118],[ 6.57142857 16.42857143] ; [ 45.42857143 113.57142857],0
d2,1,0.041432,4.158274,[ 9 14] ; [ 32 127],[ 5.18131868 17.81868132] ; [ 35.81868132 123.18131868],0
p11,1,0.044953,4.020387,[20  3] ; [106  54],[15.83606557  7.16393443] ; [110.16393443  49.83606557],0
a8,1,0.063086,3.454331,[ 5 16] ; [ 15 136],[ 2.44186047 18.55813953] ; [ 17.55813953 133.44186047],0
s2,1,0.102824,2.661185,[ 9 13] ; [ 39 120],[ 5.83425414 16.16574586] ; [ 42.16574586 116.83425414],0
s3,1,0.139965,2.178348,[12 10] ; [59 96],[ 8.82485876 13.17514124] ; [62.17514124 92.82485876],0
p8,1,0.142104,2.155023,[11 12] ; [ 51 107],[ 7.87845304 15.12154696] ; [ 54.12154696 103.87845304],0
r3,1,0.145063,2.123416,[22  1] ; [134  25],[19.71428571  3.28571429] ; [136.28571429  22.71428571],0
u3,1,0.148291,2.089746,[8 4] ; [46 57],[5.63478261 6.36521739] ; [48.36521739 54.63478261],0
n4,1,0.162174,1.953841,[16  7] ; [86 73],[12.89010989 10.10989011] ; [89.10989011 69.89010989],0
d4,1,0.185648,1.751818,[11 12] ; [99 60],[13.9010989  9.0989011] ; [96.0989011 62.9010989],0
p12,1,0.198672,1.652108,[ 2 21] ; [  5 153],[ 0.88950276 22.11049724] ; [  6.11049724 151.88950276],0
a4,1,0.216538,1.527166,[ 6 17] ; [ 25 134],[ 3.91758242 19.08241758] ; [ 27.08241758 131.91758242],0
a7,1,0.232903,1.423042,[16  6] ; [94 64],[13.44444444  8.55555556] ; [96.55555556 61.44444444],0
