Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,117.26826,[ 65 270] ; [253 182],[138.35064935 196.64935065] ; [179.64935065 255.35064935],1
v1,1,0.0,58.278817,[133 204] ; [294 145],[185.43685567 151.56314433] ; [241.56314433 197.43685567],1
p10,1,5.1e-05,16.412065,[254  85] ; [379  60],[275.81876607  63.18123393] ; [357.18123393  81.81876607],1
r1,1,5.9e-05,16.147635,[271  70] ; [401  46],[290.80203046  50.19796954] ; [381.19796954  65.80203046],1
a5,1,0.00018,14.034006,[233 110] ; [356  91],[255.73037975  87.26962025] ; [333.26962025 113.73037975],1
a3,1,0.001194,10.499361,[225 116] ; [341 105],[245.24269377  95.75730623] ; [320.75730623 125.24269377],0
p9,1,0.001231,10.443906,[271  67] ; [387  50],[286.97290323  51.02709677] ; [371.02709677  65.97290323],0
d1,1,0.001443,10.150302,[182 161] ; [288 160],[203.80530973 139.19469027] ; [266.19469027 181.80530973],0
d4,1,0.001596,9.964662,[265  76] ; [385  61],[281.63913596  59.36086404] ; [368.36086404  77.63913596],0
p3,1,0.002334,9.266531,[154 188] ; [248 195],[175.1388535 166.8611465] ; [226.8611465 216.1388535],0
p7,1,0.002989,8.814152,[201 136] ; [302 130],[220.43042913 116.56957087] ; [282.56957087 149.43042913],0
d5,1,0.004095,8.241221,[260  80] ; [378  69],[275.62897078  64.37102922] ; [362.37102922  84.62897078],0
s1,1,0.004234,8.180669,[ 19 319] ; [  8 430],[ 11.76030928 326.23969072] ; [ 15.23969072 422.76030928],0
s7,1,0.004384,8.117297,[143 183] ; [231 194],[162.34886818 163.65113182] ; [211.65113182 213.34886818],0
s8,1,0.007069,7.255264,[136 205] ; [219 223],[154.60408685 186.39591315] ; [200.39591315 241.60408685],0
d3,1,0.009678,6.69315,[220 121] ; [326 120],[236.57687421 104.42312579] ; [309.42312579 136.57687421],0
b1,1,0.012362,6.258131,[143 200] ; [148 300],[126.18584071 216.81415929] ; [164.81415929 283.18584071],0
u1,1,0.012509,6.237231,[ 51 292] ; [ 98 350],[ 64.61061947 278.38938053] ; [ 84.38938053 363.61061947],0
p8,1,0.016753,5.722112,[167 174] ; [250 184],[183.48 157.52] ; [233.52 200.48],0
