Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,55.165537,[38 99] ; [316 183],[76.25471698 60.74528302] ; [277.74528302 221.25471698],1
a4,1,0.0,45.775241,[ 36 102] ; [293 207],[71.1630094 66.8369906] ; [257.8369906 242.1630094],1
d1,1,0.0,43.691892,[68 70] ; [391 111],[98.971875 39.028125] ; [360.028125 141.971875],1
a3,1,0.0,41.195682,[76 61] ; [410  91],[104.36050157  32.63949843] ; [381.63949843 119.36050157],1
u1,1,0.0,33.245159,[  6 132] ; [138 364],[ 31.05 106.95] ; [112.95 389.05],1
a6,1,1e-05,19.578599,[72 66] ; [361 140],[93.51173709 44.48826291] ; [339.48826291 161.51173709],1
n4,1,0.000137,14.542565,[99 39] ; [429  72],[114.02816901  23.97183099] ; [413.97183099  87.02816901],1
r1,1,0.000144,14.442896,[96 41] ; [421  78],[111.3663522  25.6336478] ; [405.6336478  93.3663522],1
p9,1,0.000176,14.074581,[103  31] ; [442  53],[116.10492846  17.89507154] ; [428.89507154  66.10492846],1
d4,1,0.000819,11.197279,[112  25] ; [460  42],[122.63536776  14.36463224] ; [449.36463224  52.63536776],1
s8,1,0.000918,10.98544,[48 90] ; [252 245],[65.19685039 72.80314961] ; [234.80314961 262.19685039],1
s7,1,0.003853,8.35179,[53 78] ; [262 217],[67.64754098 63.35245902] ; [247.35245902 231.64754098],0
p10,1,0.003987,8.289901,[102  32] ; [430  68],[112.79746835  21.20253165] ; [419.20253165  78.79746835],0
v1,1,0.006238,7.480242,[61 74] ; [285 203],[74.97592295 60.02407705] ; [271.02407705 216.97592295],0
s5,1,0.006411,7.431037,[35 98] ; [188 292],[48.38336052 84.61663948] ; [174.61663948 305.38336052],0
p4,1,0.012778,6.199523,[74 63] ; [328 172],[86.45839874 50.54160126] ; [315.54160126 184.45839874],0
p7,1,0.017172,5.678733,[75 59] ; [328 161],[86.68057785 47.31942215] ; [316.31942215 172.68057785],0
n5,1,0.018769,5.522889,[102  36] ; [414  86],[111.61128527  26.38871473] ; [404.38871473  95.61128527],0
r2,1,0.020189,5.395508,[125  11] ; [476  17],[129.94594595   6.05405405] ; [471.05405405  21.94594595],0
v2,1,0.030226,4.696414,[67 66] ; [295 190],[77.90614887 55.09385113] ; [284.09385113 200.90614887],0
p6,1,0.031465,4.627421,[41 94] ; [201 295],[51.77496038 83.22503962] ; [190.22503962 305.77496038],0
s6,1,0.03987,4.223412,[86 50] ; [353 135],[95.67948718 40.32051282] ; [343.32051282 144.67948718],0
p8,1,0.055027,3.681283,[63 75] ; [270 222],[72.94285714 65.05714286] ; [260.05714286 231.94285714],0
b2,1,0.06334,3.4477,[22 53] ; [131 189],[29.05063291 45.94936709] ; [123.94936709 196.05063291],0
b3,1,0.06334,3.4477,[22 53] ; [131 189],[29.05063291 45.94936709] ; [123.94936709 196.05063291],0
