Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,53.526143,[ 43 129] ; [111  62],[76.77681159 95.22318841] ; [77.22318841 95.77681159],1
p8,1,0.0,25.688312,[ 56 112] ; [104  67],[79.2920354 88.7079646] ; [80.7079646 90.2920354],1
p6,1,1e-06,24.72368,[ 31 136] ; [75 97],[ 52.21828909 114.78171091] ; [ 53.78171091 118.21828909],1
p7,1,1.1e-05,19.378555,[81 86] ; [123  48],[100.79289941  66.20710059] ; [103.20710059  67.79289941],1
p5,1,6.8e-05,15.876216,[  7 164] ; [ 30 142],[ 18.44606414 152.55393586] ; [ 18.55393586 153.44606414],1
p2,1,0.000322,12.937935,[123  49] ; [150  22],[136.5  35.5] ; [136.5  35.5],1
n5,1,0.001391,10.217822,[108  64] ; [135  37],[121.5  50.5] ; [121.5  50.5],0
p10,1,0.003022,8.79394,[116  53] ; [141  30],[127.74411765  41.25588235] ; [129.25588235  41.74411765],0
s7,1,0.008782,6.866591,[ 58 106] ; [81 82],[69.71253823 94.28746177] ; [69.28746177 93.71253823],0
n4,1,0.032577,4.567869,[113  59] ; [131  41],[122.  50.] ; [122.  50.],0
p1,1,0.035527,4.419655,[  9 161] ; [ 20 152],[ 14.41520468 155.58479532] ; [ 14.58479532 157.41520468],0
n6,1,0.038837,4.26799,[132  40] ; [147  25],[139.5  32.5] ; [139.5  32.5],0
a2,1,0.044124,4.051809,[  6 166] ; [ 15 158],[ 10.46956522 161.53043478] ; [ 10.53043478 162.46956522],0
s4,1,0.062661,3.465523,[ 35 137] ; [ 22 149],[ 28.58309038 143.41690962] ; [ 28.41690962 142.58309038],0
a4,1,0.067248,3.348945,[ 36 135] ; [ 51 121],[ 43.37317784 127.62682216] ; [ 43.62682216 128.37317784],0
s6,1,0.08825,2.906016,[100  68] ; [115  53],[107.5  60.5] ; [107.5  60.5],0
s8,1,0.092113,2.837045,[ 53 117] ; [ 69 104],[ 60.4664723 109.5335277] ; [ 61.5335277 111.4664723],0
a5,1,0.11602,2.470241,[92 80] ; [107  66],[99.2115942 72.7884058] ; [99.7884058 73.2115942],0
p9,1,0.121842,2.393487,[127  39] ; [144  29],[132.7020649  33.2979351] ; [138.2979351  34.7020649],0
a7,1,0.125697,2.344854,[108  63] ; [122  50],[114.66472303  56.33527697] ; [115.33527697  56.66472303],0
a6,1,0.141239,2.164403,[96 76] ; [110  63],[102.70144928  69.29855072] ; [103.29855072  69.70144928],0
v1,1,0.173077,1.856084,[77 91] ; [90 79],[83.25222552 84.74777448] ; [83.74777448 85.25222552],0
n2,1,0.198583,1.652768,[40  6] ; [25  8],[37.84810127  8.15189873] ; [27.15189873  5.84810127],0
d5,1,0.236245,1.402864,[94 77] ; [106  67],[99.41860465 71.58139535] ; [100.58139535  72.41860465],0
v3,1,0.238035,1.392196,[ 53 114] ; [ 64 105],[ 58.15178571 108.84821429] ; [ 58.84821429 110.15178571],0
b2,1,0.296559,1.089606,[26 64] ; [36 64],[29.36842105 60.63157895] ; [32.63157895 67.36842105],0
b3,1,0.296559,1.089606,[26 64] ; [36 64],[29.36842105 60.63157895] ; [32.63157895 67.36842105],0
d2,1,0.300234,1.073154,[ 21 150] ; [ 28 145],[ 24.35755814 146.64244186] ; [ 24.64244186 148.35755814],0
v2,1,0.345216,0.890965,[75 85] ; [87 80],[79.26605505 80.73394495] ; [82.73394495 84.26605505],0
u1,1,0.352846,0.863195,[  7 165] ; [  4 169],[  5.48405797 166.51594203] ; [  5.51594203 167.48405797],0
