Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000538,11.97915,[ 8 37] ; [5 1],[11.47058824 33.52941176] ; [1.52941176 4.47058824],1
p5,1,0.002263,9.323347,[ 3 41] ; [3 3],[ 5.28 38.72] ; [0.72 5.28],0
s6,1,0.012946,6.17648,[14 31] ; [5 1],[16.76470588 28.23529412] ; [2.23529412 3.76470588],0
d1,1,0.013746,6.070445,[ 9 36] ; [4 2],[11.47058824 33.52941176] ; [1.52941176 4.47058824],0
p4,1,0.025504,4.989365,[16 29] ; [5 1],[18.52941176 26.47058824] ; [2.47058824 3.52941176],0
p7,1,0.045096,4.015062,[18 27] ; [5 1],[20.29411765 24.70588235] ; [2.70588235 3.29411765],0
p8,1,0.052317,3.765597,[12 32] ; [4 2],[14.08 29.92] ; [1.92 4.08],0
d2,1,0.065196,3.4,[13 32] ; [4 2],[15. 30.] ; [2. 4.],0
a7,1,0.073465,3.203846,[25 20] ; [1 5],[22.94117647 22.05882353] ; [3.05882353 2.94117647],0
p3,1,0.111919,2.526914,[ 9 35] ; [3 3],[10.56 33.44] ; [1.44 4.56],0
n4,1,0.13623,2.220031,[23 22] ; [5 1],[24.70588235 20.29411765] ; [3.29411765 2.70588235],0
s8,1,0.137315,2.207792,[ 5 40] ; [2 4],[ 6.17647059 38.82352941] ; [0.82352941 5.17647059],0
b4,1,0.176823,1.824127,[28 17] ; [2 4],[26.47058824 18.52941176] ; [3.52941176 2.47058824],0
v1,1,0.187634,1.7361,[11 34] ; [3 3],[12.35294118 32.64705882] ; [1.64705882 4.35294118],0
d4,1,0.194062,1.686508,[25 20] ; [5 1],[26.47058824 18.52941176] ; [3.52941176 2.47058824],0
a8,1,0.198363,1.654383,[ 7 36] ; [2 3],[ 8.0625 34.9375] ; [0.9375 4.0625],0
u3,1,0.203708,1.615586,[ 4 23] ; [1 1],[ 4.65517241 22.34482759] ; [0.34482759 1.65517241],0
n6,1,0.22845,1.450484,[26 19] ; [5 1],[27.35294118 17.64705882] ; [3.64705882 2.35294118],0
a3,1,0.233126,1.421684,[18 26] ; [4 2],[19.36 24.64] ; [2.64 3.36],0
d3,1,0.258338,1.27764,[19 26] ; [4 2],[20.29411765 24.70588235] ; [2.70588235 3.29411765],0
d5,1,0.305649,1.049383,[20 25] ; [4 2],[21.17647059 23.82352941] ; [2.82352941 3.17647059],0
p10,1,0.384088,0.757576,[21 23] ; [4 2],[22. 22.] ; [3. 3.],0
r3,1,0.390724,0.736687,[29 15] ; [5 1],[29.92 14.08] ; [4.08 1.92],0
p1,1,0.392091,0.732447,[ 3 42] ; [1 5],[ 3.52941176 41.47058824] ; [0.47058824 5.52941176],0
s1,1,0.392091,0.732447,[ 3 42] ; [1 5],[ 3.52941176 41.47058824] ; [0.47058824 5.52941176],0
p12,1,0.392091,0.732447,[ 3 42] ; [1 5],[ 3.52941176 41.47058824] ; [0.47058824 5.52941176],0
v2,1,0.446305,0.580019,[15 29] ; [3 3],[15.84 28.16] ; [2.16 3.84],0
v4,1,0.537537,0.380124,[24 21] ; [4 2],[24.70588235 20.29411765] ; [3.29411765 2.70588235],0
s2,1,0.546708,0.363248,[10 35] ; [2 4],[10.58823529 34.41176471] ; [1.41176471 4.58823529],0
r1,1,0.546708,0.363248,[10 35] ; [2 4],[10.58823529 34.41176471] ; [1.41176471 4.58823529],0
p9,1,0.574727,0.314837,[24 20] ; [4 2],[24.64 19.36] ; [3.36 2.64],0
p2,1,0.605718,0.266458,[25 20] ; [4 2],[25.58823529 19.41176471] ; [3.41176471 2.58823529],0
s3,1,0.662438,0.190575,[11 33] ; [2 4],[11.44 32.56] ; [1.56 4.44],0
b5,1,0.677725,0.172698,[26 19] ; [4 2],[26.47058824 18.52941176] ; [3.52941176 2.47058824],0
s5,1,0.691555,0.157407,[ 5 40] ; [1 5],[ 5.29411765 39.70588235] ; [0.70588235 5.29411765],0
a6,1,0.717848,0.130564,[19 26] ; [3 3],[19.41176471 25.58823529] ; [2.58823529 3.41176471],0
a5,1,0.717848,0.130564,[19 26] ; [3 3],[19.41176471 25.58823529] ; [2.58823529 3.41176471],0
n5,1,0.753384,0.09871,[27 18] ; [4 2],[27.35294118 17.64705882] ; [3.64705882 2.35294118],0
p11,1,0.753384,0.09871,[27 18] ; [4 2],[27.35294118 17.64705882] ; [3.64705882 2.35294118],0
a4,1,0.82242,0.05037,[13 32] ; [2 4],[13.23529412 31.76470588] ; [1.76470588 4.23529412],0
b3,1,0.871602,0.026122,[ 6 22] ; [1 3],[ 6.125 21.875] ; [0.875 3.125],0
b2,1,0.871602,0.026122,[ 6 22] ; [1 3],[ 6.125 21.875] ; [0.875 3.125],0
b1,1,0.877879,0.023611,[24 21] ; [3 3],[23.82352941 21.17647059] ; [3.17647059 2.82352941],0
u2,1,0.959668,0.002557,[13 14] ; [1 1],[13.03448276 13.96551724] ; [0.96551724 1.03448276],0
p6,1,0.980802,0.000579,[ 7 36] ; [1 5],[ 7.02040816 35.97959184] ; [0.97959184 5.02040816],0
