Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.000305,13.037037,[ 2 31] ; [6 5],[ 6. 27.] ; [2. 9.],1
s2,1,0.007528,7.142362,[ 5 29] ; [6 5],[ 8.31111111 25.68888889] ; [2.68888889 8.31111111],0
s7,1,0.020465,5.371806,[ 4 28] ; [5 6],[ 6.69767442 25.30232558] ; [2.30232558 8.69767442],0
p11,1,0.025199,5.010171,[ 9 25] ; [7 4],[12.08888889 21.91111111] ; [3.91111111 7.08888889],0
v4,1,0.029363,4.746228,[15 19] ; [9 2],[18.13333333 15.86666667] ; [5.86666667 5.13333333],0
u3,1,0.040374,4.202116,[ 4 14] ; [3 1],[ 5.72727273 12.27272727] ; [1.27272727 2.72727273],0
s8,1,0.049738,3.850267,[ 2 32] ; [3 8],[ 3.77777778 30.22222222] ; [1.22222222 9.77777778],0
v1,1,0.053427,3.730501,[ 8 26] ; [6 5],[10.57777778 23.42222222] ; [3.42222222 7.57777778],0
v3,1,0.063615,3.440526,[ 4 30] ; [4 7],[ 6.04444444 27.95555556] ; [1.95555556 9.04444444],0
n2,1,0.074982,3.170437,[ 4 11] ; [3 1],[5.52631579 9.47368421] ; [1.47368421 2.52631579],0
p4,1,0.085991,2.947861,[ 9 25] ; [6 5],[11.33333333 22.66666667] ; [3.66666667 7.33333333],0
d4,1,0.098947,2.722438,[15 19] ; [8 3],[17.37777778 16.62222222] ; [5.62222222 5.37777778],0
n6,1,0.11377,2.501053,[12 21] ; [7 4],[14.25 18.75] ; [4.75 6.25],0
p2,1,0.140562,2.171791,[13 21] ; [7 4],[15.11111111 18.88888889] ; [4.88888889 6.11111111],0
p7,1,0.147759,2.095238,[10 23] ; [6 5],[12. 21.] ; [4. 7.],0
s4,1,0.194329,1.684492,[ 6 28] ; [4 7],[ 7.55555556 26.44444444] ; [2.44444444 8.55555556],0
a7,1,0.257264,1.283422,[12 22] ; [6 5],[13.6 20.4] ; [4.4 6.6],0
b4,1,0.260298,1.267174,[15 19] ; [7 4],[16.62222222 17.37777778] ; [5.37777778 5.62222222],0
p8,1,0.314879,1.010101,[ 7 26] ; [4 7],[ 8.25 24.75] ; [2.75 8.25],0
a5,1,0.33904,0.914058,[16 18] ; [7 4],[17.37777778 16.62222222] ; [5.62222222 5.37777778],0
a3,1,0.33904,0.914058,[16 18] ; [7 4],[17.37777778 16.62222222] ; [5.62222222 5.37777778],0
a4,1,0.358565,0.842912,[10 23] ; [5 6],[11.25 21.75] ; [3.75 7.25],0
p6,1,0.366701,0.814815,[ 5 28] ; [3 8],[ 6. 27.] ; [2. 9.],0
v2,1,0.366701,0.814815,[ 5 28] ; [3 8],[ 6. 27.] ; [2. 9.],0
b1,1,0.437967,0.601604,[20 14] ; [5 6],[18.88888889 15.11111111] ; [6.11111111 4.88888889],0
s3,1,0.468541,0.525415,[ 8 24] ; [4 7],[ 8.93023256 23.06976744] ; [3.06976744 7.93023256],0
p10,1,0.469221,0.52381,[11 22] ; [5 6],[12. 21.] ; [4. 7.],0
p9,1,0.470358,0.521135,[13 18] ; [6 5],[14.02380952 16.97619048] ; [4.97619048 6.02380952],0
b2,1,0.474381,0.511753,[12 11] ; [3 5],[11.12903226 11.87096774] ; [3.87096774 4.12903226],0
b3,1,0.474381,0.511753,[12 11] ; [3 5],[11.12903226 11.87096774] ; [3.87096774 4.12903226],0
d2,1,0.484423,0.488889,[14 19] ; [6 5],[15. 18.] ; [5. 6.],0
r2,1,0.511939,0.430102,[21 11] ; [6 5],[20.09302326 11.90697674] ; [6.90697674 4.09302326],0
n5,1,0.529183,0.39596,[25  9] ; [7 4],[24.17777778  9.82222222] ; [7.82222222 3.17777778],0
a6,1,0.665908,0.186426,[18 16] ; [5 6],[17.37777778 16.62222222] ; [5.62222222 5.37777778],0
b5,1,0.665908,0.186426,[16 18] ; [6 5],[16.62222222 17.37777778] ; [5.37777778 5.62222222],0
p3,1,0.71077,0.13751,[ 8 26] ; [2 9],[ 7.55555556 26.44444444] ; [2.44444444 8.55555556],0
n3,1,0.718904,0.129545,[6 9] ; [2 2],[6.31578947 8.68421053] ; [1.68421053 2.31578947],0
n1,1,0.750042,0.101496,[ 5 10] ; [1 3],[ 4.73684211 10.26315789] ; [1.26315789 2.73684211],0
a1,1,0.782175,0.076444,[ 5 29] ; [2 9],[ 5.28888889 28.71111111] ; [1.71111111 9.28888889],0
d3,1,0.802816,0.062353,[14 20] ; [5 6],[14.35555556 19.64444444] ; [4.64444444 6.35555556],0
d1,1,0.891778,0.018511,[10 24] ; [3 8],[ 9.82222222 24.17777778] ; [3.17777778 7.82222222],0
d5,1,0.926137,0.008594,[18 16] ; [6 5],[18.13333333 15.86666667] ; [5.86666667 5.13333333],0
n4,1,0.948642,0.004149,[22 12] ; [7 4],[21.91111111 12.08888889] ; [7.08888889 3.91111111],0
a2,1,0.978391,0.000734,[ 3 31] ; [ 1 10],[ 3.02222222 30.97777778] ; [ 0.97777778 10.02222222],0
s1,1,0.978391,0.000734,[ 3 31] ; [ 1 10],[ 3.02222222 30.97777778] ; [ 0.97777778 10.02222222],0
