Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,27.008929,[ 5 35] ; [25 10],[16. 24.] ; [14. 21.],1
d4,1,0.000127,14.691394,[24 16] ; [34  1],[30.93333333  9.06666667] ; [27.06666667  7.93333333],1
d3,1,0.000255,13.377485,[14 26] ; [27  8],[21.86666667 18.13333333] ; [19.13333333 15.86666667],1
a3,1,0.001444,10.149167,[22 18] ; [31  4],[28.26666667 11.73333333] ; [24.73333333 10.26666667],0
a5,1,0.00146,10.128348,[19 21] ; [29  6],[25.6 14.4] ; [22.4 12.6],0
a4,1,0.004328,8.140839,[ 8 32] ; [18 17],[13.86666667 26.13333333] ; [12.13333333 22.86666667],0
v2,1,0.02733,4.869854,[14 25] ; [21 13],[18.69863014 20.30136986] ; [16.30136986 17.69863014],0
s8,1,0.051657,3.786841,[21 19] ; [26  9],[25.06666667 14.93333333] ; [21.93333333 13.06666667],0
r2,1,0.078496,3.09576,[32  6] ; [31  1],[34.2  3.8] ; [28.8  3.2],0
p6,1,0.1055,2.620364,[15 24] ; [19 14],[18.41666667 20.58333333] ; [15.58333333 17.41666667],0
v3,1,0.105984,2.613112,[12 28] ; [16 17],[15.34246575 24.65753425] ; [12.65753425 20.34246575],0
a2,1,0.112123,2.524038,[ 3 37] ; [ 7 28],[ 5.33333333 34.66666667] ; [ 4.66666667 30.33333333],0
b4,1,0.112887,2.513335,[19 21] ; [23 12],[22.4 17.6] ; [19.6 15.4],0
a1,1,0.12199,2.391582,[ 1 39] ; [ 4 31],[ 2.66666667 37.33333333] ; [ 2.33333333 32.66666667],0
p9,1,0.163738,1.93936,[31  8] ; [31  3],[33.12328767  5.87671233] ; [28.87671233  5.12328767],0
s6,1,0.197627,1.659824,[25 13] ; [27  7],[27.44444444 10.55555556] ; [24.55555556  9.44444444],0
p2,1,0.24716,1.339286,[34  6] ; [26  9],[32.  8.] ; [28.  7.],0
p3,1,0.26311,1.252319,[20 20] ; [22 13],[22.4 17.6] ; [19.6 15.4],0
s3,1,0.299488,1.076475,[24 16] ; [25 10],[26.13333333 13.86666667] ; [22.86666667 12.13333333],0
u1,1,0.305937,1.048137,[ 2 38] ; [ 4 31],[ 3.2 36.8] ; [ 2.8 32.2],0
b5,1,0.344704,0.892857,[22 18] ; [23 12],[24. 16.] ; [21. 14.],0
v1,1,0.349597,0.87492,[17 22] ; [17 14],[18.94285714 20.05714286] ; [15.05714286 15.94285714],0
p12,1,0.358429,0.843391,[ 3 36] ; [ 1 34],[ 2.10810811 36.89189189] ; [ 1.89189189 33.10810811],0
a7,1,0.365601,0.818561,[21 19] ; [22 13],[22.93333333 17.06666667] ; [20.06666667 14.93333333],0
s1,1,0.372001,0.796969,[ 3 37] ; [ 1 34],[ 2.13333333 37.86666667] ; [ 1.86666667 33.13333333],0
n5,1,0.378225,0.776464,[30 10] ; [23 12],[28.26666667 11.73333333] ; [24.73333333 10.26666667],0
r3,1,0.392715,0.730519,[34  6] ; [32  3],[35.2  4.8] ; [30.8  4.2],0
s5,1,0.400022,0.708261,[13 24] ; [14 17],[14.69117647 22.30882353] ; [12.30882353 18.69117647],0
p5,1,0.417873,0.65629,[ 6 34] ; [ 3 31],[ 4.86486486 35.13513514] ; [ 4.13513514 29.86486486],0
s2,1,0.440401,0.595238,[24 16] ; [24 11],[25.6 14.4] ; [22.4 12.6],0
u2,1,0.47433,0.511871,[10  8] ; [3 1],[10.63636364  7.36363636] ; [2.36363636 1.63636364],0
a8,1,0.559062,0.341331,[ 5 33] ; [ 3 31],[ 4.22222222 33.77777778] ; [ 3.77777778 30.22222222],0
p11,1,0.562834,0.334821,[31  9] ; [29  6],[32.  8.] ; [28.  7.],0
p1,1,0.568811,0.324675,[ 4 36] ; [ 5 30],[ 4.8 35.2] ; [ 4.2 30.8],0
v4,1,0.596485,0.280329,[35  4] ; [30  5],[34.25675676  4.74324324] ; [30.74324324  4.25675676],0
u3,1,0.601448,0.272817,[11  7] ; [3 1],[11.45454545  6.54545455] ; [2.54545455 1.45454545],0
a6,1,0.617661,0.249169,[24 16] ; [19 16],[22.93333333 17.06666667] ; [20.06666667 14.93333333],0
p4,1,0.636602,0.223214,[25 15] ; [20 15],[24. 16.] ; [21. 14.],0
n3,1,0.656787,0.19745,[13  4] ; [9 4],[12.46666667  4.53333333] ; [9.53333333 3.46666667],0
n2,1,0.712547,0.135747,[14  3] ; [10  3],[13.6  3.4] ; [10.4  2.6],0
b2,1,0.788375,0.07205,[11 18] ; [12 17],[11.5 17.5] ; [11.5 17.5],0
b3,1,0.788375,0.07205,[11 18] ; [12 17],[11.5 17.5] ; [11.5 17.5],0
r4,1,0.799895,0.064254,[24 16] ; [22 13],[24.53333333 15.46666667] ; [21.46666667 13.53333333],0
p7,1,0.813072,0.055916,[24 15] ; [20 14],[23.50684932 15.49315068] ; [20.49315068 13.50684932],0
b1,1,0.824471,0.049194,[15 25] ; [14 21],[15.46666667 24.53333333] ; [13.53333333 21.46666667],0
p8,1,0.861576,0.030404,[19 21] ; [15 18],[18.63013699 21.36986301] ; [15.36986301 17.63013699],0
n4,1,0.892165,0.018378,[28 12] ; [25 10],[28.26666667 11.73333333] ; [24.73333333 10.26666667],0
n1,1,0.897001,0.016758,[9 7] ; [7 6],[8.82758621 7.17241379] ; [7.17241379 5.82758621],0
s4,1,0.920951,0.009848,[13 27] ; [11 24],[12.8 27.2] ; [11.2 23.8],0
n6,1,0.970601,0.001358,[31  9] ; [27  8],[30.93333333  9.06666667] ; [27.06666667  7.93333333],0
p10,1,0.982098,0.000504,[30  9] ; [27  8],[30.04054054  8.95945946] ; [26.95945946  8.04054054],0
