Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,4e-06,21.199047,[71 11] ; [ 5 10],[64.24742268 17.75257732] ; [11.75257732  3.24742268],1
d1,1,5e-06,20.832098,[57 25] ; [ 1 14],[49.03092784 32.96907216] ; [8.96907216 6.03092784],1
d3,1,0.000301,13.0641,[61 21] ; [ 4 11],[54.94845361 27.05154639] ; [10.05154639  4.94845361],1
a3,1,0.002047,9.507195,[68 14] ; [7 8],[63.40206186 18.59793814] ; [11.59793814  3.40206186],0
p2,1,0.012374,6.256506,[76  5] ; [11  4],[73.40625  7.59375] ; [13.59375  1.40625],0
p9,1,0.015707,5.835339,[79  3] ; [12  3],[76.92783505  5.07216495] ; [14.07216495  0.92783505],0
d2,1,0.044506,4.037274,[45 37] ; [ 4 11],[41.42268041 40.57731959] ; [7.57731959 7.42268041],0
v1,1,0.052239,3.768098,[57 22] ; [7 8],[53.78723404 25.21276596] ; [10.21276596  4.78723404],0
u3,1,0.054052,3.711097,[11  3] ; [3 5],[8.90909091 5.09090909] ; [5.09090909 2.90909091],0
p1,1,0.058902,3.568047,[19 63] ; [7 8],[21.97938144 60.02061856] ; [ 4.02061856 10.97938144],0
a4,1,0.069173,3.302545,[37 45] ; [ 3 12],[33.81443299 48.18556701] ; [6.18556701 8.81443299],0
p10,1,0.078451,3.096713,[75  5] ; [12  3],[73.26315789  6.73684211] ; [13.73684211  1.26315789],0
s2,1,0.13052,2.286305,[50 32] ; [6 9],[47.34020619 34.65979381] ; [8.65979381 6.34020619],0
a7,1,0.151458,2.057508,[59 23] ; [8 7],[56.63917526 25.36082474] ; [10.36082474  4.63917526],0
a5,1,0.170641,1.877305,[63 19] ; [9 6],[60.86597938 21.13402062] ; [11.13402062  3.86597938],0
s8,1,0.221802,1.492676,[52 30] ; [7 8],[49.87628866 32.12371134] ; [9.12371134 5.87628866],0
p8,1,0.232089,1.428011,[66 16] ; [10  5],[64.24742268 17.75257732] ; [11.75257732  3.24742268],0
a2,1,0.264639,1.244325,[15 67] ; [ 1 14],[13.5257732 68.4742268] ; [ 2.4742268 12.5257732],0
b5,1,0.308835,1.035653,[39 43] ; [ 5 10],[37.19587629 44.80412371] ; [6.80412371 8.19587629],0
u2,1,0.314854,1.010204,[10  4] ; [4 4],[8.90909091 5.09090909] ; [5.09090909 2.90909091],0
s1,1,0.319369,0.991531,[ 5 77] ; [ 2 13],[ 5.91752577 76.08247423] ; [ 1.08247423 13.91752577],0
v2,1,0.356982,0.848483,[47 32] ; [7 8],[45.38297872 33.61702128] ; [8.61702128 6.38297872],0
b2,1,0.377562,0.778624,[30 29] ; [4 7],[28.65714286 30.34285714] ; [5.34285714 5.65714286],0
b3,1,0.377562,0.778624,[30 29] ; [4 7],[28.65714286 30.34285714] ; [5.34285714 5.65714286],0
a1,1,0.40495,0.693579,[12 70] ; [ 1 14],[10.98969072 71.01030928] ; [ 2.01030928 12.98969072],0
p7,1,0.405778,0.691138,[66 14] ; [11  4],[64.84210526 15.15789474] ; [12.15789474  2.84210526],0
r2,1,0.445601,0.581818,[75  6] ; [13  2],[74.25  6.75] ; [13.75  1.25],0
n5,1,0.465505,0.532626,[71 11] ; [14  1],[71.8556701 10.1443299] ; [13.1443299  1.8556701],0
n2,1,0.496329,0.462778,[11  4] ; [1 1],[10.58823529  4.41176471] ; [1.41176471 0.58823529],0
p11,1,0.504586,0.445277,[71 11] ; [12  3],[70.16494845 11.83505155] ; [12.83505155  2.16494845],0
r1,1,0.506805,0.440658,[65 17] ; [13  2],[65.93814433 16.06185567] ; [12.06185567  2.93814433],0
b1,1,0.554885,0.348637,[34 48] ; [ 5 10],[32.96907216 49.03092784] ; [6.03092784 8.96907216],0
a8,1,0.618416,0.2481,[12 63] ; [ 3 11],[12.64044944 62.35955056] ; [ 2.35955056 11.64044944],0
s7,1,0.641034,0.217393,[55 23] ; [9 5],[54.26086957 23.73913043] ; [9.73913043 4.26086957],0
p6,1,0.666136,0.186155,[48 31] ; [10  5],[48.74468085 30.25531915] ; [9.25531915 5.74468085],0
n4,1,0.675278,0.17549,[74  8] ; [13  2],[73.54639175  8.45360825] ; [13.45360825  1.54639175],0
v3,1,0.725225,0.123541,[46 33] ; [8 7],[45.38297872 33.61702128] ; [8.61702128 6.38297872],0
p4,1,0.803978,0.061604,[72  9] ; [13  2],[71.71875  9.28125] ; [13.28125  1.71875],0
b4,1,0.846644,0.037404,[47 35] ; [9 6],[47.34020619 34.65979381] ; [8.65979381 6.34020619],0
n1,1,0.848936,0.036281,[6 8] ; [1 1],[6.125 7.875] ; [0.875 1.125],0
s5,1,0.862649,0.02993,[50 25] ; [9 5],[49.71910112 25.28089888] ; [9.28089888 4.71910112],0
p3,1,0.866029,0.028461,[64 18] ; [12  3],[64.24742268 17.75257732] ; [11.75257732  3.24742268],0
s3,1,0.872153,0.025897,[51 31] ; [9 6],[50.72164948 31.27835052] ; [9.27835052 5.72164948],0
s6,1,0.916056,0.01111,[66 12] ; [12  2],[66.13043478 11.86956522] ; [11.86956522  2.13043478],0
a6,1,0.943262,0.005065,[50 32] ; [9 6],[49.87628866 32.12371134] ; [9.12371134 5.87628866],0
p12,1,0.952118,0.003606,[21 60] ; [ 4 11],[21.09375 59.90625] ; [ 3.90625 11.09375],0
s4,1,0.965631,0.001857,[11 69] ; [ 2 13],[10.94736842 69.05263158] ; [ 2.05263158 12.94736842],0
