Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.054292,3.703704,[4 1] ; [16 29],[2. 3.] ; [18. 27.],0
u3,1,0.063431,3.445312,[1 1] ; [15  1],[1.77777778 0.22222222] ; [14.22222222  1.77777778],0
a1,1,0.157751,1.995652,[1 4] ; [ 2 44],[0.29411765 4.70588235] ; [ 2.70588235 43.29411765],0
r3,1,0.157751,1.995652,[4 1] ; [44  2],[4.70588235 0.29411765] ; [43.29411765  2.70588235],0
s4,1,0.167419,1.905901,[2 3] ; [ 7 39],[0.88235294 4.11764706] ; [ 8.11764706 37.88235294],0
a7,1,0.223521,1.481621,[2 3] ; [31 15],[3.23529412 1.76470588] ; [29.76470588 16.23529412],0
b4,1,0.223521,1.481621,[2 3] ; [31 15],[3.23529412 1.76470588] ; [29.76470588 16.23529412],0
a6,1,0.223521,1.481621,[2 3] ; [31 15],[3.23529412 1.76470588] ; [29.76470588 16.23529412],0
p8,1,0.235004,1.410316,[1 4] ; [22 24],[2.25490196 2.74509804] ; [20.74509804 25.25490196],0
v2,1,0.254451,1.298701,[4 1] ; [24 21],[2.8 2.2] ; [25.2 19.8],0
p7,1,0.254451,1.298701,[1 4] ; [21 24],[2.2 2.8] ; [19.8 25.2],0
v3,1,0.258031,1.279291,[1 4] ; [20 23],[2.1875 2.8125] ; [18.8125 24.1875],0
p9,1,0.271365,1.209834,[4 1] ; [25 21],[2.84313725 2.15686275] ; [26.15686275 19.84313725],0
p4,1,0.311021,1.026335,[4 1] ; [26 20],[2.94117647 2.05882353] ; [27.05882353 18.94117647],0
d1,1,0.354102,0.858703,[4 1] ; [27 19],[3.03921569 1.96078431] ; [27.96078431 18.03921569],0
d2,1,0.354102,0.858703,[4 1] ; [27 19],[3.03921569 1.96078431] ; [27.96078431 18.03921569],0
a4,1,0.367845,0.810932,[3 2] ; [18 28],[2.05882353 2.94117647] ; [18.94117647 27.05882353],0
n4,1,0.377225,0.779727,[3 2] ; [35 10],[3.8 1.2] ; [34.2 10.8],0
p3,1,0.541566,0.372645,[3 2] ; [21 25],[2.35294118 2.64705882] ; [21.64705882 24.35294118],0
n5,1,0.54429,0.367647,[4 1] ; [30 15],[3.4 1.6] ; [30.6 14.4],0
s3,1,0.54429,0.367647,[4 1] ; [30 15],[3.4 1.6] ; [30.6 14.4],0
s7,1,0.54429,0.367647,[4 1] ; [30 15],[3.4 1.6] ; [30.6 14.4],0
b2,1,0.559109,0.34125,[1 3] ; [14 21],[1.53846154 2.46153846] ; [13.46153846 21.53846154],0
b3,1,0.559109,0.34125,[1 3] ; [14 21],[1.53846154 2.46153846] ; [13.46153846 21.53846154],0
a5,1,0.563895,0.333005,[4 1] ; [31 15],[3.43137255 1.56862745] ; [31.56862745 14.43137255],0
b1,1,0.670977,0.180462,[3 2] ; [23 23],[2.54901961 2.45098039] ; [23.45098039 22.54901961],0
a3,1,0.816654,0.053755,[3 2] ; [30 16],[3.23529412 1.76470588] ; [29.76470588 16.23529412],0
d3,1,0.816654,0.053755,[3 2] ; [30 16],[3.23529412 1.76470588] ; [29.76470588 16.23529412],0
s5,1,0.840061,0.040729,[1 2] ; [12 31],[0.84782609 2.15217391] ; [12.15217391 30.84782609],0
s6,1,0.844686,0.038378,[4 1] ; [35 11],[3.82352941 1.17647059] ; [35.17647059 10.82352941],0
d5,1,0.884458,0.021118,[4 1] ; [38  8],[4.11764706 0.88235294] ; [37.88235294  8.11764706],0
u1,1,0.92845,0.008063,[1 4] ; [10 36],[1.07843137 3.92156863] ; [ 9.92156863 36.07843137],0
p11,1,0.969829,0.001431,[3 2] ; [28 18],[3.03921569 1.96078431] ; [27.96078431 18.03921569],0
a2,1,0.981446,0.000541,[1 4] ; [ 9 37],[0.98039216 4.01960784] ; [ 9.01960784 36.98039216],0
v1,1,1.0,0.0,[2 2] ; [23 23],[2. 2.] ; [23. 23.],0
