Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2.4e-05,17.80443,[ 7 29] ; [61 40],[17.86861314 18.13138686] ; [50.13138686 50.86861314],1
r3,1,2.6e-05,17.692252,[21 15] ; [90 10],[29.38235294  6.61764706] ; [81.61764706 18.38235294],1
s1,1,4.6e-05,16.610887,[ 7 28] ; [ 1 98],[ 2.08955224 32.91044776] ; [ 5.91044776 93.08955224],1
p7,1,0.000145,14.430937,[10 25] ; [65 34],[19.58955224 15.41044776] ; [55.41044776 43.58955224],1
v4,1,0.000149,14.391088,[25 11] ; [93  6],[31.46666667  4.53333333] ; [86.53333333 12.46666667],1
p11,1,0.000167,14.172432,[17 19] ; [81 20],[25.75182482 10.24817518] ; [72.24817518 28.75182482],1
p10,1,0.000403,12.518805,[16 19] ; [77 22],[24.29104478 10.70895522] ; [68.70895522 30.29104478],1
a1,1,0.001165,10.54435,[ 5 31] ; [  1 100],[ 1.57664234 34.42335766] ; [ 4.42335766 96.57664234],0
d5,1,0.001222,10.456839,[ 8 28] ; [54 47],[16.2919708 19.7080292] ; [45.7080292 55.2919708],0
p9,1,0.002359,9.246985,[18 16] ; [79 20],[24.79699248  9.20300752] ; [72.20300752 26.79699248],0
n3,1,0.009239,6.776,[4 6] ; [21  4],[7.14285714 2.85714286] ; [17.85714286  7.14285714],0
r4,1,0.01058,6.534463,[23 13] ; [85 16],[28.37956204  7.62043796] ; [79.62043796 21.37956204],0
n6,1,0.016687,5.729,[24 12] ; [86 15],[28.90510949  7.09489051] ; [81.09489051 19.90510949],0
s3,1,0.02703,4.888889,[11 22] ; [55 44],[16.5 16.5] ; [49.5 49.5],0
s7,1,0.027157,4.880826,[ 8 26] ; [42 51],[13.38582677 20.61417323] ; [36.61417323 56.38582677],0
p8,1,0.030885,4.659325,[11 25] ; [50 47],[16.5112782 19.4887218] ; [44.4887218 52.5112782],0
a7,1,0.031192,4.642373,[15 21] ; [63 38],[20.49635036 15.50364964] ; [57.50364964 43.49635036],0
d3,1,0.033975,4.495955,[ 6 30] ; [36 65],[11.03649635 24.96350365] ; [30.96350365 70.03649635],0
v2,1,0.055705,3.660867,[ 9 24] ; [44 51],[13.6640625 19.3359375] ; [39.3359375 55.6640625],0
b5,1,0.090683,2.862199,[17 19] ; [64 37],[21.28467153 14.71532847] ; [59.71532847 41.28467153],0
a5,1,0.097648,2.743536,[16 20] ; [61 40],[20.23357664 15.76642336] ; [56.76642336 44.23357664],0
b4,1,0.148161,2.091082,[16 20] ; [59 42],[19.7080292 16.2919708] ; [55.2919708 45.7080292],0
b1,1,0.160098,1.973298,[18 18] ; [37 64],[14.45255474 21.54744526] ; [40.54744526 60.45255474],0
b2,1,0.161937,1.956044,[10 15] ; [16 48],[ 7.30337079 17.69662921] ; [18.69662921 45.30337079],0
b3,1,0.161937,1.956044,[10 15] ; [16 48],[ 7.30337079 17.69662921] ; [18.69662921 45.30337079],0
u2,1,0.167341,1.906604,[ 6 16] ; [21 26],[ 8.60869565 13.39130435] ; [18.39130435 28.60869565],0
n1,1,0.19659,1.667524,[8 4] ; [11 14],[6.16216216 5.83783784] ; [12.83783784 12.16216216],0
r2,1,0.207964,1.585543,[30  6] ; [91  9],[32.02941176  3.97058824] ; [88.97058824 11.02941176],0
p6,1,0.207989,1.58537,[ 8 27] ; [34 65],[10.97014925 24.02985075] ; [31.02985075 67.97014925],0
