Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,9.7e-05,15.191009,[126  32] ; [42 34],[113.43589744  44.56410256] ; [54.56410256 21.43589744],1
p10,1,0.000201,13.82156,[116  41] ; [38 39],[103.32478632  53.67521368] ; [50.67521368 26.32478632],1
p2,1,0.000333,12.876671,[131  26] ; [50 30],[119.90295359  37.09704641] ; [61.09704641 18.90295359],1
p7,1,0.001376,10.237413,[96 59] ; [32 48],[84.42553191 70.57446809] ; [43.57446809 36.42553191],0
b1,1,0.003938,8.31234,[ 48 110] ; [40 41],[58.17573222 99.82426778] ; [29.82426778 51.17573222],0
n4,1,0.004409,8.107384,[73 85] ; [22 59],[62.80334728 95.19665272] ; [32.19665272 48.80334728],0
p8,1,0.005001,7.878989,[74 84] ; [22 57],[64. 94.] ; [32. 47.],0
s4,1,0.00552,7.70054,[ 23 135] ; [24 57],[ 31.07112971 126.92887029] ; [15.92887029 65.07112971],0
r4,1,0.011281,6.420442,[142  16] ; [63 18],[135.52301255  22.47698745] ; [69.47698745 11.52301255],0
a8,1,0.020869,5.337729,[ 14 132] ; [ 1 74],[  9.90950226 136.09049774] ; [ 5.09049774 69.90950226],0
n6,1,0.03339,4.525682,[109  49] ; [44 36],[101.57142857  56.42857143] ; [51.42857143 28.57142857],0
d2,1,0.036003,4.396985,[ 54 104] ; [39 42],[61.48117155 96.51882845] ; [31.51882845 49.48117155],0
b3,1,0.042274,4.124189,[31 63] ; [ 5 29],[26.4375 67.5625] ; [ 9.5625 24.4375],0
b2,1,0.042274,4.124189,[31 63] ; [ 5 29],[26.4375 67.5625] ; [ 9.5625 24.4375],0
r3,1,0.066439,3.368874,[153   5] ; [74  7],[150.06694561   7.93305439] ; [76.93305439  4.06694561],0
p5,1,0.076479,3.138192,[ 10 147] ; [ 1 79],[  7.28691983 149.71308017] ; [ 3.71308017 76.28691983],0
d5,1,0.078986,3.085637,[114  44] ; [66 14],[119.49579832  38.50420168] ; [60.50420168 19.49579832],0
n2,1,0.091344,2.850523,[31 11] ; [17 14],[27.61643836 14.38356164] ; [20.38356164 10.61643836],0
p12,1,0.107947,2.584023,[  9 148] ; [ 1 78],[  6.65254237 150.34745763] ; [ 3.34745763 75.65254237],0
p6,1,0.121273,2.400807,[ 46 107] ; [16 62],[ 41.06493506 111.93506494] ; [20.93506494 57.06493506],0
a2,1,0.146643,2.106827,[ 20 138] ; [16 65],[ 23.79916318 134.20083682] ; [12.20083682 68.79916318],0
s8,1,0.155412,2.018314,[ 58 100] ; [22 58],[ 53.1092437 104.8907563] ; [26.8907563 53.1092437],0
r1,1,0.15747,1.998357,[120  37] ; [55 26],[115.44117647  41.55882353] ; [59.55882353 21.44117647],0
p4,1,0.165449,1.923701,[75 83] ; [30 49],[70. 88.] ; [35. 44.],0
d1,1,0.173621,1.851399,[77 81] ; [47 34],[81.9748954 76.0251046] ; [42.0251046 38.9748954],0
s2,1,0.200387,1.639551,[62 95] ; [39 42],[66.62605042 90.37394958] ; [34.37394958 46.62605042],0
v1,1,0.219884,1.505131,[63 90] ; [26 53],[58.69396552 94.30603448] ; [30.30603448 48.69396552],0
p3,1,0.22224,1.489845,[67 91] ; [27 52],[62.66666667 95.33333333] ; [31.33333333 47.66666667],0
a4,1,0.266619,1.234061,[ 51 107] ; [32 49],[ 54.87029289 103.12970711] ; [28.12970711 52.87029289],0
n1,1,0.290583,1.116918,[13 30] ; [ 6 25],[11.04054054 31.95945946] ; [ 7.95945946 23.04054054],0
a5,1,0.323863,0.973284,[102  56] ; [47 34],[98.50209205 59.49790795] ; [50.49790795 30.50209205],0
u1,1,0.336853,0.922372,[ 15 143] ; [11 70],[ 17.18828452 140.81171548] ; [ 8.81171548 72.18828452],0
r2,1,0.339376,0.912789,[146  10] ; [73  8],[144.15189873  11.84810127] ; [74.84810127  6.15189873],0
s5,1,0.391175,0.735288,[ 39 113] ; [23 51],[ 41.69911504 110.30088496] ; [20.30088496 53.69911504],0
s1,1,0.406798,0.688138,[  6 152] ; [ 5 76],[  7.27196653 150.72803347] ; [ 3.72803347 77.27196653],0
a1,1,0.504342,0.445789,[  9 149] ; [ 3 78],[  7.93305439 150.06694561] ; [ 4.06694561 76.93305439],0
