Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1.6e-05,18.658441,[12 21] ; [75 22],[22.08461538 10.91538462] ; [64.91538462 32.08461538],1
a6,1,0.000121,14.778596,[15 18] ; [78 19],[23.60769231  9.39230769] ; [69.39230769 27.60769231],1
s4,1,0.002313,9.283093,[ 7 26] ; [ 4 93],[ 2.79230769 30.20769231] ; [ 8.20769231 88.79230769],0
a2,1,0.006263,7.473052,[ 1 32] ; [24 73],[ 6.34615385 26.65384615] ; [18.65384615 78.34615385],0
v4,1,0.012776,6.199868,[28  5] ; [94  3],[30.96923077  2.03076923] ; [91.03076923  5.96923077],0
b5,1,0.042029,4.134031,[13 20] ; [58 39],[18.02307692 14.97692308] ; [52.97692308 44.02307692],0
r4,1,0.069933,3.28459,[25  8] ; [86 11],[28.17692308  4.82307692] ; [82.82307692 14.17692308],0
p4,1,0.071383,3.250919,[19 14] ; [72 25],[23.1  9.9] ; [67.9 29.1],0
u1,1,0.107292,2.593661,[ 2 31] ; [17 80],[ 4.82307692 28.17692308] ; [14.17692308 82.82307692],0
r2,1,0.109909,2.555535,[28  5] ; [91  6],[30.20769231  2.79230769] ; [88.79230769  8.20769231],0
p6,1,0.112292,2.521671,[ 8 24] ; [39 57],[11.75 20.25] ; [35.25 60.75],0
n2,1,0.132391,2.264245,[5 4] ; [11  2],[6.54545455 2.45454545] ; [9.45454545 3.54545455],0
s5,1,0.184567,1.760465,[ 8 24] ; [14 81],[ 5.54330709 26.45669291] ; [16.45669291 78.54330709],0
u3,1,0.18684,1.74236,[4 7] ; [19 13],[5.88372093 5.11627907] ; [17.11627907 14.88372093],0
d2,1,0.197507,1.66071,[16 16] ; [36 61],[12.89922481 19.10077519] ; [39.10077519 57.89922481],0
d5,1,0.201527,1.631273,[23 10] ; [78 19],[25.63846154  7.36153846] ; [75.36153846 21.63846154],0
r1,1,0.224511,1.475301,[22 11] ; [75 22],[24.62307692  8.37692308] ; [72.37692308 24.62307692],0
p9,1,0.226605,1.462043,[24  9] ; [80 17],[26.4  6.6] ; [77.6 19.4],0
s1,1,0.250552,1.320222,[ 2 31] ; [ 2 95],[ 1.01538462 31.98461538] ; [ 2.98461538 94.01538462],0
r3,1,0.253465,1.304106,[28  5] ; [89  8],[29.7  3.3] ; [87.3  9.7],0
