Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,8e-06,19.914011,[31  3] ; [15 22],[22.02816901 11.97183099] ; [23.97183099 13.02816901],1
s3,1,2e-05,18.225,[29  7] ; [11 25],[20. 16.] ; [20. 16.],1
s7,1,0.005665,7.653782,[22 11] ; [12 24],[16.26086957 16.73913043] ; [17.73913043 18.26086957],0
s8,1,0.005838,7.599644,[19 17] ; [ 8 29],[13.31506849 22.68493151] ; [13.68493151 23.31506849],0
v2,1,0.006726,7.344686,[21 13] ; [11 26],[15.32394366 18.67605634] ; [16.67605634 20.32394366],0
s5,1,0.010072,6.622205,[15 19] ; [ 6 31],[10.05633803 23.94366197] ; [10.94366197 26.05633803],0
p4,1,0.053116,3.74026,[26 10] ; [18 18],[22. 14.] ; [22. 14.],0
r3,1,0.090397,2.867292,[33  2] ; [30  7],[30.625  4.375] ; [32.375  4.625],0
d4,1,0.10191,2.6754,[31  5] ; [26 11],[28.10958904  7.89041096] ; [28.89041096  8.10958904],0
p1,1,0.113206,2.50888,[ 6 29] ; [ 2 35],[ 3.88888889 31.11111111] ; [ 4.11111111 32.88888889],0
p5,1,0.159022,1.983499,[ 7 29] ; [ 3 34],[ 4.93150685 31.06849315] ; [ 5.06849315 31.93150685],0
u2,1,0.170007,1.882882,[9 7] ; [4 9],[7.17241379 8.82758621] ; [5.82758621 7.17241379],0
v3,1,0.191575,1.705466,[17 18] ; [12 24],[14.29577465 20.70422535] ; [14.70422535 21.29577465],0
p6,1,0.198931,1.650206,[18 18] ; [13 24],[15.28767123 20.71232877] ; [15.71232877 21.28767123],0
n4,1,0.250613,1.319882,[26 10] ; [22 15],[23.67123288 12.32876712] ; [24.32876712 12.67123288],0
n1,1,0.256299,1.288636,[5 6] ; [7 3],[6.28571429 4.71428571] ; [5.71428571 4.28571429],0
a3,1,0.258694,1.275731,[20 16] ; [24 11],[22.30985915 13.69014085] ; [21.69014085 13.30985915],0
p12,1,0.290577,1.116946,[ 3 33] ; [ 1 36],[ 1.97260274 34.02739726] ; [ 2.02739726 34.97260274],0
d3,1,0.328123,0.956292,[28  8] ; [25 12],[26.1369863  9.8630137] ; [26.8630137 10.1369863],0
r1,1,0.383988,0.757895,[27  9] ; [30  6],[28.5  7.5] ; [28.5  7.5],0
b5,1,0.413894,0.667586,[21 15] ; [25 12],[22.68493151 13.31506849] ; [23.31506849 13.68493151],0
p2,1,0.443484,0.587252,[29  7] ; [27 10],[27.61643836  8.38356164] ; [28.38356164  8.61643836],0
p9,1,0.45771,0.551489,[25 11] ; [22 14],[23.5 12.5] ; [23.5 12.5],0
d5,1,0.464863,0.53416,[28  8] ; [26 11],[26.63013699  9.36986301] ; [27.36986301  9.63013699],0
s4,1,0.514632,0.424638,[ 8 28] ; [ 6 31],[ 6.90410959 29.09589041] ; [ 7.09589041 29.90410959],0
r4,1,0.52593,0.40225,[32  4] ; [31  6],[31.06849315  4.93150685] ; [31.93150685  5.06849315],0
a7,1,0.561738,0.336705,[23 13] ; [26 11],[24.16438356 11.83561644] ; [24.83561644 12.16438356],0
a2,1,0.562094,0.336091,[ 5 31] ; [ 7 30],[ 5.91780822 30.08219178] ; [ 6.08219178 30.91780822],0
b1,1,0.566249,0.328999,[16 20] ; [14 23],[14.79452055 21.20547945] ; [15.20547945 21.79452055],0
s1,1,0.571791,0.319695,[ 1 35] ; [ 2 35],[ 1.47945205 34.52054795] ; [ 1.52054795 35.47945205],0
v4,1,0.620496,0.245171,[33  3] ; [35  2],[33.53424658  2.46575342] ; [34.46575342  2.53424658],0
p7,1,0.623627,0.240803,[24 12] ; [22 14],[23. 13.] ; [23. 13.],0
a8,1,0.640918,0.217544,[ 3 28] ; [ 2 29],[ 2.5 28.5] ; [ 2.5 28.5],0
n3,1,0.664558,0.188034,[7 4] ; [6 5],[6.5 4.5] ; [6.5 4.5],0
n6,1,0.682976,0.166795,[27  8] ; [27 10],[26.25  8.75] ; [27.75  9.25],0
p10,1,0.697192,0.151409,[23 13] ; [22 15],[22.19178082 13.80821918] ; [22.80821918 14.19178082],0
v1,1,0.728863,0.120159,[18 18] ; [17 20],[17.26027397 18.73972603] ; [17.73972603 19.26027397],0
d2,1,0.728863,0.120159,[18 18] ; [17 20],[17.26027397 18.73972603] ; [17.73972603 19.26027397],0
n5,1,0.739785,0.110316,[22 14] ; [24 13],[22.68493151 13.31506849] ; [23.31506849 13.68493151],0
u3,1,0.742787,0.107692,[6 9] ; [6 7],[6.42857143 8.57142857] ; [5.57142857 7.42857143],0
b3,1,0.752172,0.099715,[ 4 10] ; [ 5 16],[ 3.6 10.4] ; [ 5.4 15.6],0
b2,1,0.752172,0.099715,[ 4 10] ; [ 5 16],[ 3.6 10.4] ; [ 5.4 15.6],0
a5,1,0.871155,0.026306,[24 12] ; [24 13],[23.67123288 12.32876712] ; [24.32876712 12.67123288],0
a6,1,0.902926,0.014876,[19 17] ; [19 18],[18.73972603 17.26027397] ; [19.26027397 17.73972603],0
