Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,1e-06,23.283215,[29 49] ; [37  8],[41.85365854 36.14634146] ; [24.14634146 20.85365854],1
p3,1,0.000182,14.007637,[16 62] ; [24 21],[25.36585366 52.63414634] ; [14.63414634 30.36585366],1
p9,1,0.005877,7.587585,[28 45] ; [29 16],[35.26271186 37.73728814] ; [21.73728814 23.26271186],0
s6,1,0.006839,7.314905,[24 54] ; [25 20],[31.07317073 46.92682927] ; [17.92682927 27.07317073],0
s7,1,0.030248,4.69514,[13 58] ; [16 28],[17.90434783 53.09565217] ; [11.09565217 32.90434783],0
p7,1,0.031389,4.631579,[23 53] ; [22 22],[28.5 47.5] ; [16.5 27.5],0
v2,1,0.035273,4.431893,[25 51] ; [24 22],[30.52459016 45.47540984] ; [18.47540984 27.52459016],0
p10,1,0.037299,4.336705,[29 45] ; [27 19],[34.53333333 39.46666667] ; [21.46666667 24.53333333],0
s2,1,0.053891,3.716083,[11 67] ; [13 33],[15.09677419 62.90322581] ; [ 8.90322581 37.09677419],0
a4,1,0.054852,3.686575,[29 48] ; [26 21],[34.15322581 42.84677419] ; [20.84677419 26.15322581],0
r1,1,0.061712,3.490779,[44 34] ; [33 12],[48.82926829 29.17073171] ; [28.17073171 16.82926829],0
n3,1,0.066517,3.366957,[16 20] ; [9 3],[18.75 17.25] ; [6.25 5.75],0
s8,1,0.07303,3.213576,[12 66] ; [13 32],[15.85365854 62.14634146] ; [ 9.14634146 35.85365854],0
v3,1,0.073711,3.198393,[21 53] ; [20 25],[25.49579832 48.50420168] ; [15.50420168 29.49579832],0
r2,1,0.073979,3.192462,[60 16] ; [42  4],[63.54098361 12.45901639] ; [38.45901639  7.54098361],0
r3,1,0.099879,2.707479,[52 26] ; [37  9],[55.98387097 22.01612903] ; [33.01612903 12.98387097],0
p5,1,0.108173,2.580718,[ 1 76] ; [ 3 42],[ 2.52459016 74.47540984] ; [ 1.47540984 43.52459016],0
d4,1,0.116365,2.465582,[53 25] ; [38  9],[56.784 21.216] ; [34.216 12.784],0
p8,1,0.12387,2.367692,[17 60] ; [16 30],[20.65853659 56.34146341] ; [12.34146341 33.65853659],0
a5,1,0.12432,2.362037,[44 34] ; [33 14],[48.048 29.952] ; [28.952 18.048],0
r4,1,0.12432,2.362037,[44 34] ; [33 14],[48.048 29.952] ; [28.952 18.048],0
b2,1,0.202873,1.621567,[14 33] ; [10 12],[16.34782609 30.65217391] ; [ 7.65217391 14.34782609],0
b3,1,0.202873,1.621567,[14 33] ; [10 12],[16.34782609 30.65217391] ; [ 7.65217391 14.34782609],0
p4,1,0.213509,1.547475,[23 53] ; [19 27],[26.16393443 49.83606557] ; [15.83606557 30.16393443],0
n4,1,0.226956,1.459837,[44 34] ; [31 15],[47.17741935 30.82258065] ; [27.82258065 18.17741935],0
a7,1,0.228523,1.450028,[47 30] ; [33 13],[50.08130081 26.91869919] ; [29.91869919 16.08130081],0
n2,1,0.243403,1.360774,[18 20] ; [8 4],[19.76 18.24] ; [6.24 5.76],0
p6,1,0.248612,1.331089,[15 61] ; [13 32],[17.58677686 58.41322314] ; [10.41322314 34.58677686],0
s4,1,0.290432,1.117619,[14 64] ; [ 5 41],[11.9516129 66.0483871] ; [ 7.0483871 38.9516129],0
d5,1,0.305457,1.050216,[56 21] ; [38  9],[58.37096774 18.62903226] ; [35.62903226 11.37096774],0
s5,1,0.428981,0.625579,[14 62] ; [11 34],[15.70247934 60.29752066] ; [ 9.29752066 35.70247934],0
u3,1,0.432663,0.615664,[11 18] ; [8 8],[12.24444444 16.75555556] ; [6.75555556 9.24444444],0
