Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.007478,7.154289,[ 6 88] ; [ 8 27],[10.20155039 83.79844961] ; [ 3.79844961 31.20155039],0
p2,1,0.009206,6.78237,[58 36] ; [30  5],[64.12403101 29.87596899] ; [23.87596899 11.12403101],0
p5,1,0.038013,4.304457,[ 5 86] ; [ 6 29],[ 7.94444444 83.05555556] ; [ 3.05555556 31.94444444],0
n3,1,0.047394,3.931353,[23  8] ; [4 6],[20.41463415 10.58536585] ; [6.58536585 3.41463415],0
p4,1,0.149904,2.073224,[43 51] ; [21 14],[46.63565891 47.36434109] ; [17.36434109 17.63565891],0
a5,1,0.173671,1.85097,[70 24] ; [30  5],[72.86821705 21.13178295] ; [27.13178295  7.86821705],0
p6,1,0.180004,1.797588,[19 75] ; [11 24],[21.86046512 72.13953488] ; [ 8.13953488 26.86046512],0
d5,1,0.205442,1.603258,[79 15] ; [26  9],[76.51162791 17.48837209] ; [28.48837209  6.51162791],0
v1,1,0.20686,1.593266,[42 46] ; [20 13],[45.09090909 42.90909091] ; [16.90909091 16.09090909],0
n5,1,0.218796,1.512252,[68 26] ; [29  6],[70.68217054 23.31782946] ; [26.31782946  8.68217054],0
s4,1,0.237075,1.397903,[19 74] ; [ 4 31],[16.7109375 76.2890625] ; [ 6.2890625 28.7109375],0
a4,1,0.249503,1.326087,[51 43] ; [15 20],[48.09302326 45.90697674] ; [17.90697674 17.09302326],0
d1,1,0.2575,1.28215,[57 37] ; [25 10],[59.75193798 34.24806202] ; [22.24806202 12.75193798],0
d4,1,0.299904,1.07462,[76 18] ; [31  4],[77.96899225 16.03100775] ; [29.03100775  5.96899225],0
a7,1,0.311437,1.024571,[61 33] ; [26  9],[63.39534884 30.60465116] ; [23.60465116 11.39534884],0
r2,1,0.324724,0.969826,[85  7] ; [34  1],[86.20472441  5.79527559] ; [32.79527559  2.20472441],0
n1,1,0.346581,0.885937,[17 15] ; [7 3],[18.28571429 13.71428571] ; [5.71428571 4.28571429],0
s5,1,0.346736,0.885366,[32 56] ; [ 9 24],[29.81818182 58.18181818] ; [11.18181818 21.81818182],0
p11,1,0.354969,0.855614,[62 32] ; [20 15],[59.75193798 34.24806202] ; [22.24806202 12.75193798],0
n2,1,0.390729,0.736671,[21 11] ; [8 2],[22.0952381  9.9047619] ; [6.9047619 3.0952381],0
p3,1,0.390925,0.736063,[31 63] ; [14 20],[33.046875 60.953125] ; [11.953125 22.046875],0
p9,1,0.412873,0.670513,[73 19] ; [30  5],[74.61417323 17.38582677] ; [28.38582677  6.61417323],0
r4,1,0.435188,0.608938,[78 16] ; [31  4],[79.42635659 14.57364341] ; [29.57364341  5.42635659],0
p10,1,0.435238,0.608805,[66 28] ; [27  8],[67.76744186 26.23255814] ; [25.23255814  9.76744186],0
a3,1,0.443051,0.588368,[72 22] ; [29  6],[73.59689922 20.40310078] ; [27.40310078  7.59689922],0
r1,1,0.443051,0.588368,[72 22] ; [29  6],[73.59689922 20.40310078] ; [27.40310078  7.59689922],0
b1,1,0.445133,0.583015,[36 58] ; [16 19],[37.89147287 56.10852713] ; [14.10852713 20.89147287],0
b4,1,0.445133,0.583015,[58 36] ; [19 16],[56.10852713 37.89147287] ; [20.89147287 14.10852713],0
s3,1,0.482925,0.492252,[63 31] ; [25  9],[64.625 29.375] ; [23.375 10.625],0
n6,1,0.504963,0.44449,[78 15] ; [31  4],[79.1953125 13.8046875] ; [29.8046875  5.1953125],0
u4,1,0.509219,0.435671,[ 3 91] ; [ 2 33],[ 3.64341085 90.35658915] ; [ 1.35658915 33.64341085],0
n4,1,0.521099,0.411718,[76 18] ; [30  5],[77.24031008 16.75968992] ; [28.75968992  6.24031008],0
u2,1,0.534561,0.385714,[11 10] ; [4 2],[11.66666667  9.33333333] ; [3.33333333 2.66666667],0
u1,1,0.58198,0.303044,[26 68] ; [ 8 27],[24.7751938 69.2248062] ; [ 9.2248062 25.7751938],0
v2,1,0.587919,0.293606,[44 46] ; [19 16],[45.36 44.64] ; [17.64 17.36],0
r3,1,0.611928,0.257377,[86  8] ; [31  4],[85.25581395  8.74418605] ; [31.74418605  3.25581395],0
p12,1,0.624578,0.239486,[ 8 86] ; [ 2 32],[ 7.34375 86.65625] ; [ 2.65625 31.34375],0
s2,1,0.632647,0.228488,[63 31] ; [25 10],[64.12403101 29.87596899] ; [23.87596899 11.12403101],0
b2,1,0.637591,0.221907,[29 40] ; [ 8 14],[28.05494505 40.94505495] ; [ 8.94505495 13.05494505],0
b3,1,0.637591,0.221907,[29 40] ; [ 8 14],[28.05494505 40.94505495] ; [ 8.94505495 13.05494505],0
a2,1,0.649263,0.20683,[28 66] ; [ 9 26],[26.96124031 67.03875969] ; [10.03875969 24.96124031],0
d3,1,0.695218,0.153495,[61 33] ; [24 11],[61.9379845 32.0620155] ; [23.0620155 11.9379845],0
v3,1,0.70584,0.142467,[33 54] ; [12 23],[32.09016393 54.90983607] ; [12.90983607 22.09016393],0
a8,1,0.758177,0.094788,[ 9 74] ; [ 4 27],[ 9.46491228 73.53508772] ; [ 3.53508772 27.46491228],0
u3,1,0.770831,0.084848,[16  6] ; [4 2],[15.71428571  6.28571429] ; [4.28571429 1.71428571],0
d2,1,0.773498,0.082831,[59 35] ; [21 14],[58.29457364 35.70542636] ; [21.70542636 13.29457364],0
a6,1,0.773498,0.082831,[59 35] ; [21 14],[58.29457364 35.70542636] ; [21.70542636 13.29457364],0
s8,1,0.840624,0.040439,[59 35] ; [22 12],[59.484375 34.515625] ; [21.515625 12.484375],0
s1,1,0.844394,0.038524,[ 7 86] ; [ 3 32],[ 7.265625 85.734375] ; [ 2.734375 32.265625],0
b5,1,0.856773,0.032574,[66 28] ; [24 11],[65.58139535 28.41860465] ; [24.41860465 10.58139535],0
s6,1,0.957007,0.002906,[74 19] ; [28  7],[74.109375 18.890625] ; [27.890625  7.109375],0
