Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,7e-06,20.329866,[65 12] ; [3 9],[58.83146067 18.16853933] ; [9.16853933 2.83146067],1
p9,1,9.3e-05,15.275129,[64 12] ; [4 8],[58.72727273 17.27272727] ; [9.27272727 2.72727273],1
a6,1,0.000362,12.719498,[54 23] ; [ 2 10],[48.4494382 28.5505618] ; [7.5505618 4.4494382],1
p10,1,0.000863,11.100056,[61 16] ; [4 8],[56.23595506 20.76404494] ; [8.76404494 3.23595506],1
r2,1,0.001064,10.713487,[72  5] ; [6 4],[69.03448276  7.96551724] ; [8.96551724 1.03448276],0
v4,1,0.006689,7.354581,[74  3] ; [9 3],[71.80898876  5.19101124] ; [11.19101124  0.80898876],0
r1,1,0.009414,6.742642,[55 22] ; [4 8],[51.04494382 25.95505618] ; [7.95505618 4.04494382],0
p3,1,0.012012,6.309133,[36 41] ; [ 1 11],[32.01123596 44.98876404] ; [4.98876404 7.01123596],0
p11,1,0.012827,6.192788,[54 23] ; [4 8],[50.17977528 26.82022472] ; [7.82022472 4.17977528],0
s3,1,0.025417,4.995281,[56 20] ; [5 7],[52.68181818 23.31818182] ; [8.31818182 3.68181818],0
s6,1,0.03485,4.452507,[64 12] ; [7 5],[61.31818182 14.68181818] ; [9.68181818 2.31818182],0
p7,1,0.03768,4.319395,[46 30] ; [3 8],[42.8045977 33.1954023] ; [6.1954023 4.8045977],0
n3,1,0.084228,2.981366,[20  3] ; [4 3],[18.4  4.6] ; [5.6 1.4],0
s2,1,0.088679,2.898183,[51 25] ; [5 7],[48.36363636 27.63636364] ; [7.63636364 4.36363636],0
v2,1,0.105518,2.620092,[30 43] ; [ 2 10],[27.48235294 45.51764706] ; [4.51764706 7.48235294],0
d5,1,0.118418,2.438117,[55 21] ; [6 6],[52.68181818 23.31818182] ; [8.31818182 3.68181818],0
a1,1,0.126186,2.338813,[ 1 76] ; [ 1 11],[ 1.73033708 75.26966292] ; [ 0.26966292 11.73033708],0
d4,1,0.143426,2.140808,[60 17] ; [7 5],[57.96629213 19.03370787] ; [9.03370787 2.96629213],0
s1,1,0.145269,2.121238,[ 4 72] ; [ 2 10],[ 5.18181818 70.81818182] ; [ 0.81818182 11.18181818],0
b4,1,0.147286,2.10014,[49 28] ; [5 7],[46.71910112 30.28089888] ; [7.28089888 4.71910112],0
v3,1,0.168212,1.89881,[20 55] ; [ 1 11],[18.10344828 56.89655172] ; [2.89655172 9.10344828],0
p4,1,0.19937,1.646981,[41 36] ; [4 8],[38.93258427 38.06741573] ; [6.06741573 5.93258427],0
b2,1,0.218384,1.51496,[ 5 32] ; [3 7],[ 6.29787234 30.70212766] ; [1.70212766 8.29787234],0
b3,1,0.218384,1.51496,[ 5 32] ; [3 7],[ 6.29787234 30.70212766] ; [1.70212766 8.29787234],0
n5,1,0.24106,1.374382,[44 33] ; [9 3],[45.85393258 31.14606742] ; [7.14606742 4.85393258],0
a7,1,0.248997,1.328925,[51 25] ; [6 6],[49.22727273 26.77272727] ; [7.77272727 4.22727273],0
d3,1,0.273166,1.20078,[56 20] ; [7 5],[54.40909091 21.59090909] ; [8.59090909 3.40909091],0
s8,1,0.274726,1.192996,[32 45] ; [3 9],[30.28089888 46.71910112] ; [4.71910112 7.28089888],0
b1,1,0.275701,1.188162,[26 51] ; [6 6],[27.68539326 49.31460674] ; [4.31460674 7.68539326],0
d2,1,0.316122,1.004926,[33 44] ; [7 5],[34.60674157 42.39325843] ; [5.39325843 6.60674157],0
n6,1,0.332485,0.939193,[61 16] ; [8 4],[59.69662921 17.30337079] ; [9.30337079 2.69662921],0
a5,1,0.365841,0.817744,[49 28] ; [6 6],[47.58426966 29.41573034] ; [7.41573034 4.58426966],0
n2,1,0.396563,0.718722,[17  6] ; [4 3],[16.1  6.9] ; [4.9 2.1],0
a3,1,0.415743,0.662317,[48 29] ; [6 6],[46.71910112 30.28089888] ; [7.28089888 4.71910112],0
a2,1,0.449263,0.57251,[13 64] ; [ 1 11],[12.11235955 64.88764045] ; [ 1.88764045 10.11235955],0
d1,1,0.455262,0.557519,[41 36] ; [5 7],[39.79775281 37.20224719] ; [6.20224719 5.79775281],0
p2,1,0.457058,0.553091,[59 18] ; [8 4],[57.96629213 19.03370787] ; [9.03370787 2.96629213],0
n4,1,0.480817,0.497009,[43 34] ; [8 4],[44.12359551 32.87640449] ; [6.87640449 5.12359551],0
p8,1,0.510616,0.432804,[33 43] ; [4 8],[31.95454545 44.04545455] ; [5.04545455 6.95454545],0
b5,1,0.589206,0.291586,[45 32] ; [8 4],[45.85393258 31.14606742] ; [7.14606742 4.85393258],0
a4,1,0.593132,0.285479,[26 51] ; [5 7],[26.82022472 50.17977528] ; [4.17977528 7.82022472],0
u2,1,0.604542,0.268199,[16 13] ; [4 2],[16.57142857 12.42857143] ; [3.42857143 2.57142857],0
s5,1,0.621959,0.243124,[31 39] ; [4 7],[30.24691358 39.75308642] ; [4.75308642 6.24691358],0
s7,1,0.634398,0.226144,[43 32] ; [6 6],[42.24137931 32.75862069] ; [6.75862069 5.24137931],0
u1,1,0.648678,0.207571,[10 67] ; [ 1 11],[ 9.51685393 67.48314607] ; [ 1.48314607 10.51685393],0
p6,1,0.723522,0.125143,[28 49] ; [5 7],[28.5505618 48.4494382] ; [4.4494382 7.5505618],0
u3,1,0.831981,0.045012,[18 11] ; [4 2],[18.22857143 10.77142857] ; [3.77142857 2.22857143],0
n1,1,0.924953,0.008873,[ 7 16] ; [2 5],[ 6.9 16.1] ; [2.1 4.9],0
p1,1,0.931988,0.007283,[ 7 70] ; [ 1 11],[ 6.92134831 70.07865169] ; [ 1.07865169 10.92134831],0
