Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.8e-05,18.343838,[64 21] ; [29 41],[51. 34.] ; [42. 28.],1
p3,1,2.8e-05,17.582075,[53 32] ; [20 50],[40.03225806 44.96774194] ; [32.96774194 37.03225806],1
p5,1,9.8e-05,15.172065,[19 65] ; [ 1 69],[10.90909091 73.09090909] ; [ 9.09090909 60.90909091],1
p6,1,0.002985,8.816465,[49 36] ; [22 44],[39.96688742 45.03311258] ; [31.03311258 34.96688742],0
s7,1,0.00711,7.245092,[41 38] ; [20 47],[33.00684932 45.99315068] ; [27.99315068 39.00684932],0
p2,1,0.012225,6.277951,[77  8] ; [53 17],[71.29032258 13.70967742] ; [58.70967742 11.29032258],0
d5,1,0.019011,5.500485,[60 25] ; [36 33],[52.98701299 32.01298701] ; [43.01298701 25.98701299],0
p10,1,0.024499,5.058937,[68 17] ; [44 25],[61.81818182 23.18181818] ; [50.18181818 18.81818182],0
n5,1,0.027836,4.838214,[66 19] ; [43 27],[59.77419355 25.22580645] ; [49.22580645 20.77419355],0
s6,1,0.037675,4.319615,[57 26] ; [36 33],[50.78289474 32.21710526] ; [42.21710526 26.78289474],0
d1,1,0.058411,3.581933,[30 55] ; [15 55],[24.67741935 60.32258065] ; [20.32258065 49.67741935],0
s8,1,0.060849,3.514083,[34 51] ; [18 52],[28.51612903 56.48387097] ; [23.48387097 46.51612903],0
n4,1,0.063167,3.452213,[64 21] ; [43 27],[58.67741935 26.32258065] ; [48.32258065 21.67741935],0
s2,1,0.079917,3.066596,[46 39] ; [28 42],[40.58064516 44.41935484] ; [33.41935484 36.58064516],0
n1,1,0.091001,2.856581,[8 9] ; [ 5 18],[ 5.525 11.475] ; [ 7.475 15.525],0
p9,1,0.091706,2.844172,[68 17] ; [47 22],[63.47402597 21.52597403] ; [51.52597403 17.47402597],0
v3,1,0.135774,2.225215,[32 51] ; [19 51],[27.66666667 55.33333333] ; [23.33333333 46.66666667],0
u3,1,0.150928,2.062843,[25 19] ; [16 23],[21.73493976 22.26506024] ; [19.26506024 19.73493976],0
a6,1,0.153281,2.039291,[45 40] ; [29 41],[40.58064516 44.41935484] ; [33.41935484 36.58064516],0
d3,1,0.15652,2.007531,[51 34] ; [33 35],[46.66666667 38.33333333] ; [37.33333333 30.66666667],0
n6,1,0.166555,1.913676,[69 15] ; [51 19],[65.45454545 18.54545455] ; [54.54545455 15.45454545],0
r3,1,0.18781,1.734713,[81  3] ; [64  6],[79.09090909  4.90909091] ; [65.90909091  4.09090909],0
v1,1,0.1989,1.65043,[44 39] ; [28 38],[40.10738255 42.89261745] ; [31.89261745 34.10738255],0
p1,1,0.200176,1.641091,[10 75] ; [ 4 65],[ 7.72727273 77.27272727] ; [ 6.27272727 62.72727273],0
r4,1,0.232365,1.426328,[73 12] ; [55 15],[70.19354839 14.80645161] ; [57.80645161 12.19354839],0
a4,1,0.267123,1.231461,[18 67] ; [10 60],[15.35483871 69.64516129] ; [12.64516129 57.35483871],0
s1,1,0.280314,1.165567,[ 2 83] ; [ 4 66],[ 3.29032258 81.70967742] ; [ 2.70967742 67.29032258],0
