Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,68.145337,[405  71] ; [28 39],[379.57274401  96.42725599] ; [53.42725599 13.57274401],1
n4,1,0.0,29.138939,[412  66] ; [40 27],[396.43302752  81.56697248] ; [55.56697248 11.43302752],1
p6,1,8.6e-05,15.42622,[194 279] ; [10 54],[179.68715084 293.31284916] ; [24.31284916 39.68715084],1
p9,1,0.000885,11.054216,[433  38] ; [53 14],[425.47583643  45.52416357] ; [60.52416357  6.47583643],1
p10,1,0.001066,10.708429,[429  44] ; [51 15],[421.2244898  51.7755102] ; [58.7755102  7.2244898],0
b1,1,0.001487,10.094457,[168 310] ; [37 30],[179.79816514 298.20183486] ; [25.20183486 41.79816514],0
s5,1,0.003288,8.640408,[176 284] ; [13 53],[165.2851711 294.7148289] ; [23.7148289 42.2851711],0
r2,1,0.009898,6.65321,[450  21] ; [58  8],[445.56424581  25.43575419] ; [62.43575419  3.56424581],0
p8,1,0.010124,6.613029,[283 184] ; [29 37],[273.36585366 193.63414634] ; [38.63414634 27.36585366],0
s6,1,0.011563,6.376662,[328 137] ; [37 30],[319.03195489 145.96804511] ; [45.96804511 21.03195489],0
u1,1,0.01344,6.110293,[114 364] ; [ 7 60],[106.12477064 371.87522936] ; [14.87522936 52.12477064],0
d1,1,0.021704,5.269372,[331 147] ; [37 30],[322.75963303 155.24036697] ; [45.24036697 21.75963303],0
s7,1,0.025251,5.006583,[251 209] ; [24 37],[242.80230326 217.19769674] ; [32.19769674 28.80230326],0
s4,1,0.030425,4.685103,[ 75 394] ; [ 4 63],[ 69.125 399.875] ; [ 9.875 57.125],0
a2,1,0.038616,4.27767,[152 326] ; [13 54],[144.71559633 333.28440367] ; [20.28440367 46.71559633],0
d2,1,0.041265,4.165096,[276 200] ; [30 37],[268.24309392 207.75690608] ; [37.75690608 29.24309392],0
p4,1,0.045787,3.989397,[319 157] ; [36 30],[311.77121771 164.22878229] ; [43.22878229 22.77121771],0
s2,1,0.057112,3.619312,[251 219] ; [27 39],[243.76865672 226.23134328] ; [34.23134328 31.76865672],0
u2,1,0.057497,3.608149,[55 43] ; [13  3],[58.45614035 39.54385965] ; [9.54385965 6.45614035],0
r4,1,0.07232,3.229555,[444  34] ; [58  9],[440.28623853  37.71376147] ; [61.71376147  5.28623853],0
p3,1,0.078652,3.092547,[271 205] ; [30 36],[264.34686347 211.65313653] ; [36.65313653 29.34686347],0
a4,1,0.081456,3.035618,[253 223] ; [28 39],[246.32780847 229.67219153] ; [34.67219153 32.32780847],0
v4,1,0.123461,2.372858,[458  17] ; [61  5],[455.68391867  19.31608133] ; [63.31608133  2.68391867],0
d4,1,0.12489,2.354904,[417  60] ; [54 13],[412.99080882  64.00919118] ; [58.00919118  8.99080882],0
p5,1,0.133164,2.255226,[ 68 407] ; [ 5 61],[ 64.09426987 410.90573013] ; [ 8.90573013 57.09426987],0
d3,1,0.142016,2.155975,[348 130] ; [43 24],[342.93211009 135.06788991] ; [48.06788991 18.93211009],0
b3,1,0.149064,2.081806,[138 179] ; [13 28],[133.70670391 183.29329609] ; [17.29329609 23.70670391],0
b2,1,0.149064,2.081806,[138 179] ; [13 28],[133.70670391 183.29329609] ; [17.29329609 23.70670391],0
v3,1,0.158488,1.988596,[200 262] ; [21 41],[194.85114504 267.14885496] ; [26.14885496 35.85114504],0
s1,1,0.167088,1.90888,[  9 462] ; [ 3 62],[ 10.54477612 460.45522388] ; [ 1.45522388 63.54477612],0
r1,1,0.184868,1.758052,[406  71] ; [52 14],[402.33149171  74.66850829] ; [55.66850829 10.33149171],0
p2,1,0.196778,1.666127,[421  54] ; [54 11],[417.82407407  57.17592593] ; [57.17592593  7.82407407],0
p7,1,0.223566,1.48133,[315 151] ; [39 26],[310.66666667 155.33333333] ; [43.33333333 21.66666667],0
n2,1,0.225404,1.46963,[68 23] ; [15  2],[69.93518519 21.06481481] ; [13.06481481  3.93518519],0
u3,1,0.228237,1.451816,[58 40] ; [12  4],[60.1754386 37.8245614] ; [9.8245614 6.1754386],0
n1,1,0.262143,1.257406,[29 62] ; [7 8],[30.90566038 60.09433962] ; [5.09433962 9.90566038],0
p12,1,0.266491,1.234719,[ 50 423] ; [ 4 61],[ 47.47583643 425.52416357] ; [ 6.52416357 58.47583643],0
b5,1,0.348273,0.879741,[278 200] ; [43 24],[281.53761468 196.46238532] ; [39.46238532 27.53761468],0
v2,1,0.399794,0.708946,[281 179] ; [35 28],[277.93499044 182.06500956] ; [38.06500956 24.93499044],0
d5,1,0.400528,0.70674,[410  67] ; [55 12],[407.72977941  69.27022059] ; [57.27022059  9.72977941],0
a8,1,0.417503,0.657333,[ 62 373] ; [ 6 52],[ 60. 375.] ; [ 8. 50.],0
a7,1,0.454694,0.558925,[349 129] ; [46 21],[346.44036697 131.55963303] ; [48.55963303 18.44036697],0
v1,1,0.461078,0.543276,[275 187] ; [35 29],[272.28136882 189.71863118] ; [37.71863118 26.28136882],0
a3,1,0.529896,0.394591,[379  98] ; [51 16],[377.04044118  99.95955882] ; [52.95955882 14.04044118],0
r3,1,0.643989,0.213562,[459  16] ; [64  3],[458.34870849  16.65129151] ; [64.65129151  2.34870849],0
a1,1,0.647829,0.208648,[ 28 450] ; [ 3 64],[ 27.18899083 450.81100917] ; [ 3.81100917 63.18899083],0
b4,1,0.650158,0.205702,[285 193] ; [38 29],[283.29174312 194.70825688] ; [39.70825688 27.29174312],0
p1,1,0.654468,0.200313,[ 44 431] ; [ 5 61],[ 43.02218115 431.97781885] ; [ 5.97781885 60.02218115],0
s3,1,0.720612,0.127907,[263 205] ; [35 30],[261.65853659 206.34146341] ; [36.34146341 28.65853659],0
n3,1,0.740081,0.110055,[67 23] ; [12  5],[66.44859813 23.55140187] ; [12.55140187  4.44859813],0
s8,1,0.818336,0.052755,[233 240] ; [32 35],[232.12037037 240.87962963] ; [32.87962963 34.12037037],0
a6,1,0.87934,0.023045,[353 124] ; [49 18],[352.48897059 124.51102941] ; [49.51102941 17.48897059],0
