Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,85.757306,[418 107] ; [72 98],[370.14388489 154.85611511] ; [119.85611511  50.14388489],1
d3,1,0.0,54.778283,[417 109] ; [85 85],[379.38505747 146.61494253] ; [122.61494253  47.38505747],1
b5,1,0.0,25.701631,[347 179] ; [75 95],[318.92528736 207.07471264] ; [103.07471264  66.92528736],1
a2,1,1e-06,24.917558,[156 370] ; [ 18 152],[131.5 394.5] ; [ 42.5 127.5],1
u1,1,2.2e-05,18.020586,[117 409] ; [ 13 157],[ 98.24712644 427.75287356] ; [ 31.75287356 138.24712644],1
u3,1,0.002667,9.022663,[92 49] ; [17 26],[83.52717391 57.47282609] ; [25.47282609 17.52717391],0
p4,1,0.012429,6.248574,[353 171] ; [96 73],[339.5036075 184.4963925] ; [109.4963925  59.5036075],0
b1,1,0.027897,4.834433,[174 352] ; [72 98],[185.9137931 340.0862069] ; [ 60.0862069 109.9137931],0
d1,1,0.036548,4.371352,[332 194] ; [92 78],[320.43678161 205.56321839] ; [103.56321839  66.43678161],0
s5,1,0.039698,4.230759,[170 338] ; [69 94],[180.94187779 327.05812221] ; [ 58.05812221 104.94187779],0
d5,1,0.041132,4.17056,[449  77] ; [133  36],[440.47769784  85.52230216] ; [141.52230216  27.47769784],0
n5,1,0.056833,3.627483,[393 130] ; [139  30],[402.07514451 120.92485549] ; [129.92485549  39.07514451],0
r1,1,0.058143,3.58957,[457  65] ; [139  31],[449.58381503  72.41618497] ; [146.41618497  23.58381503],0
d4,1,0.097083,2.752829,[448  78] ; [134  34],[441.11239193  84.88760807] ; [140.88760807  27.11239193],0
b3,1,0.1059,2.614367,[111 197] ; [48 59],[118.00481928 189.99518072] ; [40.99518072 66.00481928],0
b2,1,0.1059,2.614367,[111 197] ; [48 59],[118.00481928 189.99518072] ; [40.99518072 66.00481928],0
v2,1,0.107514,2.590387,[300 204] ; [87 79],[291.11641791 212.88358209] ; [95.88358209 70.11641791],0
n4,1,0.115618,2.475694,[411 113] ; [142  27],[418.14141414 105.85858586] ; [134.85858586  34.14141414],0
b4,1,0.132095,2.267711,[316 210] ; [91 79],[307.58908046 218.41091954] ; [99.41091954 70.58908046],0
r2,1,0.149939,2.072867,[516   9] ; [162   6],[513.63636364  11.36363636] ; [164.36363636   3.63636364],0
a1,1,0.197843,1.658223,[ 19 507] ; [ 10 160],[ 21.91666667 504.08333333] ; [  7.08333333 162.91666667],0
s7,1,0.206955,1.592599,[247 255] ; [90 74],[254.01501502 247.98498498] ; [82.98498498 81.01501502],0
s2,1,0.253983,1.301262,[276 245] ; [81 88],[269.56086957 251.43913043] ; [87.43913043 81.56086957],0
v3,1,0.269624,1.218658,[201 305] ; [74 92],[207.06845238 298.93154762] ; [67.93154762 98.06845238],0
p7,1,0.269707,1.218237,[352 159] ; [124  45],[357.7 153.3] ; [118.3  50.7],0
a5,1,0.33134,0.943653,[403 123] ; [124  46],[398.27873563 127.72126437] ; [128.72126437  41.27873563],0
