Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2e-06,22.950254,[19 15] ; [17 94],[ 8.44137931 25.55862069] ; [27.55862069 83.44137931],1
p7,1,1.7e-05,18.542293,[23 11] ; [29 79],[12.45070423 21.54929577] ; [39.54929577 68.45070423],1
s6,1,4.5e-05,16.648372,[31  2] ; [60 49],[21.14788732 11.85211268] ; [69.85211268 39.14788732],1
s5,1,0.002073,9.483647,[17 15] ; [25 78],[ 9.95555556 22.04444444] ; [32.04444444 70.95555556],0
p1,1,0.004692,7.994367,[ 6 28] ; [  4 107],[ 2.34482759 31.65517241] ; [  7.65517241 103.34482759],0
p4,1,0.005714,7.638359,[18 15] ; [31 78],[11.38732394 21.61267606] ; [37.61267606 71.38732394],0
v1,1,0.006094,7.522379,[21 13] ; [38 70],[14.12676056 19.87323944] ; [44.87323944 63.12676056],0
p3,1,0.008871,6.848575,[18 15] ; [33 78],[11.6875 21.3125] ; [39.3125 71.6875],0
s7,1,0.010308,6.580876,[20 13] ; [36 66],[13.68888889 19.31111111] ; [42.31111111 59.68888889],0
p5,1,0.014,6.038157,[ 6 28] ; [  5 102],[ 2.65248227 31.34751773] ; [ 8.34751773 98.65248227],0
s8,1,0.018139,5.582656,[19 13] ; [40 71],[13.2027972 18.7972028] ; [45.7972028 65.2027972],0
v2,1,0.043226,4.086538,[21 11] ; [47 57],[16. 16.] ; [52. 52.],0
s2,1,0.057344,3.612572,[21 13] ; [47 62],[16.16783217 17.83216783] ; [51.83216783 57.16783217],0
p9,1,0.07548,3.159644,[27  7] ; [68 40],[22.74647887 11.25352113] ; [72.25352113 35.74647887],0
p12,1,0.123991,2.366164,[ 5 29] ; [  7 103],[ 2.83333333 31.16666667] ; [  9.16666667 100.83333333],0
u3,1,0.16866,1.894815,[11  3] ; [25 18],[8.84210526 5.15789474] ; [27.15789474 15.84210526],0
b4,1,0.189642,1.720394,[23 11] ; [61 50],[19.69655172 14.30344828] ; [64.30344828 46.69655172],0
a2,1,0.240494,1.377697,[ 4 30] ; [23 88],[ 6.33103448 27.66896552] ; [20.66896552 90.33103448],0
r1,1,0.281004,1.162228,[25  9] ; [91 20],[27.2  6.8] ; [88.8 22.2],0
n6,1,0.310084,1.030317,[28  5] ; [85 26],[25.89583333  7.10416667] ; [87.10416667 23.89583333],0
a8,1,0.324071,0.972446,[ 5 27] ; [10 96],[ 3.47826087 28.52173913] ; [11.52173913 94.47826087],0
b3,1,0.365725,0.818139,[11 15] ; [22 46],[ 9.12765957 16.87234043] ; [23.87234043 44.12765957],0
b2,1,0.365725,0.818139,[11 15] ; [22 46],[ 9.12765957 16.87234043] ; [23.87234043 44.12765957],0
n1,1,0.379621,0.77193,[4 2] ; [18 20],[3. 3.] ; [19. 19.],0
p10,1,0.491969,0.472218,[23 11] ; [66 42],[21.30985915 12.69014085] ; [67.69014085 40.30985915],0
d4,1,0.507728,0.438747,[23 10] ; [83 27],[24.46153846  8.53846154] ; [81.53846154 28.46153846],0
a7,1,0.522167,0.409611,[20 14] ; [72 39],[21.57241379 12.42758621] ; [70.42758621 40.57241379],0
u1,1,0.52671,0.400735,[ 4 30] ; [18 93],[ 5.15862069 28.84137931] ; [16.84137931 94.15862069],0
n5,1,0.53793,0.379391,[23 11] ; [68 42],[21.48611111 12.51388889] ; [69.51388889 40.48611111],0
v4,1,0.557531,0.343997,[33  1] ; [105   6],[32.35862069  1.64137931] ; [105.64137931   5.35862069],0
r3,1,0.559414,0.340719,[32  2] ; [107   4],[32.59310345  1.40689655] ; [106.40689655   4.59310345],0
d2,1,0.586744,0.295457,[16 17] ; [47 62],[14.64084507 18.35915493] ; [48.35915493 60.64084507],0
s1,1,0.621905,0.243199,[ 3 31] ; [  7 103],[ 2.36111111 31.63888889] ; [  7.63888889 102.36111111],0
d3,1,0.623233,0.24135,[17 16] ; [62 48],[18.23076923 14.76923077] ; [60.76923077 49.23076923],0
u2,1,0.638018,0.221344,[9 5] ; [24 18],[8.25 5.75] ; [24.75 17.25],0
a4,1,0.656329,0.198014,[16 18] ; [47 63],[14.875 19.125] ; [48.125 61.875],0
d1,1,0.661389,0.191841,[18 16] ; [54 57],[16.88275862 17.11724138] ; [55.11724138 55.88275862],0
s4,1,0.675693,0.175015,[ 8 26] ; [22 87],[ 7.13286713 26.86713287] ; [22.86713287 86.13286713],0
n3,1,0.680442,0.169629,[5 1] ; [28  9],[4.60465116 1.39534884] ; [28.39534884  8.60465116],0
v3,1,0.684585,0.165011,[13 19] ; [37 64],[12.03007519 19.96992481] ; [37.96992481 63.03007519],0
u4,1,0.688823,0.160363,[ 1 33] ; [  5 106],[ 1.40689655 32.59310345] ; [  4.59310345 106.40689655],0
n4,1,0.693947,0.154845,[23 11] ; [71 40],[22.04137931 11.95862069] ; [71.95862069 39.04137931],0
a5,1,0.693947,0.154845,[23 11] ; [71 40],[22.04137931 11.95862069] ; [71.95862069 39.04137931],0
n2,1,0.746668,0.104352,[5 1] ; [31  9],[4.69565217 1.30434783] ; [31.30434783  8.69565217],0
b1,1,0.747372,0.103752,[17 17] ; [52 59],[16.17931034 17.82068966] ; [52.82068966 58.17931034],0
a3,1,0.754235,0.098007,[20 14] ; [68 42],[20.77777778 13.22222222] ; [67.22222222 42.77777778],0
s3,1,0.771001,0.08472,[17 16] ; [53 56],[16.26760563 16.73239437] ; [53.73239437 55.26760563],0
d5,1,0.79254,0.069176,[22 11] ; [76 34],[22.61538462 10.38461538] ; [75.38461538 34.61538462],0
