Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,87.674032,[ 4 40] ; [227  61],[30.61445783 13.38554217] ; [200.38554217  87.61445783],1
d5,1,0.0,64.0316,[22 22] ; [268  20],[38.43373494  5.56626506] ; [251.56626506  36.43373494],1
d3,1,0.0,38.403808,[13 31] ; [218  70],[30.61445783 13.38554217] ; [200.38554217  87.61445783],1
a3,1,7.2e-05,15.758309,[26 18] ; [242  45],[35.62537764  8.37462236] ; [232.37462236  54.62537764],1
d2,1,0.00196,9.586661,[17 27] ; [182 106],[26.37349398 17.62650602] ; [172.62650602 115.37349398],0
a5,1,0.003847,8.354829,[29 15] ; [242  46],[35.91566265  8.08433735] ; [235.08433735  52.91566265],0
u1,1,0.01114,6.442846,[ 4 40] ; [ 77 211],[10.73493976 33.26506024] ; [ 70.26506024 217.73493976],0
a2,1,0.022611,5.198172,[ 6 38] ; [ 87 201],[12.3253012 31.6746988] ; [ 80.6746988 207.3253012],0
r3,1,0.03665,4.366582,[40  4] ; [280   8],[42.40963855  1.59036145] ; [277.59036145  10.40963855],0
a4,1,0.042529,4.114021,[16 28] ; [152 136],[22.26506024 21.73493976] ; [145.73493976 142.26506024],0
s2,1,0.051547,3.790419,[25 18] ; [207  78],[30.41463415 12.58536585] ; [201.58536585  83.41463415],0
a7,1,0.079413,3.076864,[25 19] ; [201  86],[30.04229607 13.95770393] ; [195.95770393  91.04229607],0
p1,1,0.08939,2.885333,[ 7 37] ; [ 23 264],[ 3.98791541 40.01208459] ; [ 26.01208459 260.98791541],0
s1,1,0.124786,2.356204,[ 4 40] ; [ 11 272],[ 2.01834862 41.98165138] ; [ 12.98165138 270.01834862],0
n1,1,0.145015,2.123924,[8 4] ; [23 30],[5.72307692 6.27692308] ; [25.27692308 27.72307692],0
s3,1,0.174461,1.844189,[28 15] ; [212  71],[31.65644172 11.34355828] ; [208.34355828  74.65644172],0
v3,1,0.177958,1.814597,[18 25] ; [146 130],[22.10658307 20.89341693] ; [141.89341693 134.10658307],0
p8,1,0.197241,1.662689,[22 22] ; [170 112],[25.91411043 18.08588957] ; [166.08588957 115.91411043],0
v4,1,0.209571,1.574388,[40  3] ; [278   9],[41.43636364  1.56363636] ; [276.56363636  10.43636364],0
p9,1,0.222382,1.488936,[38  6] ; [263  23],[40.13333333  3.86666667] ; [260.86666667  25.13333333],0
a6,1,0.22443,1.475821,[25 19] ; [190  97],[28.58006042 15.41993958] ; [186.41993958 100.58006042],0
p4,1,0.227598,1.455812,[27 17] ; [202  85],[30.44108761 13.55891239] ; [198.55891239  88.44108761],0
p11,1,0.237908,1.39295,[34 10] ; [243  45],[36.71084337  7.28915663] ; [240.28915663  47.71084337],0
p2,1,0.257002,1.284837,[35  9] ; [247  40],[37.48640483  6.51359517] ; [244.51359517  42.48640483],0
n6,1,0.258564,1.276431,[39  5] ; [268  19],[40.80966767  3.19033233] ; [266.19033233  20.80966767],0
a1,1,0.261487,1.260867,[ 1 43] ; [ 19 269],[ 2.65060241 41.34939759] ; [ 17.34939759 270.65060241],0
s7,1,0.288156,1.128218,[31 12] ; [218  57],[33.66981132  9.33018868] ; [215.33018868  59.66981132],0
u2,1,0.288711,1.125625,[10  8] ; [32 14],[11.8125  6.1875] ; [30.1875 15.8125],0
p3,1,0.305695,1.049186,[23 21] ; [174 114],[26.10843373 17.89156627] ; [170.89156627 117.10843373],0
r1,1,0.308684,1.036297,[35  8] ; [250  37],[37.13636364  5.86363636] ; [247.86363636  39.13636364],0
v2,1,0.323962,0.972885,[23 18] ; [180 101],[25.84782609 15.15217391] ; [177.15217391 103.84782609],0
b1,1,0.373291,0.792679,[21 23] ; [117 171],[18.28915663 25.71084337] ; [119.71084337 168.28915663],0
p6,1,0.387925,0.745437,[19 25] ; [142 141],[21.66360856 22.33639144] ; [139.33639144 143.66360856],0
r4,1,0.418419,0.654751,[40  4] ; [271  17],[41.21686747  2.78313253] ; [269.78313253  18.21686747],0
