Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.200446,[107   6] ; [22 13],[98.49324324 14.50675676] ; [30.50675676  4.49324324],1
r2,1,0.00019,13.930522,[109   4] ; [26  8],[103.7755102   9.2244898] ; [31.2244898  2.7755102],1
v3,1,0.014769,5.943823,[43 63] ; [ 6 28],[37.1 68.9] ; [11.9 22.1],0
s6,1,0.034696,4.460096,[84 27] ; [20 15],[79.06849315 31.93150685] ; [24.93150685 10.06849315],0
a5,1,0.035937,4.400104,[88 25] ; [21 14],[83.22297297 29.77702703] ; [25.77702703  9.22297297],0
b1,1,0.046136,3.976623,[40 73] ; [19 16],[45.0472973 67.9527027] ; [13.9527027 21.0472973],0
p8,1,0.055234,3.675,[42 70] ; [ 7 28],[37.33333333 74.66666667] ; [11.66666667 23.33333333],0
u1,1,0.060071,3.535432,[26 87] ; [ 3 32],[22.14189189 90.85810811] ; [ 6.85810811 28.14189189],0
a8,1,0.06972,3.289597,[ 7 90] ; [ 6 27],[ 9.7 87.3] ; [ 3.3 29.7],0
a7,1,0.075522,3.158725,[88 25] ; [22 13],[83.98648649 29.01351351] ; [26.01351351  8.98648649],0
a2,1,0.093652,2.810445,[28 85] ; [ 4 31],[24.43243243 88.56756757] ; [ 7.56756757 27.43243243],0
p6,1,0.1012,2.686532,[23 88] ; [12 23],[26.60958904 84.39041096] ; [ 8.39041096 26.60958904],0
p1,1,0.102515,2.665969,[14 99] ; [ 1 34],[ 11.4527027 101.5472973] ; [ 3.5472973 31.4527027],0
p12,1,0.102515,2.665969,[14 99] ; [ 1 34],[ 11.4527027 101.5472973] ; [ 3.5472973 31.4527027],0
s3,1,0.111016,2.539697,[61 49] ; [14 21],[56.89655172 53.10344828] ; [18.10344828 16.89655172],0
v2,1,0.123079,2.377691,[64 47] ; [14 19],[60.125 50.875] ; [17.875 15.125],0
r3,1,0.129776,2.295184,[108   5] ; [31  4],[106.12837838   6.87162162] ; [32.87162162  2.12837838],0
v4,1,0.129776,2.295184,[108   5] ; [31  4],[106.12837838   6.87162162] ; [32.87162162  2.12837838],0
v1,1,0.186166,1.747699,[60 48] ; [14 19],[56.68085106 51.31914894] ; [17.31914894 15.68085106],0
a6,1,0.194339,1.684416,[75 38] ; [19 16],[71.77027027 41.22972973] ; [22.22972973 12.77027027],0
s7,1,0.232676,1.42443,[52 53] ; [12 20],[49.05109489 55.94890511] ; [14.94890511 17.05109489],0
d2,1,0.240421,1.378125,[67 45] ; [17 18],[64. 48.] ; [20. 15.],0
p10,1,0.245495,1.348762,[84 27] ; [23 12],[81.34931507 29.65068493] ; [25.65068493  9.34931507],0
n2,1,0.250829,1.318681,[18 12] ; [8 2],[19.5 10.5] ; [6.5 3.5],0
b5,1,0.265614,1.239257,[69 44] ; [25 10],[71.77027027 41.22972973] ; [22.22972973 12.77027027],0
u2,1,0.298752,1.079757,[25 15] ; [6 7],[23.39622642 16.60377358] ; [7.60377358 5.39622642],0
b4,1,0.31641,1.003729,[72 41] ; [19 16],[69.47972973 43.52027027] ; [21.52027027 13.47972973],0
p9,1,0.331877,0.941558,[86 24] ; [30  5],[88. 22.] ; [28.  7.],0
s8,1,0.360093,0.837568,[51 60] ; [13 22],[48.65753425 62.34246575] ; [15.34246575 19.65753425],0
n3,1,0.360213,0.83715,[20 11] ; [8 2],[21.17073171  9.82926829] ; [6.82926829 3.17073171],0
u3,1,0.372488,0.795347,[27 13] ; [7 6],[25.66037736 14.33962264] ; [8.33962264 4.66037736],0
p3,1,0.38015,0.770216,[67 45] ; [18 17],[64.76190476 47.23809524] ; [20.23809524 14.76190476],0
s2,1,0.39009,0.738662,[62 47] ; [17 18],[59.79861111 49.20138889] ; [19.20138889 15.79861111],0
d4,1,0.487805,0.481364,[91 22] ; [30  5],[92.38513514 20.61486486] ; [28.61486486  6.38513514],0
n5,1,0.49498,0.465683,[84 29] ; [28  7],[85.51351351 27.48648649] ; [26.48648649  8.51351351],0
d3,1,0.499752,0.455463,[81 32] ; [23 12],[79.40540541 33.59459459] ; [24.59459459 10.40540541],0
p2,1,0.52688,0.400406,[88 25] ; [29  6],[89.33108108 23.66891892] ; [27.66891892  7.33108108],0
d1,1,0.554128,0.349974,[74 39] ; [21 14],[72.53378378 40.46621622] ; [22.46621622 12.53378378],0
