Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,40.347925,[20 59] ; [32  4],[35.72173913 43.27826087] ; [16.27826087 19.72173913],1
s5,1,0.000212,13.725302,[ 9 70] ; [15 21],[16.48695652 62.51304348] ; [ 7.51304348 28.48695652],1
s7,1,0.00055,11.936842,[14 62] ; [18 18],[21.71428571 54.28571429] ; [10.28571429 25.71428571],1
s6,1,0.000736,11.397163,[25 54] ; [24 13],[33.37068966 45.62931034] ; [15.62931034 21.37068966],1
s1,1,0.001359,10.261118,[ 1 78] ; [ 6 30],[ 4.80869565 74.19130435] ; [ 2.19130435 33.80869565],0
p6,1,0.003764,8.394094,[ 8 69] ; [12 25],[13.50877193 63.49122807] ; [ 6.49122807 30.50877193],0
s4,1,0.010293,6.583425,[10 70] ; [12 25],[15.04273504 64.95726496] ; [ 6.95726496 30.04273504],0
p10,1,0.01189,6.327242,[38 41] ; [27 10],[44.26724138 34.73275862] ; [20.73275862 16.26724138],0
r1,1,0.013229,6.138187,[43 36] ; [29  8],[49.03448276 29.96551724] ; [22.96551724 14.03448276],0
u3,1,0.017461,5.649388,[16 31] ; [12  6],[20.24615385 26.75384615] ; [ 7.75384615 10.24615385],0
r4,1,0.024492,5.059459,[48 32] ; [30  7],[53.33333333 26.66666667] ; [24.66666667 12.33333333],0
a8,1,0.034359,4.476734,[ 5 71] ; [ 7 28],[ 8.21621622 67.78378378] ; [ 3.78378378 31.21621622],0
r2,1,0.041212,4.167259,[60 19] ; [34  3],[64.01724138 14.98275862] ; [29.98275862  7.01724138],0
s8,1,0.042984,4.096025,[11 68] ; [11 26],[14.98275862 64.01724138] ; [ 7.01724138 29.98275862],0
v3,1,0.053107,3.740544,[18 60] ; [15 22],[22.3826087 55.6173913] ; [10.6173913 26.3826087],0
v4,1,0.070462,3.272217,[61 17] ; [34  3],[64.43478261 13.56521739] ; [30.56521739  6.43478261],0
v2,1,0.071938,3.238227,[22 52] ; [17 19],[26.23636364 47.76363636] ; [12.76363636 23.23636364],0
a7,1,0.072988,3.214506,[35 44] ; [23 14],[39.5 39.5] ; [18.5 18.5],0
a5,1,0.159883,1.975335,[28 52] ; [18 19],[31.45299145 48.54700855] ; [14.54700855 22.45299145],0
r3,1,0.181235,1.787465,[59 19] ; [32  5],[61.72173913 16.27826087] ; [29.27826087  7.72173913],0
n5,1,0.199664,1.644828,[48 31] ; [27 10],[51.07758621 27.92241379] ; [23.92241379 13.07758621],0
d4,1,0.2676,1.22901,[34 45] ; [20 17],[36.77586207 42.22413793] ; [17.22413793 19.77586207],0
p8,1,0.278396,1.174904,[22 57] ; [14 23],[24.51724138 54.48275862] ; [11.48275862 25.51724138],0
n3,1,0.285049,1.142857,[19  9] ; [6 6],[17.5 10.5] ; [7.5 4.5],0
b5,1,0.29052,1.11721,[37 43] ; [21 16],[39.65811966 40.34188034] ; [18.34188034 18.65811966],0
a1,1,0.308965,1.035095,[ 6 74] ; [ 1 36],[ 4.78632479 75.21367521] ; [ 2.21367521 34.78632479],0
d3,1,0.325607,0.966289,[23 57] ; [14 23],[25.2991453 54.7008547] ; [11.7008547 25.2991453],0
p9,1,0.336235,0.924735,[47 30] ; [26 11],[49.30701754 27.69298246] ; [23.69298246 13.30701754],0
u2,1,0.339448,0.912515,[17 29] ; [9 9],[18.6875 27.3125] ; [ 7.3125 10.6875],0
n1,1,0.359397,0.84,[12 18] ; [3 9],[10.71428571 19.28571429] ; [4.28571429 7.71428571],0
a3,1,0.393904,0.726856,[33 44] ; [19 18],[35.12280702 41.87719298] ; [16.87719298 20.12280702],0
v1,1,0.411758,0.67372,[28 49] ; [16 20],[29.98230088 47.01769912] ; [14.01769912 21.98230088],0
b2,1,0.432249,0.616774,[20 26] ; [ 7 14],[18.53731343 27.46268657] ; [ 8.46268657 12.53731343],0
