Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2e-06,23.123799,[29  6] ; [34 62],[16.83206107 18.16793893] ; [46.16793893 49.83206107],1
p4,1,0.000614,11.731646,[24 11] ; [34 63],[15.37878788 19.62121212] ; [42.62121212 54.37878788],1
s8,1,0.001698,9.850282,[15 19] ; [17 81],[ 8.24242424 25.75757576] ; [23.75757576 74.24242424],0
p8,1,0.001946,9.599377,[21 13] ; [31 67],[13.39393939 20.60606061] ; [38.60606061 59.39393939],0
p3,1,0.010134,6.611109,[19 16] ; [29 68],[12.72727273 22.27272727] ; [35.27272727 61.72727273],0
d5,1,0.011487,6.388406,[29  6] ; [58 40],[22.89473684 12.10526316] ; [64.10526316 33.89473684],0
s7,1,0.012311,6.265541,[14 19] ; [19 75],[ 8.57480315 24.42519685] ; [24.42519685 69.57480315],0
r4,1,0.013557,6.09491,[30  5] ; [62 36],[24.21052632 10.78947368] ; [67.78947368 30.21052632],0
s5,1,0.018422,5.555556,[13 19] ; [19 77],[ 8. 24.] ; [24. 72.],0
s6,1,0.020537,5.365674,[19 14] ; [34 64],[13.35114504 19.64885496] ; [39.64885496 58.35114504],0
r2,1,0.026324,4.934635,[32  2] ; [73 22],[27.6744186  6.3255814] ; [77.3255814 17.6744186],0
v2,1,0.028807,4.779118,[21 13] ; [38 57],[15.5503876 18.4496124] ; [43.4496124 51.5503876],0
a6,1,0.03668,4.36519,[ 9 26] ; [45 53],[14.21052632 20.78947368] ; [39.78947368 58.21052632],0
n3,1,0.050141,3.836735,[10  2] ; [19 18],[7.10204082 4.89795918] ; [21.89795918 15.10204082],0
d1,1,0.054798,3.688209,[19 16] ; [35 63],[14.21052632 20.78947368] ; [39.78947368 58.21052632],0
v3,1,0.061751,3.489718,[15 20] ; [24 69],[10.6640625 24.3359375] ; [28.3359375 64.6640625],0
v1,1,0.066622,3.36435,[19 16] ; [35 61],[14.42748092 20.57251908] ; [39.57251908 56.42748092],0
p9,1,0.07834,3.099001,[28  6] ; [63 32],[23.98449612 10.01550388] ; [67.01550388 27.98449612],0
r3,1,0.0833,2.999304,[31  4] ; [73 25],[27.36842105  7.63157895] ; [76.63157895 21.36842105],0
p10,1,0.15261,2.045963,[25  9] ; [58 39],[21.54198473 12.45801527] ; [61.45801527 35.54198473],0
p2,1,0.185844,1.750261,[26  9] ; [60 37],[22.8030303 12.1969697] ; [63.1969697 33.8030303],0
