Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,71.971082,[336  95] ; [64 92],[293.6967632 137.3032368] ; [106.3032368  49.6967632],1
d3,1,0.0,43.19408,[339  93] ; [79 77],[307.10204082 124.89795918] ; [110.89795918  45.10204082],1
u1,1,0.0,25.855988,[111 323] ; [ 10 146],[ 89.00677966 344.99322034] ; [ 31.99322034 124.00677966],1
a2,1,1e-06,24.502994,[135 299] ; [ 17 139],[111.81016949 322.18983051] ; [ 40.18983051 115.81016949],1
b5,1,5e-06,20.91107,[293 141] ; [73 83],[269.22711864 164.77288136] ; [96.77288136 59.22711864],1
b1,1,0.000143,14.466135,[145 289] ; [79 77],[164.77288136 269.22711864] ; [59.22711864 96.77288136],1
v2,1,0.002599,9.069731,[250 165] ; [68 80],[234.40497336 180.59502664] ; [83.59502664 64.40497336],0
d4,1,0.004317,8.145549,[374  58] ; [119  36],[362.82112436  69.17887564] ; [130.17887564  24.82112436],0
d1,1,0.011604,6.370398,[278 156] ; [82 74],[264.81355932 169.18644068] ; [95.18644068 60.81355932],0
u3,1,0.019398,5.465272,[83 36] ; [22 22],[76.65644172 42.34355828] ; [28.34355828 15.65644172],0
r1,1,0.024844,5.034742,[368  63] ; [121  35],[359.04429302  71.95570698] ; [129.95570698  26.04429302],0
s8,1,0.025987,4.956865,[229 202] ; [99 57],[240.83134583 190.16865417] ; [87.16865417 68.83134583],0
r4,1,0.044565,4.035042,[412  22] ; [141  15],[406.78305085  27.21694915] ; [146.21694915   9.78305085],0
p2,1,0.0508,3.814861,[372  61] ; [122  32],[364.39863714  68.60136286] ; [129.60136286  24.39863714],0
s5,1,0.073868,3.194898,[175 246] ; [75 75],[184.32574431 236.67425569] ; [65.67425569 84.32574431],0
s7,1,0.075574,3.157614,[245 171] ; [102  50],[254.14084507 161.85915493] ; [92.85915493 59.14084507],0
r3,1,0.084395,2.978158,[420  12] ; [147   9],[416.57142857  15.42857143] ; [150.42857143   5.57142857],0
r2,1,0.118394,2.438442,[417  13] ; [146   9],[413.82905983  16.17094017] ; [149.17094017   5.82905983],0
n1,1,0.124801,2.356005,[35 59] ; [22 21],[39.10948905 54.89051095] ; [17.89051095 25.10948905],0
b3,1,0.127138,2.327111,[ 88 167] ; [44 58],[ 94.28571429 160.71428571] ; [37.71428571 64.28571429],0
b2,1,0.127138,2.327111,[ 88 167] ; [44 58],[ 94.28571429 160.71428571] ; [37.71428571 64.28571429],0
n3,1,0.127734,2.319828,[71 24] ; [26 16],[67.26277372 27.73722628] ; [29.73722628 12.26277372],0
d5,1,0.142941,2.146011,[365  67] ; [123  32],[359.14139693  72.85860307] ; [128.85860307  26.14139693],0
p4,1,0.161007,1.964745,[284 147] ; [93 63],[276.80919932 154.19080068] ; [100.19080068  55.80919932],0
n4,1,0.212765,1.55251,[334  99] ; [127  28],[339.47789116  93.52210884] ; [121.52210884  33.47789116],0
n6,1,0.214415,1.541366,[376  55] ; [129  26],[371.42491468  59.57508532] ; [133.57508532  21.42491468],0
s4,1,0.21521,1.536025,[ 87 340] ; [ 39 116],[ 92.44329897 334.55670103] ; [ 33.55670103 121.44329897],0
u2,1,0.235553,1.407013,[77 42] ; [24 20],[73.73619632 45.26380368] ; [27.26380368 16.73619632],0
a5,1,0.268,1.226954,[331 103] ; [112  44],[325.86779661 108.13220339] ; [117.13220339  38.86779661],0
b4,1,0.2695,1.219291,[264 170] ; [87 69],[258.19322034 175.80677966] ; [92.80677966 63.19322034],0
a1,1,0.277896,1.177353,[ 23 411] ; [ 12 144],[ 25.74576271 408.25423729] ; [  9.25423729 146.74576271],0
p10,1,0.352036,0.866103,[363  64] ; [126  28],[359.38554217  67.61445783] ; [129.61445783  24.38554217],0
p9,1,0.375794,0.784416,[378  49] ; [133  22],[374.90893471  52.09106529] ; [136.09106529  18.90893471],0
p3,1,0.422065,0.644559,[224 209] ; [86 69],[228.28231293 204.71768707] ; [81.71768707 73.28231293],0
p8,1,0.445311,0.58256,[233 194] ; [78 75],[228.96034483 198.03965517] ; [82.03965517 70.96034483],0
p7,1,0.457228,0.552671,[280 137] ; [97 55],[276.28998243 140.71001757] ; [100.71001757  51.28998243],0
v3,1,0.487628,0.481757,[166 251] ; [65 86],[169.58978873 247.41021127] ; [61.41021127 89.58978873],0
p11,1,0.51948,0.414925,[337  97] ; [125  31],[339.8440678  94.1559322] ; [122.1559322  33.8440678],0
p6,1,0.537394,0.38039,[168 260] ; [64 88],[171.2 256.8] ; [60.8 91.2],0
a8,1,0.556645,0.345546,[ 57 330] ; [ 19 130],[ 54.87313433 332.12686567] ; [ 21.12686567 127.87313433],0
p12,1,0.589719,0.290783,[ 46 387] ; [ 14 140],[ 44.25894378 388.74105622] ; [ 15.74105622 138.25894378],0
n5,1,0.599774,0.275337,[334  98] ; [123  32],[336.32708688  95.67291312] ; [120.67291312  34.32708688],0
p1,1,0.620607,0.245015,[ 39 392] ; [ 12 143],[ 37.51023891 393.48976109] ; [ 13.48976109 141.51023891],0
s3,1,0.704801,0.143525,[301 125] ; [107  48],[299.15318417 126.84681583] ; [108.84681583  46.15318417],0
s1,1,0.75164,0.100158,[ 17 410] ; [  7 146],[ 17.66896552 409.33103448] ; [  6.33103448 146.66896552],0
n2,1,0.771348,0.084455,[75 20] ; [33 10],[74.34782609 20.65217391] ; [33.65217391  9.34782609],0
s2,1,0.787425,0.072714,[286 145] ; [101  54],[284.63651877 146.36348123] ; [102.36348123  52.63651877],0
v1,1,0.824181,0.04936,[242 178] ; [86 66],[240.83916084 179.16083916] ; [87.16083916 64.83916084],0
d2,1,0.841527,0.039976,[214 217] ; [76 80],[212.93015332 218.06984668] ; [77.06984668 78.93015332],0
a4,1,0.886111,0.020514,[195 237] ; [71 84],[195.76149915 236.23850085] ; [70.23850085 84.76149915],0
u4,1,0.896061,0.017067,[ 13 421] ; [  5 151],[ 13.24067797 420.75932203] ; [  4.75932203 151.24067797],0
a3,1,0.918743,0.010407,[312 120] ; [112  44],[311.51020408 120.48979592] ; [112.48979592  43.51020408],0
p5,1,0.955439,0.003122,[ 58 373] ; [ 21 133],[ 58.2034188 372.7965812] ; [ 20.7965812 133.2034188],0
