Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,4.4e-05,16.706388,[73 70] ; [233  97],[92.51162791 50.48837209] ; [213.48837209 116.51162791],1
p5,1,0.000304,13.043353,[ 12 132] ; [ 73 256],[ 25.87737844 118.12262156] ; [ 59.12262156 269.87737844],1
p9,1,0.001904,9.639662,[118  25] ; [305  26],[127.61392405  15.38607595] ; [295.38607595  35.61392405],0
p12,1,0.002715,8.98983,[  6 139] ; [ 44 287],[ 15.23109244 129.76890756] ; [ 34.76890756 296.23109244],0
p7,1,0.00574,7.630261,[93 51] ; [252  76],[105.25423729  38.74576271] ; [239.74576271  88.25423729],0
p10,1,0.007011,7.270078,[115  27] ; [297  33],[123.94915254  18.05084746] ; [288.05084746  41.94915254],0
v3,1,0.021106,5.318037,[50 91] ; [150 169],[61.30434783 79.69565217] ; [138.69565217 180.30434783],0
s7,1,0.035346,4.42839,[71 69] ; [190 120],[81.2 58.8] ; [179.8 130.2],0
p6,1,0.04425,4.046988,[63 81] ; [177 152],[73.06553911 70.93446089] ; [166.93446089 162.06553911],0
u1,1,0.057127,3.618879,[ 24 121] ; [ 81 251],[ 31.91823899 113.08176101] ; [ 73.08176101 258.91823899],0
p1,1,0.06089,3.512986,[ 10 135] ; [ 42 288],[ 15.87368421 129.12631579] ; [ 36.12631579 293.87368421],0
p11,1,0.090888,2.858581,[114  31] ; [282  50],[120.37735849  24.62264151] ; [275.62264151  56.37735849],0
d5,1,0.092572,2.829072,[116  29] ; [285  46],[122.15336134  22.84663866] ; [278.84663866  52.15336134],0
v2,1,0.104838,2.630357,[75 67] ; [196 126],[82.93534483 59.06465517] ; [188.06465517 133.93534483],0
b1,1,0.113026,2.511395,[47 98] ; [133 199],[54.71698113 90.28301887] ; [125.28301887 206.71698113],0
b5,1,0.115762,2.473745,[92 53] ; [185 147],[84.2033543 60.7966457] ; [192.7966457 139.2033543],0
s5,1,0.116213,2.46763,[48 92] ; [133 183],[55.57017544 84.42982456] ; [125.42982456 190.57017544],0
n4,1,0.146265,2.110778,[118  26] ; [289  43],[123.12605042  20.87394958] ; [283.87394958  48.12605042],0
a6,1,0.166307,1.915922,[92 53] ; [232 100],[98.49056604 46.50943396] ; [225.50943396 106.49056604],0
a1,1,0.202963,1.620921,[  5 140] ; [ 21 311],[  7.90356394 137.09643606] ; [ 18.09643606 313.90356394],0
a3,1,0.204768,1.608034,[101  44] ; [249  82],[106.61764706  38.38235294] ; [243.38235294  87.61764706],0
n5,1,0.221655,1.493626,[119  26] ; [286  45],[123.37184874  21.62815126] ; [281.62815126  49.37184874],0
p2,1,0.31901,0.993,[128  17] ; [301  29],[130.95789474  14.04210526] ; [298.04210526  31.95789474],0
