Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,3.1e-05,17.362605,[ 2 32] ; [6 3],[ 6.3255814 27.6744186] ; [1.6744186 7.3255814],1
s8,1,0.001357,10.262687,[ 3 31] ; [5 4],[ 6.3255814 27.6744186] ; [1.6744186 7.3255814],0
u3,1,0.01424,6.008127,[ 3 16] ; [3 1],[ 4.95652174 14.04347826] ; [1.04347826 2.95652174],0
s1,1,0.043488,4.076334,[ 1 33] ; [2 7],[ 2.37209302 31.62790698] ; [0.62790698 8.37209302],0
s6,1,0.061179,3.505124,[11 23] ; [6 3],[13.44186047 20.55813953] ; [3.55813953 5.44186047],0
d4,1,0.092411,2.831871,[20 14] ; [8 1],[22.13953488 11.86046512] ; [5.86046512 3.13953488],0
r1,1,0.097768,2.741581,[ 9 25] ; [5 4],[11.06976744 22.93023256] ; [2.93023256 6.06976744],0
s2,1,0.144686,2.127405,[ 7 27] ; [4 5],[ 8.69767442 25.30232558] ; [2.30232558 6.69767442],0
d2,1,0.160121,1.973085,[12 22] ; [1 8],[10.27906977 23.72093023] ; [2.72093023 6.27906977],0
p10,1,0.19678,1.666116,[14 19] ; [6 3],[15.71428571 17.28571429] ; [4.28571429 4.71428571],0
n2,1,0.202288,1.625782,[9 5] ; [2 4],[7.7 6.3] ; [3.3 2.7],0
b1,1,0.228831,1.448116,[15 19] ; [6 3],[16.60465116 17.39534884] ; [4.39534884 4.60465116],0
b3,1,0.231998,1.428571,[ 6 18] ; [3 3],[ 7.2 16.8] ; [1.8 4.2],0
b2,1,0.231998,1.428571,[ 6 18] ; [3 3],[ 7.2 16.8] ; [1.8 4.2],0
p1,1,0.264844,1.243258,[ 3 31] ; [2 7],[ 3.95348837 30.04651163] ; [1.04651163 7.95348837],0
a5,1,0.268948,1.222104,[12 22] ; [5 4],[13.44186047 20.55813953] ; [3.55813953 5.44186047],0
n4,1,0.29553,1.094257,[20 14] ; [7 2],[21.34883721 12.65116279] ; [5.65116279 3.34883721],0
v1,1,0.296482,1.089953,[ 9 25] ; [4 5],[10.27906977 23.72093023] ; [2.72093023 6.27906977],0
a2,1,0.300706,1.071059,[ 1 33] ; [1 8],[ 1.58139535 32.41860465] ; [0.41860465 8.58139535],0
n3,1,0.329114,0.952381,[8 6] ; [2 4],[7. 7.] ; [3. 3.],0
a4,1,0.33211,0.940652,[ 9 25] ; [1 8],[ 7.90697674 26.09302326] ; [2.09302326 6.90697674],0
p9,1,0.333002,0.93719,[16 17] ; [6 3],[17.28571429 15.71428571] ; [4.71428571 4.28571429],0
p2,1,0.372723,0.794565,[17 17] ; [6 3],[18.18604651 15.81395349] ; [4.81395349 4.18604651],0
d5,1,0.372723,0.794565,[17 17] ; [6 3],[18.18604651 15.81395349] ; [4.81395349 4.18604651],0
n6,1,0.396601,0.718609,[20 14] ; [6 2],[21.04761905 12.95238095] ; [4.95238095 3.04761905],0
s5,1,0.420765,0.648178,[ 4 30] ; [2 7],[ 4.74418605 29.25581395] ; [1.25581395 7.74418605],0
p4,1,0.498543,0.458038,[11 23] ; [4 5],[11.86046512 22.13953488] ; [3.13953488 5.86046512],0
p7,1,0.556236,0.346263,[11 23] ; [2 7],[10.27906977 23.72093023] ; [2.72093023 6.27906977],0
n1,1,0.573138,0.31746,[ 3 11] ; [2 4],[ 3.5 10.5] ; [1.5 4.5],0
s3,1,0.582432,0.302319,[ 8 25] ; [3 6],[ 8.64285714 24.35714286] ; [2.35714286 6.64285714],0
a3,1,0.590698,0.289256,[15 18] ; [5 4],[15.71428571 17.28571429] ; [4.28571429 4.71428571],0
a6,1,0.61356,0.255023,[12 22] ; [4 5],[12.65116279 21.34883721] ; [3.34883721 5.65116279],0
b4,1,0.61356,0.255023,[22 12] ; [5 4],[21.34883721 12.65116279] ; [5.65116279 3.34883721],0
p6,1,0.620788,0.244761,[ 2 30] ; [1 8],[ 2.34146341 29.65853659] ; [0.65853659 8.34146341],0
r4,1,0.636724,0.223052,[ 6 28] ; [1 8],[ 5.53488372 28.46511628] ; [1.46511628 7.53488372],0
n5,1,0.668701,0.183125,[20 14] ; [6 3],[20.55813953 13.44186047] ; [5.44186047 3.55813953],0
r3,1,0.739985,0.11014,[20 13] ; [6 3],[20.42857143 12.57142857] ; [5.57142857 3.42857143],0
v4,1,0.76686,0.087903,[17 17] ; [5 4],[17.39534884 16.60465116] ; [4.60465116 4.39534884],0
a7,1,0.76686,0.087903,[17 17] ; [4 5],[16.60465116 17.39534884] ; [4.39534884 4.60465116],0
b5,1,0.76686,0.087903,[17 17] ; [5 4],[17.39534884 16.60465116] ; [4.60465116 4.39534884],0
p11,1,0.76686,0.087903,[17 17] ; [5 4],[17.39534884 16.60465116] ; [4.60465116 4.39534884],0
u2,1,0.772205,0.083806,[ 8 11] ; [2 2],[ 8.26086957 10.73913043] ; [1.73913043 2.26086957],0
p3,1,0.784379,0.074866,[ 6 27] ; [2 7],[ 6.28571429 26.71428571] ; [1.71428571 7.28571429],0
d1,1,0.795061,0.067467,[ 9 25] ; [2 7],[ 8.69767442 25.30232558] ; [2.30232558 6.69767442],0
a1,1,0.833596,0.044139,[ 3 31] ; [1 8],[ 3.1627907 30.8372093] ; [0.8372093 8.1627907],0
d3,1,0.859734,0.031227,[14 20] ; [4 5],[14.23255814 19.76744186] ; [3.76744186 5.23255814],0
v2,1,0.861623,0.030383,[10 23] ; [3 6],[10.21428571 22.78571429] ; [2.78571429 6.21428571],0
s4,1,0.956624,0.002958,[ 4 30] ; [1 8],[ 3.95348837 30.04651163] ; [1.04651163 7.95348837],0
