Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3.4e-05,17.207653,[100  64] ; [ 62 101],[81.24770642 82.75229358] ; [80.75229358 82.24770642],1
s8,1,0.000405,12.508226,[74 93] ; [ 45 128],[ 58.45 108.55] ; [ 60.55 112.45],1
v3,1,0.00335,8.60609,[72 96] ; [ 46 121],[ 59.1761194 108.8238806] ; [ 58.8238806 108.1761194],0
s7,1,0.004929,7.905202,[80 78] ; [ 58 107],[67.50464396 90.49535604] ; [70.49535604 94.50464396],0
a2,1,0.006616,7.374447,[ 17 152] ; [  5 169],[ 10.83965015 158.16034985] ; [ 11.16034985 162.83965015],0
n5,1,0.014496,5.976759,[128  39] ; [111  61],[117.73746313  49.26253687] ; [121.26253687  50.73746313],0
b5,1,0.01656,5.742404,[109  60] ; [90 84],[98.04956268 70.95043732] ; [100.95043732  73.04956268],0
r1,1,0.017914,5.604585,[142  26] ; [129  45],[133.12280702  34.87719298] ; [137.87719298  36.12280702],0
n4,1,0.027465,4.861341,[128  40] ; [113  60],[118.73313783  49.26686217] ; [122.26686217  50.73313783],0
u1,1,0.02819,4.816418,[  9 160] ; [  2 172],[  5.41982507 163.58017493] ; [  5.58017493 168.41982507],0
a3,1,0.049822,3.847423,[106  62] ; [91 82],[97.05571848 70.94428152] ; [99.94428152 73.05571848],0
r2,1,0.054112,3.709254,[166   3] ; [164  10],[162.59475219   6.40524781] ; [167.40524781   6.59475219],0
a5,1,0.058286,3.585494,[106  63] ; [91 82],[97.34795322 71.65204678] ; [99.65204678 73.34795322],0
a8,1,0.061302,3.501811,[ 30 128] ; [ 19 146],[ 23.96904025 134.03095975] ; [ 25.03095975 139.96904025],0
b3,1,0.063946,3.431957,[41 67] ; [21 62],[35.05759162 72.94240838] ; [26.94240838 56.05759162],0
b2,1,0.063946,3.431957,[41 67] ; [21 62],[35.05759162 72.94240838] ; [26.94240838 56.05759162],0
s2,1,0.070127,3.28005,[81 84] ; [ 68 105],[72.73668639 92.26331361] ; [76.26331361 96.73668639],0
p10,1,0.081414,3.036453,[130  34] ; [120  49],[123.12312312  40.87687688] ; [126.87687688  42.12312312],0
p9,1,0.083689,2.991754,[138  28] ; [126  41],[131.6036036  34.3963964] ; [132.3963964  34.6036036],0
a4,1,0.091658,2.845013,[ 49 118] ; [ 37 136],[ 42.24117647 124.75882353] ; [ 43.75882353 129.24117647],0
s6,1,0.091871,2.841274,[110  51] ; [101  69],[102.63141994  58.36858006] ; [108.36858006  61.63141994],0
