Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,28.618987,[ 7 28] ; [66 25],[20.27777778 14.72222222] ; [52.72222222 38.27777778],1
d5,1,0.00161,9.948827,[14 22] ; [63 28],[21.82677165 14.17322835] ; [55.17322835 35.82677165],0
r1,1,0.009303,6.763724,[13 24] ; [55 36],[19.65625 17.34375] ; [48.34375 42.65625],0
s5,1,0.011352,6.409442,[ 4 33] ; [29 60],[ 9.69047619 27.30952381] ; [23.30952381 65.69047619],0
a6,1,0.014611,5.96275,[14 23] ; [56 35],[20.234375 16.765625] ; [49.765625 41.234375],0
n3,1,0.036767,4.36119,[15  3] ; [19 16],[11.54716981  6.45283019] ; [22.45283019 12.54716981],0
a5,1,0.079056,3.084203,[12 25] ; [45 46],[16.4765625 20.5234375] ; [40.5234375 50.4765625],0
a8,1,0.086468,2.93893,[ 4 31] ; [ 3 84],[ 2.00819672 32.99180328] ; [ 4.99180328 82.00819672],0
s1,1,0.090081,2.872926,[ 4 33] ; [ 3 88],[ 2.0234375 34.9765625] ; [ 4.9765625 86.0234375],0
a4,1,0.091036,2.855961,[ 6 31] ; [28 63],[ 9.828125 27.171875] ; [24.171875 66.828125],0
s6,1,0.100953,2.690431,[13 24] ; [46 44],[17.18897638 19.81102362] ; [41.81102362 48.18897638],0
v3,1,0.102782,2.661842,[ 1 35] ; [11 79],[ 3.42857143 32.57142857] ; [ 8.57142857 81.42857143],0
u3,1,0.116922,2.458072,[10 12] ; [27 14],[12.92063492  9.07936508] ; [24.07936508 16.92063492],0
a3,1,0.154456,2.027687,[15 22] ; [49 41],[18.64566929 18.35433071] ; [45.35433071 44.64566929],0
a2,1,0.169568,1.886755,[ 1 36] ; [ 9 82],[ 2.890625 34.109375] ; [ 7.109375 83.890625],0
u2,1,0.237244,1.396896,[10 12] ; [25 16],[12.22222222  9.77777778] ; [22.77777778 18.22222222],0
r4,1,0.248091,1.334022,[23 14] ; [66 25],[25.7265625 11.2734375] ; [63.2734375 27.7265625],0
s4,1,0.257742,1.280843,[ 7 30] ; [26 65],[ 9.5390625 27.4609375] ; [23.4609375 67.5390625],0
p1,1,0.26627,1.235865,[ 4 32] ; [ 5 86],[ 2.5511811 33.4488189] ; [ 6.4488189 84.5511811],0
v4,1,0.28405,1.147612,[29  7] ; [80 11],[30.8976378  5.1023622] ; [78.1023622 12.8976378],0
a7,1,0.331047,0.944797,[20 16] ; [59 32],[22.39370079 13.60629921] ; [56.60629921 34.39370079],0
d2,1,0.350639,0.871144,[11 26] ; [35 56],[13.296875 23.703125] ; [32.703125 58.296875],0
n5,1,0.370709,0.801287,[15 22] ; [29 61],[12.81889764 24.18110236] ; [31.18110236 58.81889764],0
r2,1,0.383094,0.760749,[28  9] ; [75 16],[29.7734375  7.2265625] ; [73.2265625 17.7734375],0
b1,1,0.407819,0.68515,[18 19] ; [37 54],[15.8984375 21.1015625] ; [39.1015625 51.8984375],0
b5,1,0.461461,0.54235,[21 16] ; [58 33],[22.8359375 14.1640625] ; [56.1640625 34.8359375],0
s2,1,0.493509,0.468866,[12 25] ; [35 55],[13.69291339 23.30708661] ; [33.30708661 56.69291339],0
v1,1,0.496234,0.462982,[ 9 28] ; [27 62],[10.57142857 26.42857143] ; [25.42857143 63.57142857],0
a1,1,0.498142,0.458893,[ 1 36] ; [ 5 86],[ 1.734375 35.265625] ; [ 4.265625 86.734375],0
p7,1,0.498423,0.458292,[20 16] ; [42 44],[18.29508197 17.70491803] ; [43.70491803 42.29508197],0
b4,1,0.51755,0.418773,[18 19] ; [50 41],[19.65625 17.34375] ; [48.34375 42.65625],0
s3,1,0.525176,0.403716,[14 23] ; [40 51],[15.609375 21.390625] ; [38.390625 52.609375],0
p9,1,0.530874,0.392719,[23 13] ; [62 27],[24.48 11.52] ; [60.52 28.48],0
s8,1,0.537154,0.38084,[11 26] ; [22 68],[ 9.61417323 27.38582677] ; [23.38582677 66.61417323],0
n2,1,0.587048,0.294979,[11  7] ; [24 11],[11.88679245  6.11320755] ; [23.11320755 11.88679245],0
p3,1,0.589583,0.290996,[10 27] ; [29 62],[11.2734375 25.7265625] ; [27.7265625 63.2734375],0
b2,1,0.639712,0.219119,[ 4 15] ; [13 36],[ 4.75 14.25] ; [12.25 36.75],0
b3,1,0.639712,0.219119,[ 4 15] ; [13 36],[ 4.75 14.25] ; [12.25 36.75],0
p6,1,0.714401,0.13392,[ 9 28] ; [19 70],[ 8.22222222 28.77777778] ; [19.77777778 69.22222222],0
n6,1,0.724538,0.124186,[24 13] ; [56 35],[23.125 13.875] ; [56.875 34.125],0
p8,1,0.738993,0.111014,[15 21] ; [35 56],[14.17322835 21.82677165] ; [35.82677165 55.17322835],0
s7,1,0.814404,0.055107,[ 9 27] ; [23 62],[ 9.52066116 26.47933884] ; [22.47933884 62.52066116],0
p5,1,0.827867,0.04728,[ 1 34] ; [ 2 89],[ 0.83333333 34.16666667] ; [ 2.16666667 88.83333333],0
r3,1,0.852658,0.034495,[31  6] ; [75 16],[30.640625  6.359375] ; [75.359375 15.640625],0
