Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,122.866113,[ 37 152] ; [308 149],[100.93653251  88.06346749] ; [244.06346749 212.93653251],1
s3,1,0.0,105.16128,[ 49 138] ; [319 135],[107.35725429  79.64274571] ; [260.64274571 193.35725429],1
s7,1,0.0,80.907197,[ 45 136] ; [285 157],[95.87479936 85.12520064] ; [234.12520064 207.87479936],1
s8,1,0.0,62.19645,[ 47 142] ; [270 188],[92.60123648 96.39876352] ; [224.39876352 233.60123648],1
s5,1,0.0,58.111153,[ 26 157] ; [208 239],[ 67.97142857 115.02857143] ; [166.02857143 280.97142857],1
s4,1,5.4e-05,16.301408,[ 15 174] ; [ 96 358],[ 32.62674961 156.37325039] ; [ 78.37325039 375.62674961],1
p4,1,0.000116,14.8536,[98 90] ; [313 146],[119.42503864  68.57496136] ; [291.57496136 167.42503864],1
r4,1,0.00021,13.737388,[163  26] ; [436  24],[174.43913713  14.56086287] ; [424.56086287  35.43913713],1
p12,1,0.000325,12.918875,[  6 182] ; [ 57 402],[ 18.30602782 169.69397218] ; [ 44.69397218 414.30602782],1
r1,1,0.000538,11.979311,[136  53] ; [384  74],[151.90108192  37.09891808] ; [368.09891808  89.90108192],1
p6,1,0.00138,10.23236,[ 57 129] ; [202 254],[ 75.03738318 110.96261682] ; [183.96261682 272.03738318],0
u1,1,0.003959,8.302352,[ 23 166] ; [101 359],[ 36.11093991 152.88906009] ; [ 87.88906009 372.11093991],0
p10,1,0.006329,7.454144,[165  23] ; [430  27],[173.42635659  14.57364341] ; [421.57364341  35.42635659],0
p5,1,0.006551,7.392099,[ 14 172] ; [ 71 386],[ 24.58786936 161.41213064] ; [ 60.41213064 396.58786936],0
a5,1,0.007558,7.13523,[131  58] ; [364  96],[144.15254237  44.84745763] ; [350.84745763 109.15254237],0
r2,1,0.014853,5.933869,[171  15] ; [439  16],[177.00468019   8.99531981] ; [432.99531981  22.00468019],0
p3,1,0.016799,5.717253,[ 88 101] ; [261 198],[101.79166667  87.20833333] ; [247.20833333 211.79166667],0
d5,1,0.020146,5.399203,[144  44] ; [387  72],[154.29366306  33.70633694] ; [376.70633694  82.29366306],0
v1,1,0.020907,5.334538,[92 93] ; [267 180],[105.08702532  79.91297468] ; [253.91297468 193.08702532],0
u4,1,0.025624,4.981219,[  1 188] ; [ 17 443],[  5.24191063 183.75808937] ; [ 12.75808937 447.24191063],0
n4,1,0.038075,4.301651,[145  44] ; [384  75],[154.29166667  34.70833333] ; [374.70833333  84.29166667],0
a2,1,0.047966,3.911182,[ 37 152] ; [124 336],[ 46.88597843 142.11402157] ; [114.11402157 345.88597843],0
n5,1,0.059793,3.543125,[145  43] ; [383  76],[153.42194745  34.57805255] ; [374.57805255  84.42194745],0
s1,1,0.085055,2.965561,[  2 186] ; [ 16 437],[  5.27925117 182.72074883] ; [ 12.72074883 440.27925117],0
d4,1,0.095807,2.773991,[150  39] ; [389  70],[157.20833333  31.79166667] ; [381.79166667  77.20833333],0
p7,1,0.09815,2.735348,[115  72] ; [306 142],[123.97952756  63.02047244] ; [297.02047244 150.97952756],0
u3,1,0.103421,2.651985,[26 31] ; [67 47],[31. 26.] ; [62. 52.],0
d3,1,0.11578,2.473499,[124  64] ; [332 128],[132.2962963  55.7037037] ; [323.7037037 136.2962963],0
u2,1,0.144934,2.124773,[26 31] ; [66 49],[30.48837209 26.51162791] ; [61.51162791 53.48837209],0
d2,1,0.159279,1.981062,[ 85 103] ; [236 224],[93.12962963 94.87037037] ; [227.87037037 232.12962963],0
a4,1,0.160874,1.965993,[ 81 108] ; [224 234],[89.09582689 99.90417311] ; [215.90417311 242.09582689],0
n1,1,0.178041,1.813904,[12 29] ; [39 55],[15.48888889 25.51111111] ; [35.51111111 58.48888889],0
b2,1,0.203125,1.61976,[53 63] ; [107 169],[47.34693878 68.65306122] ; [112.65306122 163.34693878],0
b3,1,0.203125,1.61976,[53 63] ; [107 169],[47.34693878 68.65306122] ; [112.65306122 163.34693878],0
v4,1,0.212856,1.551891,[179   9] ; [446  13],[181.60741886   6.39258114] ; [443.39258114  15.60741886],0
a3,1,0.236129,1.403556,[132  55] ; [344 114],[138.00310078  48.99689922] ; [337.99689922 120.00310078],0
a1,1,0.260153,1.267941,[  6 183] ; [ 24 436],[  8.73651772 180.26348228] ; [ 21.26348228 438.73651772],0
d1,1,0.285691,1.139819,[109  80] ; [286 174],[115.03081664  73.96918336] ; [279.96918336 180.03081664],0
v3,1,0.309497,1.032822,[ 68 112] ; [189 259],[ 73.66242038 106.33757962] ; [183.33757962 264.66242038],0
b4,1,0.310738,1.027536,[104  85] ; [273 187],[109.78890601  79.21109399] ; [267.21109399 192.78890601],0
p8,1,0.376454,0.782251,[99 87] ; [259 195],[104.04375  81.95625] ; [253.95625 200.04375],0
p11,1,0.393076,0.729406,[164  25] ; [387  73],[160.46070878  28.53929122] ; [390.53929122  69.46070878],0
a7,1,0.418544,0.654398,[133  55] ; [339 120],[137.14992272  50.85007728] ; [334.85007728 124.14992272],0
n3,1,0.422945,0.642117,[33  9] ; [67 26],[31.11111111 10.88888889] ; [68.88888889 24.11111111],0
v2,1,0.474652,0.511125,[102  79] ; [264 180],[105.9936  75.0064] ; [260.0064 183.9936],0
b5,1,0.514564,0.424775,[109  80] ; [278 182],[112.70107858  76.29892142] ; [274.29892142 185.70107858],0
