Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.005546,7.692263,[17 13] ; [18 48],[10.9375 19.0625] ; [24.0625 41.9375],0
d3,1,0.009748,6.680349,[23  8] ; [31 36],[17.08163265 13.91836735] ; [36.91836735 30.08163265],0
r3,1,0.012115,6.293896,[26  4] ; [41 26],[20.72164948  9.27835052] ; [46.27835052 20.72164948],0
p2,1,0.012134,6.291125,[19 12] ; [23 44],[13.28571429 17.71428571] ; [28.71428571 38.28571429],0
s7,1,0.015337,5.877309,[10 18] ; [ 8 52],[ 5.72727273 22.27272727] ; [12.27272727 47.72727273],0
s6,1,0.02664,4.913992,[17 12] ; [23 44],[12.08333333 16.91666667] ; [27.91666667 39.08333333],0
a5,1,0.03172,4.613571,[22  9] ; [32 35],[17.08163265 13.91836735] ; [36.91836735 30.08163265],0
r1,1,0.037618,4.322196,[24  6] ; [39 28],[19.48453608 10.51546392] ; [43.51546392 23.48453608],0
n4,1,0.051095,3.805157,[22  8] ; [35 32],[17.62886598 12.37113402] ; [39.37113402 27.62886598],0
a2,1,0.063648,3.439673,[ 9 22] ; [ 9 58],[ 5.69387755 25.30612245] ; [12.30612245 54.69387755],0
n2,1,0.079792,3.069141,[10  3] ; [16 17],[7.34782609 5.65217391] ; [18.65217391 14.34782609],0
r2,1,0.097841,2.740385,[27  3] ; [49 16],[24.  6.] ; [52. 13.],0
s2,1,0.100717,2.69415,[11 19] ; [14 53],[ 7.73195876 22.26804124] ; [17.26804124 49.73195876],0
v3,1,0.110688,2.544373,[12 17] ; [16 48],[ 8.7311828 20.2688172] ; [19.2688172 44.7311828],0
n6,1,0.111345,2.535031,[20 10] ; [33 34],[16.39175258 13.60824742] ; [36.60824742 30.39175258],0
r4,1,0.114861,2.486038,[21 10] ; [34 33],[17.39795918 13.60204082] ; [37.60204082 29.39795918],0
s3,1,0.115226,2.481037,[15 16] ; [21 45],[11.50515464 19.49484536] ; [24.49484536 41.50515464],0
a4,1,0.115226,2.481037,[15 16] ; [21 45],[11.50515464 19.49484536] ; [24.49484536 41.50515464],0
n3,1,0.118694,2.434471,[9 4] ; [13 17],[6.65116279 6.34883721] ; [15.34883721 14.65116279],0
a1,1,0.120579,2.409787,[ 1 30] ; [ 9 58],[ 3.16326531 27.83673469] ; [ 6.83673469 60.16326531],0
n1,1,0.156469,2.00802,[7 6] ; [10 22],[4.91111111 8.08888889] ; [12.08888889 19.91111111],0
b5,1,0.158549,1.988015,[20 11] ; [33 34],[16.76530612 14.23469388] ; [36.23469388 30.76530612],0
p7,1,0.161201,1.962921,[14 16] ; [21 45],[10.9375 19.0625] ; [24.0625 41.9375],0
v4,1,0.232577,1.425033,[24  6] ; [45 21],[21.5625  8.4375] ; [47.4375 18.5625],0
d1,1,0.233496,1.419435,[16 15] ; [26 41],[13.28571429 17.71428571] ; [28.71428571 38.28571429],0
