Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,9e-06,19.760821,[309  39] ; [26 15],[299.69151671  48.30848329] ; [35.30848329  5.69151671],1
p7,1,2.7e-05,17.635806,[265  83] ; [18 22],[253.82474227  94.17525773] ; [29.17525773 10.82474227],1
n5,1,3.2e-05,17.298791,[297  53] ; [24 17],[287.34015345  62.65984655] ; [33.65984655  7.34015345],1
p9,1,7.7e-05,15.621254,[319  31] ; [29 12],[311.50895141  38.49104859] ; [36.49104859  4.50895141],1
n4,1,0.000184,13.986524,[297  54] ; [25 16],[288.32142857  62.67857143] ; [33.67857143  7.32142857],1
p8,1,0.00232,9.277349,[230 120] ; [17 24],[221.09974425 128.90025575] ; [25.90025575 15.09974425],0
a7,1,0.005817,7.606247,[267  84] ; [23 18],[259.66836735  91.33163265] ; [30.33163265 10.66836735],0
d3,1,0.014479,5.978775,[275  77] ; [25 16],[268.70229008  83.29770992] ; [31.29770992  9.70229008],0
a6,1,0.017223,5.673554,[245 107] ; [21 20],[238.24936387 113.75063613] ; [27.75063613 13.24936387],0
s7,1,0.03469,4.460358,[221 113] ; [18 19],[215.16442049 118.83557951] ; [23.83557951 13.16442049],0
d4,1,0.03715,4.343529,[307  44] ; [31 10],[302.64795918  48.35204082] ; [35.35204082  5.64795918],0
p11,1,0.044238,4.047457,[287  65] ; [28 13],[282.13740458  69.86259542] ; [32.86259542  8.13740458],0
v4,1,0.052305,3.765971,[339  12] ; [37  4],[336.67346939  14.32653061] ; [39.32653061  1.67346939],0
s3,1,0.055696,3.661124,[246 102] ; [23 18],[240.64781491 107.35218509] ; [28.35218509 12.64781491],0
r1,1,0.12756,2.321947,[297  53] ; [31 10],[293.60613811  56.39386189] ; [34.39386189  6.60613811],0
a2,1,0.131289,2.277192,[ 99 253] ; [ 7 34],[ 94.94147583 257.05852417] ; [11.05852417 29.94147583],0
v1,1,0.215112,1.536683,[209 137] ; [19 19],[205.4375 140.5625] ; [22.5625 15.4375],0
p1,1,0.233806,1.417555,[ 38 313] ; [ 2 39],[ 35.81632653 315.18367347] ; [ 4.18367347 36.81632653],0
a3,1,0.256003,1.290246,[261  91] ; [27 14],[257.95419847  94.04580153] ; [30.04580153 10.95419847],0
p3,1,0.276657,1.183437,[244 108] ; [25 16],[240.93638677 111.06361323] ; [28.06361323 12.93638677],0
