Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,5e-06,20.873581,[ 47 103] ; [126 102],[68.65079365 81.34920635] ; [104.34920635 123.65079365],1
v2,1,0.000119,14.801058,[72 74] ; [159  71],[89.69680851 56.30319149] ; [141.30319149  88.69680851],1
s8,1,0.000473,12.218658,[61 90] ; [135  95],[77.67979003 73.32020997] ; [118.32020997 111.67979003],1
n5,1,0.000541,11.968846,[108  43] ; [201  33],[121.19220779  29.80779221] ; [187.80779221  46.19220779],1
b3,1,0.001295,10.34996,[20 63] ; [69 83],[31.43404255 51.56595745] ; [57.56595745 94.43404255],0
b2,1,0.001295,10.34996,[20 63] ; [69 83],[31.43404255 51.56595745] ; [57.56595745 94.43404255],0
p9,1,0.001375,10.238476,[124  26] ; [217  16],[133.55091384  16.44908616] ; [207.44908616  25.55091384],0
p6,1,0.002981,8.819265,[61 91] ; [128 102],[75.20418848 76.79581152] ; [113.79581152 116.20418848],0
a5,1,0.005372,7.749874,[111  41] ; [198  36],[121.67875648  30.32124352] ; [187.32124352  46.67875648],0
p4,1,0.008889,6.845047,[102  48] ; [186  47],[112.79373368  37.20626632] ; [175.20626632  57.79373368],0
n1,1,0.011769,6.345345,[ 8 20] ; [19 12],[12.81355932 15.18644068] ; [14.18644068 16.81355932],0
n4,1,0.013754,6.069483,[114  37] ; [200  34],[123.15324675  27.84675325] ; [190.84675325  43.15324675],0
d1,1,0.013967,6.042283,[88 64] ; [164  70],[99.23316062 52.76683938] ; [152.76683938  81.23316062],0
s5,1,0.014323,5.997938,[48 99] ; [103 124],[59.35026738 87.64973262] ; [ 91.64973262 135.35026738],0
a2,1,0.019086,5.493651,[ 27 125] ; [ 66 168],[ 36.62176166 115.37823834] ; [ 56.37823834 177.62176166],0
p10,1,0.024402,5.065823,[125  26] ; [211  22],[132.125  18.875] ; [203.875  29.125],0
n6,1,0.025407,4.995919,[125  27] ; [209  23],[132.20833333  19.79166667] ; [201.79166667  30.20833333],0
b5,1,0.028195,4.816089,[73 79] ; [139  95],[83.48186528 68.51813472] ; [128.51813472 105.48186528],0
p11,1,0.036832,4.358149,[122  30] ; [206  28],[129.16062176  22.83937824] ; [198.83937824  35.16062176],0
a3,1,0.044789,4.026567,[106  46] ; [182  49],[114.29765013  37.70234987] ; [173.70234987  57.29765013],0
a4,1,0.052078,3.773248,[60 92] ; [115 117],[69.27083333 82.72916667] ; [105.72916667 126.27083333],0
p5,1,0.053112,3.740398,[ 19 133] ; [ 47 187],[ 25.98963731 126.01036269] ; [ 40.01036269 193.98963731],0
u4,1,0.054034,3.711642,[  1 151] ; [  9 225],[  3.93782383 148.06217617] ; [  6.06217617 227.93782383],0
p12,1,0.054104,3.709481,[ 10 140] ; [ 30 204],[ 15.625 134.375] ; [ 24.375 209.625],0
p2,1,0.06619,3.375058,[135  17] ; [220  14],[139.79274611  12.20725389] ; [215.20725389  18.79274611],0
n2,1,0.073206,3.209627,[21  8] ; [28  3],[23.68333333  5.31666667] ; [25.31666667  5.68333333],0
u1,1,0.089349,2.886069,[ 22 130] ; [ 50 184],[ 28.35233161 123.64766839] ; [ 43.64766839 190.35233161],0
