Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,2.5e-05,17.783792,[ 7 61] ; [25 33],[17.26984127 50.73015873] ; [14.73015873 43.26984127],1
v1,1,6e-05,16.108889,[16 52] ; [35 25],[27.09375 40.90625] ; [23.90625 36.09375],1
d1,1,0.001008,10.812904,[22 47] ; [37 24],[31.31538462 37.68461538] ; [27.68461538 33.31538462],0
n3,1,0.003617,8.466688,[16 12] ; [19  1],[20.41666667  7.58333333] ; [14.58333333  5.41666667],0
a6,1,0.029773,4.722351,[37 32] ; [44 17],[42.99230769 26.00769231] ; [38.00769231 22.99230769],0
a2,1,0.03495,4.447612,[ 9 60] ; [17 44],[13.8 55.2] ; [12.2 48.8],0
s8,1,0.043489,4.07631,[14 54] ; [22 38],[19.125 48.875] ; [16.875 43.125],0
d3,1,0.044293,4.04537,[38 31] ; [44 17],[43.52307692 25.47692308] ; [38.47692308 22.52307692],0
r2,1,0.056416,3.639722,[56 12] ; [57  4],[59.56589147  8.43410853] ; [53.43410853  7.56589147],0
u3,1,0.061622,3.493181,[17 15] ; [ 5 14],[13.80392157 18.19607843] ; [ 8.19607843 10.80392157],0
s4,1,0.066004,3.379691,[15 53] ; [ 6 54],[11.15625 56.84375] ; [ 9.84375 50.15625],0
d4,1,0.089362,2.885836,[46 23] ; [48 12],[50.27906977 18.72093023] ; [43.72093023 16.27906977],0
d5,1,0.089371,2.885665,[45 24] ; [48 13],[49.36153846 19.63846154] ; [43.63846154 17.36153846],0
a3,1,0.092811,2.824929,[37 31] ; [42 19],[41.64341085 26.35658915] ; [37.35658915 23.64341085],0
p5,1,0.128367,2.312147,[ 5 64] ; [ 1 60],[ 3.18461538 65.81538462] ; [ 2.81538462 58.18461538],0
n6,1,0.168916,1.892541,[44 25] ; [45 15],[47.60465116 21.39534884] ; [41.39534884 18.60465116],0
p11,1,0.17558,1.83464,[36 33] ; [39 22],[39.80769231 29.19230769] ; [35.19230769 25.80769231],0
s5,1,0.177221,1.820775,[11 56] ; [15 42],[14.0483871 52.9516129] ; [11.9516129 45.0483871],0
r3,1,0.181033,1.789122,[61  8] ; [57  3],[63.11627907  5.88372093] ; [54.88372093  5.11627907],0
a7,1,0.18299,1.773171,[43 26] ; [44 16],[46.53488372 22.46511628] ; [40.46511628 19.53488372],0
a4,1,0.196546,1.667855,[24 45] ; [28 33],[27.6 41.4] ; [24.4 36.6],0
b4,1,0.222576,1.487685,[38 31] ; [40 21],[41.4 27.6] ; [36.6 24.4],0
p8,1,0.230035,1.440647,[24 44] ; [27 32],[27.30708661 40.69291339] ; [23.69291339 35.30708661],0
a5,1,0.233808,1.417544,[37 32] ; [39 22],[40.33846154 28.66153846] ; [35.66153846 25.33846154],0
s2,1,0.249704,1.324956,[21 47] ; [24 35],[24.09448819 43.90551181] ; [20.90551181 38.09448819],0
p6,1,0.273208,1.200568,[18 51] ; [20 37],[20.80952381 48.19047619] ; [17.19047619 39.80952381],0
d2,1,0.273679,1.198215,[29 40] ; [31 29],[32.09302326 36.90697674] ; [27.90697674 32.09302326],0
n2,1,0.280759,1.163412,[18 10] ; [15  4],[19.65957447  8.34042553] ; [13.34042553  5.65957447],0
s6,1,0.297826,1.083902,[30 38] ; [32 28],[32.9375 35.0625] ; [29.0625 30.9375],0
a1,1,0.321081,0.984539,[ 2 67] ; [ 4 57],[ 3.18461538 65.81538462] ; [ 2.81538462 58.18461538],0
