Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,8e-06,19.889084,[ 58 159] ; [105 117],[ 80.57175399 136.42824601] ; [ 82.42824601 139.57175399],1
v2,1,5e-05,16.429566,[ 97 118] ; [143  79],[118.0778032  96.9221968] ; [121.9221968 100.0778032],1
n5,1,0.000412,12.475727,[147  77] ; [184  45],[163.67328918  60.32671082] ; [167.32671082  61.67328918],1
p3,1,0.000474,12.215587,[ 75 152] ; [113 117],[ 93.38293217 133.61706783] ; [ 94.61706783 135.38293217],1
p4,1,0.001018,10.794356,[ 92 134] ; [129 101],[109.53070175 116.46929825] ; [111.46929825 118.53070175],0
b3,1,0.002502,9.139148,[28 92] ; [60 87],[39.5505618 80.4494382] ; [48.4494382 98.5505618],0
b2,1,0.002502,9.139148,[28 92] ; [60 87],[39.5505618 80.4494382] ; [48.4494382 98.5505618],0
p5,1,0.008642,6.895297,[ 10 216] ; [ 25 202],[ 17.46136865 208.53863135] ; [ 17.53863135 209.46136865],0
r2,1,0.019892,5.421382,[201  24] ; [217  11],[207.61589404  17.38410596] ; [210.38410596  17.61589404],0
s8,1,0.025816,4.968286,[ 77 150] ; [101 128],[ 88.60964912 138.39035088] ; [ 89.39035088 139.60964912],0
p2,1,0.028571,4.79327,[178  48] ; [199  31],[186.84649123  39.15350877] ; [190.15350877  39.84649123],0
u3,1,0.032201,4.58775,[32 45] ; [36 24],[38.2189781 38.7810219] ; [29.7810219 30.2189781],0
a3,1,0.033163,4.53736,[148  79] ; [171  59],[158.45295405  68.54704595] ; [160.54704595  69.45295405],0
s6,1,0.03336,4.52721,[133  92] ; [156  71],[143.86061947  81.13938053] ; [145.13938053  81.86061947],0
p1,1,0.040369,4.202324,[  9 217] ; [ 20 211],[ 14.34135667 211.65864333] ; [ 14.65864333 216.34135667],0
s5,1,0.049554,3.856487,[ 55 165] ; [ 75 149],[ 64.41441441 155.58558559] ; [ 65.58558559 158.41441441],0
p12,1,0.057072,3.620491,[  9 218] ; [ 19 212],[ 13.87772926 213.12227074] ; [ 14.12227074 216.87772926],0
v4,1,0.059304,3.556737,[208  17] ; [220   8],[212.58278146  12.41721854] ; [215.41721854  12.58278146],0
p8,1,0.063302,3.448697,[ 91 134] ; [112 116],[100.82781457 124.17218543] ; [102.17218543 125.82781457],0
