Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,25.80935,[45  7] ; [ 9 20],[34.66666667 17.33333333] ; [19.33333333  9.66666667],1
n6,1,7.6e-05,15.655191,[46  6] ; [14 15],[38.51851852 13.48148148] ; [21.48148148  7.51851852],1
p11,1,0.030083,4.704552,[31 21] ; [10 19],[26.32098765 25.67901235] ; [14.67901235 14.32098765],0
d4,1,0.07899,3.085566,[38 14] ; [26  3],[41.08641975 10.91358025] ; [22.91358025  6.08641975],0
r1,1,0.080306,3.058707,[43  9] ; [19 10],[39.80246914 12.19753086] ; [22.19753086  6.80246914],0
b4,1,0.080347,3.05786,[37 15] ; [15 14],[33.38271605 18.61728395] ; [18.61728395 10.38271605],0
b3,1,0.08622,2.943571,[11 24] ; [ 2 17],[ 8.42592593 26.57407407] ; [ 4.57407407 14.42592593],0
b2,1,0.08622,2.943571,[11 24] ; [ 2 17],[ 8.42592593 26.57407407] ; [ 4.57407407 14.42592593],0
d1,1,0.088113,2.908522,[22 30] ; [18 11],[25.67901235 26.32098765] ; [14.32098765 14.67901235],0
s3,1,0.091554,2.846833,[36 15] ; [15 14],[32.5125 18.4875] ; [18.4875 10.5125],0
p2,1,0.132995,2.257189,[34 18] ; [14 15],[30.81481481 21.18518519] ; [17.18518519 11.81481481],0
p10,1,0.152355,2.048516,[16 34] ; [ 5 24],[13.29113924 36.70886076] ; [ 7.70886076 21.29113924],0
s8,1,0.188384,1.730208,[22 30] ; [ 8 21],[19.25925926 32.74074074] ; [10.74074074 18.25925926],0
d3,1,0.188384,1.730208,[30 22] ; [21  8],[32.74074074 19.25925926] ; [18.25925926 10.74074074],0
v2,1,0.191835,1.703466,[20 30] ; [16 13],[22.78481013 27.21518987] ; [13.21518987 15.78481013],0
a5,1,0.23638,1.402057,[27 25] ; [19 10],[29.5308642 22.4691358] ; [16.4691358 12.5308642],0
d5,1,0.245568,1.348342,[37 15] ; [24  5],[39.16049383 12.83950617] ; [21.83950617  7.16049383],0
p4,1,0.260446,1.266386,[25 26] ; [18 11],[27.4125 23.5875] ; [15.5875 13.4125],0
p3,1,0.278234,1.175694,[17 35] ; [13 16],[19.25925926 32.74074074] ; [10.74074074 18.25925926],0
a6,1,0.295834,1.092879,[26 26] ; [18 11],[28.24691358 23.75308642] ; [15.75308642 13.24691358],0
s1,1,0.299493,1.076452,[ 5 46] ; [ 1 28],[ 3.825 47.175] ; [ 2.175 26.825],0
p8,1,0.302676,1.062368,[19 33] ; [14 15],[21.18518519 30.81481481] ; [11.81481481 17.18518519],0
p1,1,0.309602,1.032374,[ 5 47] ; [ 1 28],[ 3.85185185 48.14814815] ; [ 2.14814815 26.85185185],0
v4,1,0.317187,1.000509,[47  5] ; [24  5],[45.58024691  6.41975309] ; [25.41975309  3.58024691],0
a2,1,0.330904,0.945358,[ 8 44] ; [ 7 22],[ 9.62962963 42.37037037] ; [ 5.37037037 23.62962963],0
p7,1,0.338068,0.917744,[28 22] ; [13 16],[25.94936709 24.05063291] ; [15.05063291 13.94936709],0
s4,1,0.373389,0.792355,[11 39] ; [ 9 20],[12.65822785 37.34177215] ; [ 7.34177215 21.65822785],0
s5,1,0.392938,0.729831,[13 38] ; [10 19],[14.6625 36.3375] ; [ 8.3375 20.6625],0
s7,1,0.44823,0.575123,[23 27] ; [10 17],[21.42857143 28.57142857] ; [11.57142857 15.42857143],0
u3,1,0.466473,0.530318,[13  7] ; [10  3],[13.93939394  6.06060606] ; [9.06060606 3.93939394],0
r2,1,0.472583,0.515929,[46  6] ; [24  5],[44.9382716  7.0617284] ; [25.0617284  3.9382716],0
a7,1,0.512132,0.429708,[36 16] ; [18 11],[34.66666667 17.33333333] ; [19.33333333  9.66666667],0
a3,1,0.576141,0.312515,[32 20] ; [16 13],[30.81481481 21.18518519] ; [17.18518519 11.81481481],0
r4,1,0.6031,0.270345,[42 10] ; [22  7],[41.08641975 10.91358025] ; [22.91358025  6.08641975],0
p6,1,0.627648,0.235264,[13 38] ; [ 6 23],[12.1125 38.8875] ; [ 6.8875 22.1125],0
a4,1,0.638067,0.22128,[15 36] ; [10 19],[15.9375 35.0625] ; [ 9.0625 19.9375],0
b1,1,0.66739,0.184671,[33 19] ; [17 12],[32.09876543 19.90123457] ; [17.90123457 11.09876543],0
n3,1,0.675447,0.175296,[9 5] ; [5 4],[8.52173913 5.47826087] ; [5.47826087 3.52173913],0
u1,1,0.679508,0.17068,[ 9 43] ; [ 4 25],[ 8.34567901 43.65432099] ; [ 4.65432099 24.34567901],0
r3,1,0.683772,0.165911,[48  4] ; [26  3],[47.50617284  4.49382716] ; [26.49382716  2.50617284],0
v1,1,0.700731,0.147712,[22 30] ; [11 18],[21.18518519 30.81481481] ; [11.81481481 17.18518519],0
n2,1,0.735039,0.114535,[10  4] ; [7 2],[10.34782609  3.65217391] ; [6.65217391 2.34782609],0
d2,1,0.752942,0.099075,[25 27] ; [15 14],[25.67901235 26.32098765] ; [14.32098765 14.67901235],0
b5,1,0.765391,0.089048,[34 18] ; [18 11],[33.38271605 18.61728395] ; [18.61728395 10.38271605],0
n1,1,0.805803,0.06044,[5 8] ; [3 6],[4.72727273 8.27272727] ; [3.27272727 5.72727273],0
v3,1,0.80871,0.058608,[19 33] ; [11 17],[19.5 32.5] ; [10.5 17.5],0
u2,1,0.820627,0.051411,[11  8] ; [7 6],[10.6875  8.3125] ; [7.3125 5.6875],0
s2,1,0.883521,0.021465,[29 22] ; [16 13],[28.6875 22.3125] ; [16.3125 12.6875],0
a1,1,0.895693,0.017188,[ 4 48] ; [ 2 27],[ 3.85185185 48.14814815] ; [ 2.14814815 26.85185185],0
