Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.000305,13.037037,[ 5 31] ; [6 2],[ 9. 27.] ; [2. 6.],1
s6,1,0.000651,11.623157,[ 6 31] ; [6 2],[ 9.86666667 27.13333333] ; [2.13333333 5.86666667],1
s4,1,0.000919,10.983953,[ 4 33] ; [5 3],[ 7.4 29.6] ; [1.6 6.4],1
s2,1,0.002511,9.132481,[ 5 32] ; [5 3],[ 8.22222222 28.77777778] ; [1.77777778 6.22222222],0
p4,1,0.034437,4.472887,[ 9 28] ; [5 3],[11.51111111 25.48888889] ; [2.48888889 5.51111111],0
n4,1,0.070795,3.264482,[19 17] ; [7 1],[21.27272727 14.72727273] ; [4.72727273 3.27272727],0
s5,1,0.077412,3.118408,[ 2 35] ; [2 6],[ 3.28888889 33.71111111] ; [0.71111111 7.28888889],0
a3,1,0.08933,2.886409,[11 25] ; [5 3],[13.09090909 22.90909091] ; [2.90909091 5.09090909],0
r1,1,0.117306,2.452932,[ 5 31] ; [3 5],[ 6.54545455 29.45454545] ; [1.45454545 6.54545455],0
p6,1,0.117306,2.452932,[ 5 31] ; [3 5],[ 6.54545455 29.45454545] ; [1.45454545 6.54545455],0
n2,1,0.12182,2.393769,[ 9 10] ; [5 1],[10.64  8.36] ; [3.36 2.64],0
b4,1,0.175517,1.835183,[19 18] ; [2 6],[17.26666667 19.73333333] ; [3.73333333 4.26666667],0
p7,1,0.189649,1.720341,[13 22] ; [5 3],[14.65116279 20.34883721] ; [3.34883721 4.65116279],0
p2,1,0.251054,1.317427,[19 17] ; [6 2],[20.45454545 15.54545455] ; [4.54545455 3.45454545],0
a4,1,0.251681,1.313948,[ 7 30] ; [3 5],[ 8.22222222 28.77777778] ; [1.77777778 6.22222222],0
v4,1,0.269004,1.221818,[17 18] ; [5 2],[18.33333333 16.66666667] ; [3.66666667 3.33333333],0
u2,1,0.278664,1.173595,[ 9 17] ; [2 1],[ 9.86206897 16.13793103] ; [1.13793103 1.86206897],0
p3,1,0.284378,1.14605,[ 4 33] ; [2 6],[ 4.93333333 32.06666667] ; [1.06666667 6.93333333],0
s8,1,0.284378,1.14605,[ 4 33] ; [2 6],[ 4.93333333 32.06666667] ; [1.06666667 6.93333333],0
p10,1,0.314927,1.009899,[15 20] ; [5 3],[16.27906977 18.72093023] ; [3.72093023 4.27906977],0
n6,1,0.355057,0.855303,[16 20] ; [5 3],[17.18181818 18.81818182] ; [3.81818182 4.18181818],0
r2,1,0.363256,0.826606,[19 17] ; [5 2],[20.09302326 15.90697674] ; [3.90697674 3.09302326],0
d3,1,0.366701,0.814815,[ 8 28] ; [3 5],[ 9. 27.] ; [2. 6.],0
p8,1,0.375399,0.785714,[12 24] ; [4 4],[13.09090909 22.90909091] ; [2.90909091 5.09090909],0
b2,1,0.375728,0.784632,[ 9 12] ; [2 6],[ 7.96551724 13.03448276] ; [3.03448276 4.96551724],0
b3,1,0.375728,0.784632,[ 9 12] ; [2 6],[ 7.96551724 13.03448276] ; [3.03448276 4.96551724],0
p11,1,0.395693,0.721377,[17 20] ; [5 3],[18.08888889 18.91111111] ; [3.91111111 4.08888889],0
a5,1,0.431669,0.618328,[13 24] ; [4 4],[13.97777778 23.02222222] ; [3.02222222 4.97777778],0
a7,1,0.548705,0.359642,[13 23] ; [2 6],[12.27272727 23.72727273] ; [2.72727273 5.27272727],0
d5,1,0.553436,0.351197,[10 27] ; [3 5],[10.68888889 26.31111111] ; [2.31111111 5.68888889],0
v2,1,0.622855,0.241875,[ 7 28] ; [1 7],[ 6.51162791 28.48837209] ; [1.48837209 6.51162791],0
s1,1,0.710779,0.1375,[ 3 33] ; [1 7],[ 3.27272727 32.72727273] ; [0.72727273 7.27272727],0
n1,1,0.734139,0.115345,[ 8 11] ; [3 3],[ 8.36 10.64] ; [2.64 3.36],0
n3,1,0.734139,0.115345,[11  8] ; [3 3],[10.64  8.36] ; [3.36 2.64],0
u3,1,0.814041,0.055327,[ 7 19] ; [1 2],[ 7.17241379 18.82758621] ; [0.82758621 2.17241379],0
b5,1,0.834906,0.043436,[17 20] ; [4 4],[17.26666667 19.73333333] ; [3.73333333 4.26666667],0
b1,1,0.834906,0.043436,[20 17] ; [4 4],[19.73333333 17.26666667] ; [4.26666667 3.73333333],0
r3,1,0.896187,0.017025,[14 21] ; [3 5],[13.8372093 21.1627907] ; [3.1627907 4.8372093],0
v1,1,0.906415,0.013821,[10 27] ; [2 6],[ 9.86666667 27.13333333] ; [2.13333333 5.86666667],0
d2,1,0.906415,0.013821,[10 27] ; [2 6],[ 9.86666667 27.13333333] ; [2.13333333 5.86666667],0
p1,1,0.910853,0.012536,[ 4 32] ; [1 7],[ 4.09090909 31.90909091] ; [0.90909091 7.09090909],0
v3,1,0.932031,0.007274,[ 4 31] ; [1 7],[ 4.06976744 30.93023256] ; [0.93023256 7.06976744],0
p9,1,0.941863,0.005318,[18 17] ; [4 4],[17.90697674 17.09302326] ; [4.09302326 3.90697674],0
a6,1,0.985741,0.000319,[14 23] ; [3 5],[13.97777778 23.02222222] ; [3.02222222 4.97777778],0
