Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.345053,[49  8] ; [13 21],[38.83516484 18.16483516] ; [23.16483516 10.83516484],1
a6,1,6.8e-05,15.853671,[38 19] ; [ 8 26],[28.81318681 28.18681319] ; [17.18681319 16.81318681],1
v3,1,0.001734,9.811867,[20 36] ; [ 2 31],[13.84269663 42.15730337] ; [ 8.15730337 24.84269663],0
a4,1,0.014585,5.965934,[20 37] ; [ 4 30],[15.03296703 41.96703297] ; [ 8.96703297 25.03296703],0
a5,1,0.020537,5.365676,[31 26] ; [10 24],[25.68131868 31.31868132] ; [15.31868132 18.68131868],0
r1,1,0.020537,5.365676,[31 26] ; [10 24],[25.68131868 31.31868132] ; [15.31868132 18.68131868],0
n6,1,0.043402,4.079686,[42 15] ; [18 16],[37.58241758 19.41758242] ; [22.41758242 11.58241758],0
s1,1,0.045095,4.015077,[ 1 55] ; [ 4 30],[ 3.11111111 52.88888889] ; [ 1.88888889 32.11111111],0
p3,1,0.045657,3.994223,[23 33] ; [ 7 27],[18.66666667 37.33333333] ; [11.33333333 22.66666667],0
v1,1,0.050997,3.808361,[25 32] ; [ 8 26],[20.67032967 36.32967033] ; [12.32967033 21.67032967],0
u3,1,0.051163,3.802937,[ 6 23] ; [ 9 10],[ 9.0625 19.9375] ; [ 5.9375 13.0625],0
p1,1,0.085159,2.963591,[11 46] ; [ 2 31],[ 8.23333333 48.76666667] ; [ 4.76666667 28.23333333],0
u2,1,0.094993,2.787659,[ 7 22] ; [ 9 10],[ 9.66666667 19.33333333] ; [ 6.33333333 12.66666667],0
p8,1,0.159745,1.97664,[25 30] ; [10 23],[21.875 33.125] ; [13.125 19.875],0
n1,1,0.179183,1.804386,[9 7] ; [ 6 12],[7.05882353 8.94117647] ; [ 7.94117647 10.05882353],0
s2,1,0.18452,1.760836,[ 6 51] ; [ 7 27],[ 8.14285714 48.85714286] ; [ 4.85714286 29.14285714],0
d3,1,0.184536,1.760713,[16 41] ; [ 5 27],[13.4494382 43.5505618] ; [ 7.5505618 24.4494382],0
n3,1,0.186832,1.742425,[9 5] ; [16  3],[10.60606061  3.39393939] ; [14.39393939  4.60606061],0
v2,1,0.187873,1.734221,[21 33] ; [ 8 24],[18.20930233 35.79069767] ; [10.79069767 21.20930233],0
v4,1,0.198478,1.653539,[43 13] ; [29  4],[45.30337079 10.69662921] ; [26.69662921  6.30337079],0
b5,1,0.2429,1.363683,[34 23] ; [16 18],[31.31868132 25.68131868] ; [18.68131868 15.31868132],0
a1,1,0.278245,1.17564,[ 5 52] ; [ 1 33],[ 3.75824176 53.24175824] ; [ 2.24175824 31.75824176],0
r4,1,0.303593,1.058343,[38 19] ; [19 15],[35.7032967 21.2967033] ; [21.2967033 12.7032967],0
b1,1,0.315817,1.006192,[24 33] ; [18 16],[26.30769231 30.69230769] ; [15.69230769 18.30769231],0
p7,1,0.393302,0.728709,[27 29] ; [19 14],[28.94382022 27.05617978] ; [17.05617978 15.94382022],0
r2,1,0.488038,0.480848,[47 10] ; [26  8],[45.72527473 11.27472527] ; [27.27472527  6.72527473],0
s7,1,0.494051,0.467691,[ 9 42] ; [ 4 29],[ 7.89285714 43.10714286] ; [ 5.10714286 27.89285714],0
p4,1,0.520345,0.413209,[24 33] ; [12 22],[22.54945055 34.45054945] ; [13.45054945 20.54945055],0
b2,1,0.547045,0.362638,[14 23] ; [ 5 12],[13.01851852 23.98148148] ; [ 5.98148148 11.01851852],0
b3,1,0.547045,0.362638,[14 23] ; [ 5 12],[13.01851852 23.98148148] ; [ 5.98148148 11.01851852],0
b4,1,0.565756,0.329835,[27 30] ; [14 20],[25.68131868 31.31868132] ; [15.31868132 18.68131868],0
a8,1,0.577078,0.310983,[ 3 48] ; [ 3 30],[ 3.64285714 47.35714286] ; [ 2.35714286 30.64285714],0
a3,1,0.588056,0.29339,[28 28] ; [15 19],[26.75555556 29.24444444] ; [16.24444444 17.75555556],0
r3,1,0.599985,0.275019,[40 16] ; [26  8],[41.06666667 14.93333333] ; [24.93333333  9.06666667],0
p9,1,0.615791,0.251828,[33 22] ; [18 15],[31.875 23.125] ; [19.125 13.875],0
p10,1,0.627945,0.234858,[31 25] ; [16 16],[29.90909091 26.09090909] ; [17.09090909 14.90909091],0
p11,1,0.680966,0.16904,[36 21] ; [20 14],[35.07692308 21.92307692] ; [20.92307692 13.07692308],0
d2,1,0.76732,0.087546,[15 42] ; [ 8 26],[14.40659341 42.59340659] ; [ 8.59340659 25.40659341],0
s3,1,0.787415,0.072721,[15 41] ; [10 24],[15.55555556 40.44444444] ; [ 9.44444444 24.55555556],0
a7,1,0.792495,0.069207,[31 26] ; [17 16],[30.4 26.6] ; [17.6 15.4],0
s5,1,0.832812,0.044562,[ 4 53] ; [ 2 32],[ 3.75824176 53.24175824] ; [ 2.24175824 31.75824176],0
p2,1,0.863733,0.029455,[39 18] ; [22 11],[38.63333333 18.36666667] ; [22.36666667 10.63333333],0
p5,1,0.92331,0.009267,[ 2 55] ; [ 1 31],[ 1.92134831 55.07865169] ; [ 1.07865169 30.92134831],0
p6,1,0.933969,0.006864,[15 40] ; [ 9 25],[14.83146067 40.16853933] ; [ 9.16853933 24.83146067],0
s8,1,0.941769,0.005336,[ 7 50] ; [ 4 30],[ 6.89010989 50.10989011] ; [ 4.10989011 29.89010989],0
d5,1,0.963795,0.00206,[21 36] ; [12 21],[20.9 36.1] ; [12.1 20.9],0
n2,1,0.983339,0.000436,[11  5] ; [13  6],[10.97142857  5.02857143] ; [13.02857143  5.97142857],0
s4,1,0.99329,7.1e-05,[ 5 52] ; [ 3 31],[ 5.01098901 51.98901099] ; [ 2.98901099 31.01098901],0
